,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Wil U15,Mini A,10083251,5,25,10,14,10,0.0,30,,,,,,,,,,,,,,,,
0,20072008,Uzwil U15,Mini A,10083261,16,27,34,16,34,0.0,43,,,,,,,,,,,,,,,,
0,20082009,Rheintal U15,Top Mini,79982,16,15,40,25,40,0.0,31,,,,,,,,,,,,,,,,
0,20092010,Uzwil U17,Swiss-U17,1,15,19,10,19,10,,34,,,,,,,,,,,,,,,,
0,20102011,Zurich U17,Swiss-U17,1,10,10,14,25,14,,20,,,,,,,,,,,,,,,,
0,20112012,Zurich U17,Swiss-U17,1,18,34,98,28,98,,52,,,,,,,,,,,,,,,,
0,20112012,Zurich Jr.,Swiss-Jr.,2,4,1,8,7,8,,5,,,,,,,,,,,,,,,,
0,20112012,GCK Zurich Jr.,Swiss-Jr.,3,1,0,0,2,0,,1,,,,,,,,,,,,,,,,
0,20122013,Malmo U18,Swe-U18,1,4,6,28,9,28,,10,,,,,,,,,,,,,,,,
0,20122013,Malmo Jr.,Swe-Jr.,2,19,9,28,33,28,,28,,,,,,,,,,,,,,,,
0,20132014,HV 71 Jr.,Swe-Jr.,1,15,10,40,27,40,,25,,,,,,,,,,,,,,,,
0,20132014,HV 71,Sweden,2,8,3,10,17,10,,11,,,,,,,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,0,0,0,1,0,-1.0,0,11:25,3.0,0.0,0.0,0.0,00:00,11:25,0.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,15.0
0,20142015,HV 71,Sweden,2,9,5,14,20,14,,14,,,,,,,,,,,,,,,,
0,20142015,Milwaukee,AHL,3,9,11,18,33,18,-5.0,20,,78.0,,2.0,,,,,14.1,1.0,,0.0,,,,
0,20142015,Switzerland,WJC-A,4,1,4,16,6,16,6.0,5,,22.0,,1.0,,,,,,0.0,,0.0,,,,
0,20142015,Switzerland,WC-A,5,2,1,6,8,6,0.0,3,,19.0,,1.0,,,,,,0.0,,0.0,,,,
0,20152016,Nashville Predators,National Hockey League,1,0,1,0,5,0,0.0,1,65:46,11.0,2.0,0.0,0.0,03:13,62:33,0.0,9.09,0.0,0.0,0.0,0.0,00:00,2.0,86.0
0,20152016,Milwaukee,AHL,2,32,18,78,66,78,-19.0,50,,170.0,,5.0,,,,,10.6,2.0,,0.0,,,,
0,20152016,Switzerland,WJ18-A,3,5,4,8,5,8,4.0,9,,25.0,,1.0,,,,,,0.0,,0.0,,,,
0,20152016,Milwaukee Admirals,AHL,1017,32,18,78,66,78,-19.0,50,,,,,,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,5,11,18,54,18,1.0,16,729:40,114.0,44.0,0.0,0.0,44:23,678:18,0.0,9.65,1.0,0.0,0.0,0.0,06:59,14.0,1016.0
0,20162017,Milwaukee Admirals,AHL,1017,12,7,45,22,45,8.0,19,,,,,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,25,23,26,80,26,20.0,48,1211:49,187.0,34.0,4.0,13.0,183:51,1027:40,0.0,12.3,4.0,0.0,0.0,0.0,00:18,27.0,1604.0
0,20172018,Switzerland,WC,16145,4,1,6,5,6,2.0,5,,,,,,,,,,,,,,,,
0,20182019,Nashville Predators,National Hockey League,1,22,10,26,64,26,-11.0,32,962:59,131.0,28.0,1.0,7.0,126:15,835:58,60.0,7.63,1.0,0.0,0.0,0.0,00:46,17.0,1266.0
0,20182019,Minnesota Wild,National Hockey League,2,4,3,10,19,10,-12.0,7,335:03,43.0,14.0,1.0,4.0,58:22,276:26,0.0,6.98,1.0,0.0,0.0,0.0,00:15,3.0,384.0
0,20182019,Switzerland,WC,16145,3,4,2,8,2,4.0,7,,,,,,,,,,,,,,,,
0,20192020,Minnesota Wild,National Hockey League,1,31,23,42,64,42,-1.0,54,985:39,175.0,25.0,9.0,18.0,152:26,831:22,22.22,13.1,4.0,1.0,0.0,0.0,01:51,18.0,1180.0
0,20202021,Minnesota Wild,National Hockey League,1,20,20,43,50,43,-2.0,40,844:59,162.0,27.0,6.0,14.0,154:57,673:28,33.33,12.3,5.0,1.0,0.0,0.0,16:34,13.0,932.0
0,20212022,Minnesota Wild,National Hockey League,1,52,33,52,82,52,23.0,85,1447:04,262.0,52.0,5.0,17.0,220:49,1150:57,26.67,12.6,7.0,1.0,1.0,1.0,75:18,21.0,1547.0
