,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Nobles,High-MA,1,5,8,2.0,29,2,0.0,13,,,,,,,,,,,,,,,,
0,20082009,Nobles,High-MA,1,27,28,15.0,23,15,0.0,55,,,,,,,,,,,,,,,,
0,20092010,Cape Cod,Minor-MA,1,30,21,,25,,0.0,51,,,,,,,,,,,,,,,,
0,20092010,Nobles,High-MA,2,44,25,8.0,29,8,0.0,69,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,0,2,0.0,2,0,0.0,2,,,,,,,,,,,,,,,,
0,20102011,Boston College,H-East,1,10,4,8.0,31,8,,14,2.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Boston College,H-East,1,21,7,10.0,44,10,,28,3.0,3.0,0.0,,,,,,,,,,,,,
0,20122013,Boston College,H-East,1,19,6,14.0,27,14,,25,4.0,1.0,0.0,,,,,,,,,,,,,
0,20132014,Boston College,H-East,1,38,27,16.0,40,16,,65,6.0,6.0,0.0,,,,,,,,,,,,,
0,20132014,U.S.A.,WC-A,2,1,1,0.0,7,0,,2,0.0,0.0,0.0,10.0,-2.0,,,,,,,,,,,
0,20142015,New York Rangers,National Hockey League,1,28,17,22.0,79,22,36.27,45,1.0,1.0,1.0,111.0,15.0,1030:14,57.0,5.0,48:08,946:46,15.32,0.0,1.0,35:20,33.0,1485.0
0,20152016,New York Rangers,National Hockey League,1,22,14,30.0,79,30,35.96,36,3.0,3.0,0.0,133.0,4.0,1079:22,59.0,6.0,119:01,958:26,10.53,0.0,0.0,01:55,23.0,1491.0
0,20162017,New York Rangers,National Hockey League,1,32,17,18.0,76,18,45.66,49,1.0,4.0,1.0,143.0,10.0,1258:28,40.0,7.0,111:01,1038:56,11.89,0.0,7.0,108:31,30.0,1797.0
0,20162017,USA,WC,17215,2,2,4.0,3,4,,4,,,,,4.0,,,,,,,,,,,
0,20172018,New York Rangers,National Hockey League,1,19,25,18.0,76,18,50.54,44,6.0,4.0,2.0,172.0,1.0,1318:51,40.0,8.0,85:13,1063:16,14.53,0.0,2.0,170:22,36.0,1802.0
0,20182019,New York Rangers,National Hockey League,1,28,14,10.0,51,10,48.57,42,3.0,1.0,2.0,119.0,1.0,992:11,51.0,11.0,126:42,763:31,11.76,0.0,3.0,101:58,12.0,1224.0
0,20182019,Winnipeg Jets,National Hockey League,2,8,5,2.0,20,2,51.64,13,0.0,1.0,0.0,37.0,-3.0,305:42,7.0,0.0,24:23,256:44,13.51,1.0,0.0,24:35,3.0,404.0
0,20192020,Philadelphia Flyers,National Hockey League,1,18,23,34.0,69,34,50.24,41,4.0,5.0,4.0,175.0,-6.0,1223:18,88.0,7.0,113:24,971:19,13.1,2.0,4.0,138:35,22.0,1647.0
0,20202021,Philadelphia Flyers,National Hockey League,1,19,12,22.0,55,22,48.95,31,3.0,2.0,0.0,127.0,-2.0,963:44,60.0,9.0,139:03,752:15,9.4,1.0,0.0,72:26,14.0,1266.0
0,20212022,Philadelphia Flyers,National Hockey League,1,21,10,26.0,48,26,42.83,31,2.0,1.0,0.0,126.0,-20.0,860:20,36.0,4.0,130:02,686:50,7.9,0.0,1.0,43:28,12.0,1103.0
