,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Saskatchewan Jr. Pats,Brick Invitational,128866,0,2,0,6,0,2,
0,20162017,Saskatoon Generals U15 AA,SAAHL U15,137826,0,0,2,1,2,0,
0,20172018,Saskatoon Stallions U15 AA,SAAHL U15,136056,15,8,8,30,8,23,
0,20182019,Saskatoon Contacts U18 AAA,SMAAAHL,48174,0,0,2,4,2,0,
0,20182019,Saskatoon Generals U15 AA,SAAHL U15,137826,37,10,34,31,34,47,
0,20192020,Seattle Thunderbirds,WHL,9651,0,0,0,1,0,0,-2.0
0,20192020,Saskatoon Contacts U18 AAA,SMAAAHL,48174,19,7,10,41,10,26,
0,20202021,Seattle Thunderbirds,WHL,9651,10,0,4,23,4,10,-8.0
0,20202021,Saskatoon Contacts U18 AAA,SMAAAHL,48174,0,1,2,4,2,1,
0,20212022,Seattle Thunderbirds,WHL,9651,61,4,40,67,40,65,36.0
