,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20092010,Kiekko-Vantaa U16,Jr. C SM-sarja,80692,0.917,3.38,18,,,,,,,,,,,,,,,,,,,
0,20102011,Jokerit U18,Jr. B SM-sarja,25059,0.936,2.37,5,,,,,,,,,,,,,,,,,,,
0,20102011,Jokerit U16,Jr. C SM-sarja,80132,0.927,2.46,10,,,,,,,,,,,,,,,,,,,
0,20112012,Jokerit U20,Jr. A SM-liiga,25070,0.95,1.0,2,,,,,,,,,,,,,,,,,,,
0,20122013,Jokerit U20,Jr. A SM-liiga,25070,0.91,2.92,23,,,,,,,,,,,,,,,,,,,
0,20132014,Jokerit,Liiga,416,0.666,7.16,1,,,,,,,,,,,,,,,,,,,
0,20142015,HIFK,Liiga,386,0.91,2.29,24,,,,,,,,,,,,,,,,,,,
0,20142015,Kiekko-Vantaa,Mestis,4697,0.906,3.29,10,,,,,,,,,,,,,,,,,,,
0,20152016,HIFK,Liiga,869,0.906,2.36,22,,,,,,,,,,,,,,,,,,,
0,20152016,KooKoo,Liiga,4689,0.919,2.34,2,,,,,,,,,,,,,,,,,,,
0,20162017,HIFK,Liiga,869,0.92,2.14,42,,,,,,,,,,,,,,,,,,,
0,20172018,HIFK,Liiga,869,0.946,1.33,15,,,,,,,,,,,,,,,,,,,
0,20172018,Ketterä,Mestis,11437,0.954,1.5,2,,,,,,,,,,,,,,,,,,,
0,20182019,Rockford IceHogs,AHL,8267,0.91,2.5,19,,,,,,,,,,,,,,,,,,,
0,20182019,Finland,WC,17055,0.942,1.5,8,,,,,,,,,,,,,,,,,,,
0,20182019,Indy Fuel,ECHL,163565,0.893,3.18,6,,,,,,,,,,,,,,,,,,,
0,20192020,Rockford IceHogs,AHL,8267,0.909,3.03,21,,,,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,0.909,3.0072,37,2174:49,5.0,2.0,0.0,17.0,14.0,1095.0,125.0,35.0,935.0,40.0,1014.0,150.0,37.0,1204.0,109.0,83.33333333333334,87.5,92.20907297830375
0,20212022,Chicago Blackhawks,National Hockey League,1,0.891,3.50301,32,1815:35,6.0,0.0,0.0,8.0,15.0,867.0,109.0,26.0,732.0,28.0,815.0,130.0,29.0,973.0,106.0,83.84615384615385,92.85714285714286,89.8159509202454
