,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Oak. Rangers,Minor-ON,1,24,7,38,40,38,31,,,,,,,,,,,,,,,,,
0,20122013,Oak. Rangers,Other,2,18,7,36,31,36,25,,,,,,,,,,,,,,,,,
0,20122013,Oakville,ON-Jr.A,3,1,0,12,3,12,1,,,,,,,,,,,,,,,,,
0,20132014,Sudbury,OHL,1,11,0,18,53,18,11,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20142015,Sudbury,OHL,1,30,10,54,68,54,40,4.0,1.0,0.0,-49.0,,,,,,,,,,,,,
0,20152016,Sudbury Wolves,OHL,6228,36,7,58,68,58,43,,,,-43.0,,,,,,,,,,,,,
0,20162017,Sudbury Wolves,OHL,6228,37,10,66,65,66,47,,,,-20.0,,,,,,,,,,,,,
0,20162017,Tucson Roadrunners,AHL,218897,0,0,0,4,0,0,,,,1.0,,,,,,,,,,,,,
0,20172018,Arizona Coyotes,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,-1.0,13:33,0.0,3.0,0.0,00:00,13:32,0.0,0.0,0.0,0.0,00:01,1.0,21.0
0,20172018,Tucson Roadrunners,AHL,218897,28,2,36,49,36,30,,,,9.0,,,,,,,,,,,,,
0,20182019,Arizona Coyotes,National Hockey League,1,0,0,0,2,0,0,0.0,0.0,0.0,-2.0,32:09,1.0,2.0,0.0,03:15,28:54,0.0,0.0,0.0,0.0,00:00,2.0,38.0
0,20182019,Tucson Roadrunners,AHL,218897,25,7,51,40,51,32,,,,10.0,,,,,,,,,,,,,
0,20192020,Arizona Coyotes,National Hockey League,1,0,1,2,9,2,1,0.0,0.0,0.0,-1.0,132:52,10.0,14.0,0.0,01:21,124:07,0.0,10.0,0.0,0.0,07:24,10.0,186.0
0,20192020,Tucson Roadrunners,AHL,218897,27,10,47,42,47,37,,,,6.0,,,,,,,,,,,,,
0,20202021,Arizona Coyotes,National Hockey League,1,0,0,2,2,2,0,0.0,0.0,0.0,-2.0,28:55,3.0,1.0,0.0,04:27,24:28,0.0,0.0,0.0,0.0,00:00,2.0,46.0
0,20202021,Tucson Roadrunners,AHL,218897,11,2,22,20,22,13,,,,-9.0,,,,,,,,,,,,,
0,20212022,Arizona Coyotes,National Hockey League,1,7,2,38,45,38,9,1.0,1.0,0.0,-12.0,720:10,40.0,43.0,2.0,25:38,688:06,0.0,5.0,1.0,0.0,06:26,46.0,982.0
