,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Shattuck St. Mary's 14U AAA,14U AAA,91408,101,75,104,75,104,176,,,,,,,,,,,,,,,,,
0,20032004,Shattuck St. Mary's 18U Prep,USHS-Prep,23882,53,46,46,71,46,99,,,,,,,,,,,,,,,,,
0,20042005,Shat.-St. Mary's,High-MN,1,45,47,72,65,72,92,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20052006,Des Moines,USHL,1,31,27,56,50,56,58,00:00,00:00,00:00,0.0,00:00,0.0,4.0,8.0,4.0,28.0,,,,,,,
0,20062007,U. Of Minnesota,WCHA,1,21,19,34,40,34,40,,,,,,,,,,,,,,,,,
0,20062007,United States,WJC-A,3,1,0,12,7,12,1,,,,,,,,,,,,,,,,,
0,20072008,New York Islanders,National Hockey League,1,3,2,2,9,2,5,148:09,21:14,122:54,0.0,04:01,165.0,1.0,1.0,0.0,3.0,15.0,5.0,1.0,13.33,0.0,1.0,3.0
0,20072008,United States,WJC-A,6,5,1,2,6,2,6,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20072008,U. Of Minnesota,WCHA,7,4,7,6,18,6,11,,,,,,,,,,,,,,,,,
0,20072008,Bridgeport,AHL,8,19,9,12,35,12,28,,,,,,,4.0,,0.0,0.0,,,,,,,
0,20082009,New York Islanders,National Hockey League,1,21,18,36,65,36,39,1170:39,206:36,875:33,33.33,88:30,1388.0,9.0,3.0,0.0,-6.0,165.0,64.0,13.0,10.91,1.0,1.0,30.0
0,20082009,United States,WC-A,3,3,2,10,9,10,5,,,,0.0,,,,,,,,,,,,,
0,20092010,New York Islanders,National Hockey League,1,33,19,34,80,34,52,1643:10,343:22,1153:55,47.83,145:53,1902.0,4.0,4.0,0.0,-22.0,249.0,62.0,22.0,7.63,2.0,1.0,44.0
0,20092010,U.S.A.,WC-A,5,2,1,0,6,0,3,,,,0.0,,,,,,,,,,,,,
0,20102011,New York Islanders,National Hockey League,1,15,5,40,38,40,20,630:09,96:38,514:38,41.38,18:53,740.0,0.0,2.0,0.0,3.0,72.0,31.0,5.0,6.94,0.0,0.0,16.0
0,20112012,New York Islanders,National Hockey League,1,21,24,46,79,46,45,1348:18,132:37,1208:03,47.89,07:38,1577.0,3.0,2.0,0.0,-15.0,152.0,51.0,6.0,15.79,0.0,0.0,33.0
0,20112012,U.S.A.,WC-A,2,1,2,0,8,0,3,,,,,,,0.0,0.0,0.0,2.0,,,,,,,
0,20122013,New York Islanders,National Hockey League,1,20,4,38,48,38,24,813:53,74:12,734:42,55.91,04:59,981.0,0.0,0.0,0.0,-2.0,101.0,48.0,3.0,3.96,0.0,0.0,21.0
0,20132014,New York Islanders,National Hockey League,1,42,27,51,71,51,69,1450:46,280:36,1158:05,47.55,12:05,1577.0,5.0,4.0,0.0,-9.0,195.0,43.0,15.0,13.85,1.0,0.0,35.0
0,20142015,New York Islanders,National Hockey League,1,33,18,12,60,12,51,1173:16,226:10,945:17,49.69,01:49,1329.0,6.0,2.0,0.0,-8.0,195.0,53.0,18.0,9.23,0.0,0.0,23.0
0,20152016,New York Islanders,National Hockey League,1,42,22,51,79,51,64,1438:15,235:19,1197:44,36.51,05:12,1708.0,7.0,4.0,0.0,-4.0,202.0,90.0,23.0,10.89,2.0,0.0,39.0
0,20162017,Buffalo Sabres,National Hockey League,1,26,19,24,65,24,45,1233:03,208:24,1016:27,54.55,08:12,1443.0,7.0,2.0,0.0,-7.0,156.0,53.0,23.0,12.18,1.0,0.0,25.0
0,20172018,Buffalo Sabres,National Hockey League,1,29,15,40,76,40,44,1294:04,259:13,1026:06,46.0,08:45,1540.0,6.0,2.0,0.0,-34.0,161.0,70.0,21.0,9.32,0.0,0.0,34.0
0,20182019,Buffalo Sabres,National Hockey League,1,15,14,41,78,41,29,1075:15,147:15,926:55,47.01,01:05,1361.0,7.0,2.0,0.0,-9.0,147.0,87.0,11.0,9.52,0.0,0.0,27.0
0,20192020,Buffalo Sabres,National Hockey League,1,10,9,28,52,28,19,668:04,35:13,627:48,53.52,05:03,888.0,1.0,2.0,0.0,-3.0,82.0,55.0,1.0,11.0,0.0,0.0,15.0
0,20202021,Buffalo Sabres,National Hockey League,1,11,2,0,35,0,13,485:51,20:26,426:53,54.17,38:32,651.0,0.0,0.0,1.0,-1.0,45.0,29.0,0.0,4.4,0.0,2.0,14.0
0,20212022,Buffalo Sabres,National Hockey League,1,24,21,43,74,43,45,1241:29,131:43,1005:22,49.73,104:24,1619.0,8.0,1.0,2.0,-15.0,174.0,59.0,14.0,12.1,0.0,2.0,19.0
