,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,powerPlayGoals,gameWinningGoals,shortHandedGoals,faceOffPct,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,New Jersey Devils Youth 14U AAA,AYHL 14U,205180,16,17,50,25,50,33,,,,,,,,,,,,,,,,,
0,20062007,New Jersey Devils Youth 16U,AYHL 16U,47281,19,18,30,18,30,37,0.0,,,,,,,,,,,,,,,,
0,20072008,USNTDP,NAHL,1,10,15,43,32,43,25,3.0,7.0,3.0,0.0,,,,,,,,,,,,,
0,20072008,USNTDP,U-17,2,0,5,8,7,8,5,,,,,0.0,,,,,,,,,,,,
0,20072008,USNTDP,U-18,3,9,9,20,27,20,18,,,,,0.0,,,,,,,,,,,,
0,20072008,United States,WJ18-A,4,2,2,4,7,4,4,,,,,0.0,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,1,1,1,2,5,2,2,,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-18,2,14,14,49,28,49,28,,,,,0.0,,,,,,,,,,,,
0,20092010,U. Of Notre Dame,CCHA,1,8,9,36,33,36,17,,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJC-A,3,8,1,4,7,4,9,,,,,0.0,,,,,,,,,,,,
0,20102011,Anaheim Ducks,National Hockey League,1,0,1,0,10,0,1,-1.0,0.0,0.0,0.0,0.0,86:52,10.0,5.0,0.0,00:07,86:45,10.0,0.0,0.0,00:00,1.0,133.0
0,20102011,Syracuse,AHL,2,22,29,56,62,56,51,-2.0,6.0,5.0,0.0,,,217.0,,,,,13.36,,,,,
0,20102011,U.S.A.,WJC-A,3,4,2,0,6,0,6,2.0,1.0,1.0,0.0,,,,,,,,,,,,,
0,20112012,Anaheim Ducks,National Hockey League,1,3,4,6,18,6,7,3.0,0.0,0.0,0.0,100.0,207:22,34.0,20.0,0.0,16:57,189:35,11.76,0.0,0.0,00:50,6.0,274.0
0,20112012,Syracuse,AHL,2,25,33,53,51,53,58,10.0,6.0,7.0,0.0,,,217.0,,,,,15.21,,,,,
0,20112012,U.S.A.,WC-A,3,2,2,8,7,8,4,2.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Anaheim Ducks,National Hockey League,1,11,10,9,42,9,21,2.0,2.0,5.0,0.0,8.33,517:44,92.0,48.0,3.0,57:13,460:30,10.87,0.0,0.0,00:01,10.0,673.0
0,20122013,Norfolk,AHL,2,12,13,54,33,54,25,-13.0,7.0,0.0,0.0,,,113.0,,,,,11.5,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,17,14,38,71,38,31,9.0,0.0,4.0,0.0,39.13,847:54,147.0,96.0,0.0,92:15,755:37,9.52,1.0,0.0,00:02,31.0,1188.0
0,20142015,Anaheim Ducks,National Hockey League,1,15,14,37,57,37,29,-2.0,5.0,4.0,0.0,50.0,803:31,112.0,97.0,11.0,97:47,705:33,12.5,1.0,0.0,00:11,24.0,1044.0
0,20142015,Norfolk,AHL,2,0,0,4,2,4,0,-2.0,0.0,0.0,0.0,,,12.0,,,,,0.0,,,,,
0,20152016,New Jersey Devils,National Hockey League,1,27,30,39,82,39,57,3.0,11.0,4.0,0.0,37.04,1460:00,222.0,129.0,23.0,215:35,1192:13,13.51,2.0,0.0,52:12,51.0,1828.0
0,20162017,New Jersey Devils,National Hockey League,1,27,26,46,80,46,53,2.0,8.0,3.0,1.0,41.38,1387:55,192.0,124.0,19.0,210:54,1101:14,13.54,0.0,1.0,75:47,36.0,1768.0
0,20162017,USA,WCup,17286,0,0,0,2,0,0,0.0,,,,,,,,,,,,,,,,
0,20172018,New Jersey Devils,National Hockey League,1,20,24,30,62,30,44,-1.0,11.0,5.0,0.0,33.33,1073:12,181.0,94.0,23.0,172:06,857:16,13.26,0.0,0.0,43:50,50.0,1390.0
0,20182019,New Jersey Devils,National Hockey League,1,23,27,42,74,42,50,-9.0,11.0,2.0,0.0,27.91,1343:29,224.0,98.0,18.0,243:59,1077:44,12.05,0.0,0.0,21:46,35.0,1580.0
0,20192020,New Jersey Devils,National Hockey League,1,20,25,41,65,41,45,-4.0,11.0,3.0,0.0,32.43,1112:11,155.0,74.0,18.0,206:17,891:54,16.1,1.0,0.0,14:00,36.0,1374.0
0,20202021,New Jersey Devils,National Hockey League,1,9,8,18,34,18,17,-2.0,1.0,2.0,1.0,35.29,604:33,84.0,37.0,5.0,87:06,490:45,9.5,0.0,1.0,26:42,10.0,820.0
0,20202021,New York Islanders,National Hockey League,2,2,2,2,17,2,4,-3.0,1.0,0.0,0.0,66.67,240:42,31.0,25.0,1.0,27:49,212:46,6.5,0.0,0.0,00:07,2.0,321.0
0,20212022,New York Islanders,National Hockey League,1,18,15,57,69,57,33,0.0,2.0,6.0,0.0,29.41,1078:07,156.0,77.0,6.0,111:39,950:44,9.6,0.0,0.0,15:44,18.0,1429.0
