,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,TPS U16,Jr. C SM-sarja,80622,10,6,2,26,2,16,
0,20132014,TPS U16 Akatemia,Jr. C Suomi-sarja,99536,3,1,0,1,0,4,
0,20142015,TPS U18,Jr. B SM-sarja,25009,1,1,6,5,6,2,
0,20142015,TPS U16,Jr. C SM-sarja,80622,21,14,6,21,6,35,
0,20152016,TPS U20,U20 SM-sarja,20200,0,0,0,1,0,0,-3.0
0,20152016,TPS U18,U18 SM-sarja,25911,48,28,24,45,24,76,
0,20162017,TPS U20,U20 SM-sarja,20200,17,8,2,37,2,25,10.0
0,20162017,TPS U18,U18 SM-sarja,25911,4,3,20,5,20,7,
0,20162017,Finland U18,Hlinka Gretzky Cup,158280,0,1,0,4,0,1,-2.0
0,20172018,TPS,Champions HL,592,0,2,2,6,2,2,0.0
0,20172018,TPS,Liiga,969,5,2,4,32,4,7,-2.0
0,20172018,TPS U20,U20 SM-sarja,20200,7,3,18,14,18,10,-2.0
0,20182019,TPS,Champions HL,592,0,1,4,6,4,1,0.0
0,20182019,TPS,Liiga,969,8,5,20,44,20,13,-4.0
0,20182019,TUTO Hockey,Mestis,4717,0,0,0,1,0,0,0.0
0,20192020,TPS,Liiga,969,14,26,10,49,10,40,-12.0
0,20192020,TPS,Spengler Cup,1315,1,1,6,4,6,2,-1.0
0,20192020,Finland,EHT,68516,0,0,0,3,0,0,-1.0
0,20202021,TPS,Liiga,969,16,22,38,48,38,38,12.0
0,20212022,Hartford Wolf Pack,AHL,847,13,13,14,51,14,26,-9.0
