,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Québec Typhon U15 AAA,QBAAA,168106,4,0,4,34,4,4,
0,20152016,Québec Blizzard Midget Espoir 2,QM17E,128331,0,0,0,3,0,0,
0,20152016,Québec Typhon U15 AAA,QM15AAA,169287,7,0,0,32,0,7,
0,20162017,Séminaire St-François Blizzard,QM18AAA,69074,0,0,0,1,0,0,0.0
0,20162017,Québec Blizzard Midget Espoir 2,QM17E,128331,8,1,2,30,2,9,
0,20172018,Séminaire St-François Blizzard,QM18AAA,69074,5,5,12,40,12,10,22.0
0,20182019,Chicoutimi Saguenéens,QMJHL,6090,4,0,2,44,2,4,-2.0
0,20192020,Chicoutimi Saguenéens,QMJHL,6090,11,10,16,59,16,21,18.0
0,20202021,Chicoutimi Saguenéens,QMJHL,6090,8,6,12,26,12,14,9.0
0,20212022,Québec Remparts,QMJHL,9640,26,10,18,62,18,36,41.0
