,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,C. Budejovice U17,CzR-U17,1,2,0,4,6,4,2,,,,,,,,,,,,,,,,,
0,20082009,C. Budejovice U17,CzR-U17,1,17,12,14,44,14,29,,,,,,,,,,,,,,,,,
0,20092010,C. Budejovice U18,CzR-U18,1,27,29,76,37,76,56,,,,,,,,,,,,,,,,,
0,20092010,C. Budejovice Jr.,CzRep-Jr.,2,8,4,4,11,4,12,,,,,,,,,,,,,,,,,
0,20102011,C. Budejovice Jr.,CzRep-Jr.,1,13,14,65,47,65,27,,,,,,,,,,,,,,,,,
0,20102011,Czech Republic,WJ18-A,3,1,3,2,5,2,4,0.0,1.0,0.0,-3.0,,,,,,,,,,,,,
0,20112012,Chicoutimi,QMJHL,1,28,17,57,50,57,45,4.0,2.0,1.0,24.0,,,,,,,,,,,,,
0,20112012,Czech Republic,WJC-A,2,0,0,0,6,0,0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20122013,Chicoutimi,QMJHL,1,19,15,64,48,64,34,5.0,1.0,3.0,1.0,112.0,13.39,,,,,,,,,,,
0,20122013,Czech Republic,WJC-A,2,2,1,10,6,10,3,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
0,20132014,Springfield,AHL,1,6,8,26,54,26,14,0.0,1.0,0.0,-1.0,61.0,13.1,,,,,,,,,,,
0,20142015,Springfield,AHL,1,10,6,30,51,30,16,0.0,1.0,1.0,10.0,70.0,8.6,,,,,,,,,,,
0,20152016,Lake Erie,AHL,1,4,14,27,54,27,18,0.0,3.0,1.0,13.0,91.0,15.4,,,,,,,,,,,
0,20152016,Cleveland Monsters,AHL,22447,4,14,27,54,27,18,,,,13.0,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,6,7,25,62,25,13,0.0,0.0,1.0,10.0,57.0,12.28,602:50,66.0,0.0,02:13,565:01,52.37,0.0,1.0,35:36,28.0,893.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,4,4,21,53,21,8,0.0,0.0,0.0,-3.0,50.0,8.0,498:13,77.0,0.0,02:22,462:36,51.48,0.0,0.0,33:15,26.0,727.0
0,20182019,Columbus Blue Jackets,National Hockey League,1,2,4,10,47,10,6,0.0,0.0,0.0,-5.0,43.0,9.3,422:57,69.0,0.0,02:48,392:56,49.43,0.0,0.0,27:13,20.0,620.0
0,20192020,Traktor Chelyabinsk,KHL,17234,17,23,80,57,80,40,,,,13.0,,,,,,,,,,,,,
0,20192020,Czechia,EHT,68526,0,4,2,6,2,4,,,,0.0,,,,,,,,,,,,,
0,20202021,Traktor Chelyabinsk,KHL,17234,22,16,95,58,95,38,,,,5.0,,,,,,,,,,,,,
0,20202021,Czechia,EHT,68526,0,1,4,3,4,1,,,,0.0,,,,,,,,,,,,,
0,20212022,Czechia,OG,16762,1,0,2,4,2,1,,,,1.0,,,,,,,,,,,,,
0,20212022,Traktor Chelyabinsk,KHL,17234,25,18,36,49,36,43,,,,19.0,,,,,,,,,,,,,
