,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20032004,Saskatoon Contacts U18 AAA,SMAAAHL,48174,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20042005,Sask. Contacts,SMHL,1,22,5,69,41,69,27,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20052006,Kelowna,WHL,1,8,3,86,60,86,11,,,,0.0,,,0.0,0.0,1.0,,,,,,,,
0,20062007,Kelowna,WHL,1,27,2,139,72,139,29,,,,0.0,,,1.0,0.0,-10.0,0.0,,,,,,,
0,20062007,Canada,WJ18-A,3,0,3,4,6,4,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20072008,Kelowna,WHL,1,21,7,100,57,100,28,,,,,,,1.0,0.0,5.0,,,,,,,,
0,20072008,Canada,WJC-A,2,0,0,6,7,6,0,,,,,,,0.0,0.0,5.0,0.0,,,,,,,
0,20082009,Toronto Maple Leafs,National Hockey League,1,12,2,71,70,71,14,1507:23,18:46,1272:46,0.0,215:51,1991.0,1.0,0.0,-12.0,0.0,102.0,206.0,1.0,1.96,0.0,0.0,119.0
0,20082009,Canada,WC-A,2,1,0,0,9,0,1,,,,0.0,,,,,,,,,,,,,
0,20092010,Toronto Maple Leafs,National Hockey League,1,12,5,50,79,50,17,1333:18,19:23,1171:09,0.0,142:46,1818.0,0.0,0.0,2.0,1.0,101.0,173.0,0.0,4.95,0.0,0.0,116.0
0,20102011,Toronto Maple Leafs,National Hockey League,1,17,5,34,82,34,22,1834:17,80:39,1529:09,0.0,224:29,2545.0,0.0,0.0,-7.0,0.0,128.0,251.0,0.0,3.91,0.0,1.0,168.0
0,20102011,Canada,WC-A,2,1,0,0,7,0,1,,,,,,,0.0,0.0,2.0,0.0,,,,,,,
0,20112012,Toronto Maple Leafs,National Hockey League,1,20,2,62,79,62,22,1266:47,05:09,1155:58,0.0,105:40,1834.0,0.0,0.0,-6.0,0.0,81.0,270.0,1.0,2.47,0.0,1.0,115.0
0,20112012,Canada,WC-A,2,1,0,25,8,25,1,,,,,,,0.0,0.0,3.0,0.0,,,,,,,
0,20122013,Philadelphia Flyers,National Hockey League,1,8,3,34,47,34,11,1027:33,17:02,878:00,0.0,132:31,1328.0,0.0,0.0,3.0,0.0,81.0,187.0,0.0,3.7,0.0,0.0,102.0
0,20122013,Canada,WC-A,2,1,1,27,7,27,2,,,,,,,0.0,0.0,4.0,0.0,,,,,,,
0,20132014,Philadelphia Flyers,National Hockey League,1,8,4,58,79,58,12,1306:37,02:04,1134:29,0.0,170:04,1818.0,0.0,0.0,0.0,0.0,78.0,260.0,0.0,5.13,0.0,1.0,113.0
0,20142015,Philadelphia Flyers,National Hockey League,1,11,3,18,58,18,14,1048:03,04:30,910:03,0.0,133:30,1493.0,0.0,0.0,-2.0,0.0,67.0,194.0,0.0,4.48,0.0,0.0,89.0
0,20152016,Philadelphia Flyers,National Hockey League,1,3,2,30,29,30,5,510:07,01:40,442:39,50.0,65:48,736.0,0.0,0.0,-7.0,0.0,19.0,71.0,0.0,10.53,0.0,0.0,40.0
0,20152016,Los Angeles Kings,National Hockey League,2,9,2,52,43,52,11,755:01,16:57,649:52,0.0,88:12,1112.0,1.0,0.0,5.0,0.0,57.0,163.0,1.0,3.51,0.0,0.0,66.0
0,20162017,Arizona Coyotes,National Hockey League,1,7,1,85,78,85,8,1407:49,01:03,1232:08,0.0,174:38,1919.0,0.0,0.0,-9.0,0.0,94.0,286.0,0.0,1.06,0.0,0.0,134.0
0,20172018,Arizona Coyotes,National Hockey League,1,6,1,35,64,35,7,1048:36,01:41,923:48,0.0,123:07,1469.0,0.0,0.0,-12.0,1.0,59.0,219.0,0.0,1.69,0.0,0.0,105.0
0,20182019,Anaheim Ducks,National Hockey League,1,0,0,7,8,7,0,95:51,00:00,87:39,0.0,08:12,151.0,0.0,0.0,-6.0,0.0,7.0,24.0,0.0,0.0,0.0,0.0,8.0
0,20182019,Vancouver Canucks,National Hockey League,2,2,0,9,18,9,2,265:41,00:02,241:59,0.0,23:40,384.0,0.0,0.0,-4.0,0.0,23.0,81.0,0.0,0.0,0.0,0.0,31.0
0,20182019,San Diego Gulls,AHL,85177,8,2,9,22,9,10,,,,,,,,,8.0,,,,,,,,
0,20182019,Utica Comets,AHL,152247,4,1,4,7,4,5,,,,,,,,,3.0,,,,,,,,
0,20192020,Tampa Bay Lightning,National Hockey League,1,2,1,23,25,23,3,311:17,00:52,269:59,0.0,40:26,447.0,0.0,0.0,-8.0,0.0,31.0,83.0,0.0,3.2,0.0,0.0,21.0
0,20192020,Syracuse Crunch,AHL,1057,6,0,2,6,2,6,,,,,,,,,-1.0,,,,,,,,
0,20202021,Tampa Bay Lightning,National Hockey League,1,2,2,51,38,51,4,408:46,00:00,396:35,0.0,12:11,586.0,0.0,0.0,2.0,0.0,43.0,99.0,0.0,4.7,0.0,0.0,17.0
0,20212022,Vancouver Canucks,National Hockey League,1,12,5,61,66,61,17,1135:51,03:17,1008:05,0.0,124:29,1633.0,0.0,1.0,15.0,1.0,78.0,273.0,0.0,6.4,0.0,1.0,96.0
