,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Brother Rice,High-MI,1,41,23,12,30,12,64,,,,,,,,,,,,,,,,,
0,20112012,Michigan D.H.L.,Exhib.,1,8,7,8,18,8,15,,,,,,,,,,,,,,,,,
0,20112012,Brother Rice,High-MI,2,48,42,16,29,16,90,,,,,,,,,,,,,,,,,
0,20122013,Chicago,USHL,1,13,8,35,50,35,21,105.0,2.0,7.62,2.0,0.0,-11.0,,,,,,,,,,,
0,20132014,Michigan State,Big Ten,1,4,8,14,36,14,12,,1.0,,2.0,0.0,,,,,,,,,,,,
0,20142015,Michigan State,Big Ten,1,15,11,10,35,10,26,,5.0,,3.0,1.0,,,,,,,,,,,,
0,20152016,Michigan State,Big Ten,1,16,14,20,37,20,30,,4.0,,2.0,0.0,-19.0,,,,,,,,,,,
0,20152016,Michigan State Univ.,NCAA,12130,16,14,20,37,20,30,,,,,,-19.0,,,,,,,,,,,
0,20162017,Chicago Wolves,AHL,957,6,5,8,55,8,11,,,,,,9.0,,,,,,,,,,,
0,20172018,Chicago Wolves,AHL,957,4,6,25,46,25,10,,,,,,-4.0,,,,,,,,,,,
0,20182019,St. Louis Blues,National Hockey League,1,2,3,10,29,10,5,33.0,0.0,9.09,1.0,0.0,0.0,232:56,49.0,0.0,00:06,232:34,0.0,0.0,0.0,00:16,4.0,336.0
0,20182019,San Antonio Rampage,AHL,8497,7,9,18,33,18,16,,,,,,2.0,,,,,,,,,,,
0,20192020,St. Louis Blues,National Hockey League,1,3,7,33,51,33,10,63.0,0.0,11.1,2.0,0.0,2.0,456:39,82.0,0.0,01:33,452:35,25.0,0.0,0.0,02:31,13.0,654.0
0,20202021,St. Louis Blues,National Hockey League,1,1,1,8,21,8,2,25.0,0.0,4.0,0.0,1.0,3.0,203:44,35.0,0.0,00:05,184:05,50.0,0.0,1.0,19:34,2.0,295.0
0,20212022,St. Louis Blues,National Hockey League,1,2,0,4,14,4,2,14.0,0.0,0.0,0.0,0.0,-1.0,111:34,19.0,0.0,00:05,111:29,0.0,0.0,0.0,00:00,1.0,158.0
0,20212022,Springfield Thunderbirds,AHL,39667,13,12,51,47,51,25,,,,,,3.0,,,,,,,,,,,
