,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals
0,20082009,Linköping HC U16,U16 SM,43331,1,1,0,3,0,1.0,2,,,,
0,20092010,Östergötland,TV-Pucken,11056,1,2,2,5,2,-1.0,3,,,,
0,20102011,Linköping HC J18,J18 Elit,8264,6,12,14,21,14,16.0,18,,,,
0,20112012,Tri-City Americans,WHL,8496,16,11,33,64,33,0.0,27,,,,
0,20122013,Tri-City Americans,WHL,8496,45,21,36,66,36,9.0,66,,,,
0,20132014,Vaxjo,Sweden,1,4,3,6,40,6,0.0,7,34.0,0.0,0.0,0.0
0,20132014,Troja,Sweden-2,2,2,1,2,2,2,2.0,3,,0.0,2.0,0.0
0,20142015,Lulea,Sweden,1,1,1,2,14,2,1.0,2,8.0,0.0,0.0,0.0
0,20142015,Vaxjo,Sweden,2,0,2,41,21,41,1.0,2,18.0,0.0,0.0,0.0
0,20142015,Asploven,Sweden-2,3,0,1,41,4,41,0.0,1,5.0,0.0,1.0,0.0
0,20142015,HV 71,Sweden,4,0,3,4,12,4,-1.0,3,,0.0,2.0,0.0
0,20152016,AIK,Sweden-2,1,17,25,26,49,26,,42,,,,
0,20152016,AIK,HockeyAllsvenskan,1240,17,25,26,49,26,2.0,42,,,,
0,20162017,Hartford Wolf Pack,AHL,847,4,2,20,44,20,-12.0,6,,,,
0,20172018,KooKoo,Liiga,4689,6,14,30,37,30,-10.0,20,,,,
0,20172018,Greenville Swamp Rabbits,ECHL,73215,1,1,0,2,0,2.0,2,,,,
0,20182019,KooKoo,Liiga,4689,27,30,48,52,48,7.0,57,,,,
0,20192020,Sweden,EHT,89816,1,2,6,5,6,-1.0,3,,,,
0,20192020,HK Sochi,KHL,172104,18,21,12,52,12,6.0,39,,,,
0,20202021,SKA St. Petersburg,KHL,2434,1,8,6,21,6,6.0,9,,,,
0,20202021,HK Sochi,KHL,172104,8,8,14,26,14,-7.0,16,,,,
0,20212022,Dinamo Minsk,KHL,17224,13,19,16,38,16,-4.0,32,,,,
