,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20082009,Connecticut Yankees,Brick Invitational,170396,0,0,2.0,5,2,0,
0,20142015,New Jersey Rockets 16U,T1EHL U16,175468,6,5,12.0,27,12,11,
0,20152016,Muskegon Lumberjacks,USHL,6276,0,0,0.0,2,0,0,-2.0
0,20152016,New Jersey Rockets,EHL,35844,19,7,52.0,34,52,26,
0,20152016,Team Royal,USA-S16,177784,0,1,4.0,5,4,1,
0,20162017,Muskegon Lumberjacks,USHL,6276,20,3,51.0,58,51,23,5.0
0,20162017,Team Kelly,USA-S17,177445,3,0,,5,,3,
0,20172018,Muskegon Lumberjacks,USHL,6276,26,12,69.0,59,69,38,5.0
0,20182019,Univ. of Massachusetts,NCAA,11300,16,13,26.0,41,26,29,31.0
0,20192020,Univ. of Massachusetts,NCAA,11300,11,4,14.0,22,14,15,9.0
0,20202021,Chicago Wolves,AHL,957,5,0,0.0,9,0,5,3.0
0,20202021,Univ. of Massachusetts,NCAA,11300,11,3,4.0,27,4,14,21.0
0,20212022,Milwaukee Admirals,AHL,1017,13,6,28.0,67,28,19,-8.0
