,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,Cushing Academy,USHS-Prep,27322,9,13,33,22,,,,,,,,,,,,,,,,,,,
0,20142015,NV River Rats 16U AAA National,MHSL U16,134983,10,5,14,15,4.0,4,,,,,,,,,,,,,,,,,
0,20142015,Team Blue,USA-S15,178083,3,1,5,4,,,,,,,,,,,,,,,,,,,
0,20152016,Cushing Academy,USHS-Prep,27322,19,24,33,43,,,,,,,,,,,,,,,,,,,
0,20152016,Cape Cod Whalers 16U AAA,MHSL U16,153713,0,0,10,0,0.0,0,,,,,,,,,,,,,,,,,
0,20152016,Team Orange,USA-S16,177844,5,0,5,5,0.0,0,,,,,,,,,,,,,,,,,
0,20162017,Cedar Rapids RoughRiders,USHL,8756,12,4,60,16,45.0,45,-33.0,,,,,,,,,,,,,,,,
0,20162017,Team Black,USA-S17,177355,2,2,5,4,,,,,,,,,,,,,,,,,,,
0,20172018,Cedar Rapids RoughRiders,USHL,8756,10,10,21,20,33.0,33,0.0,,,,,,,,,,,,,,,,
0,20182019,Boston College,NCAA,9670,4,4,39,8,20.0,20,-4.0,,,,,,,,,,,,,,,,
0,20192020,Boston College,NCAA,9670,7,5,34,12,14.0,14,8.0,,,,,,,,,,,,,,,,
0,20202021,Boston College,NCAA,9670,14,10,24,24,6.0,6,16.0,,,,,,,,,,,,,,,,
0,20212022,Boston Bruins,National Hockey League,1,0,3,11,3,8.0,8,-1.0,115:21,12.0,15.0,0.0,0.0,01:42,113:32,33.33,25.0,0.0,0.0,0.0,0.0,00:07,2.0,166.0
0,20212022,Providence Bruins,AHL,897,0,0,1,0,0.0,0,-1.0,,,,,,,,,,,,,,,,
0,20212022,Boston College,NCAA,9670,11,21,33,32,22.0,22,10.0,,,,,,,,,,,,,,,,
0,20212022,USA,OG,16972,0,0,2,0,0.0,0,0.0,,,,,,,,,,,,,,,,
