,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedGoals,shortHandedTimeOnIce,shifts,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,West Island Lions,QMAAA,121073,6,4,14,41,14,0.0,10,,,,,,,,,,,,,,,,
0,20032004,Quebec,QMJHL,1,9,1,4,41,4,6.0,10,00:00,0.0,00:00,00:00,0.0,0.0,00:00,0.0,,,,,,,,
0,20042005,Quebec,QMJHL,1,25,5,33,70,33,39.0,30,00:00,1.0,00:00,00:00,0.0,1.0,00:00,0.0,,,,,,,,
0,20052006,Quebec,QMJHL,1,57,16,57,66,57,41.0,73,00:00,8.0,00:00,00:00,0.0,1.0,00:00,0.0,2.0,,,,,,,
0,20062007,San Jose Sharks,National Hockey League,1,23,3,18,81,18,13.0,26,1798:00,2.0,186:20,1343:11,0.0,0.0,268:29,2349.0,0.0,66.0,26.0,12.0,4.55,0.0,1.0,134.0
0,20072008,San Jose Sharks,National Hockey League,1,12,2,24,82,24,-12.0,14,1772:00,1.0,76:21,1437:40,0.0,0.0,257:59,2308.0,0.0,72.0,24.0,5.0,2.78,0.0,0.0,85.0
0,20072008,Worcester,AHL,2,2,0,0,1,0,1.0,2,,0.0,,,,0.0,,,,,,,,,,
0,20082009,San Jose Sharks,National Hockey League,1,30,6,42,82,42,15.0,36,1960:12,3.0,241:13,1500:59,0.0,0.0,218:00,2296.0,1.0,104.0,56.0,21.0,5.77,0.0,1.0,122.0
0,20082009,Canada,WC-A,3,0,0,4,5,4,,0,,,,,0.0,,,,,,,,,,,
0,20092010,San Jose Sharks,National Hockey League,1,13,3,33,64,33,21.0,16,1413:49,1.0,110:51,1112:48,0.0,0.0,190:10,1782.0,0.0,74.0,52.0,2.0,4.05,0.0,0.0,104.0
0,20102011,San Jose Sharks,National Hockey League,1,14,4,18,80,18,14.0,18,1669:01,0.0,69:11,1417:30,0.0,0.0,182:20,2076.0,2.0,116.0,50.0,1.0,3.45,0.0,0.0,147.0
0,20112012,San Jose Sharks,National Hockey League,1,19,4,40,82,40,11.0,23,1898:55,0.0,45:35,1678:59,0.0,0.0,174:21,2306.0,1.0,119.0,45.0,1.0,3.36,0.0,1.0,171.0
0,20112012,Canada,WC-A,2,0,0,0,2,0,0.0,0,,0.0,,,,0.0,,,0.0,,,,,,,
0,20122013,San Jose Sharks,National Hockey League,1,4,3,29,48,29,5.0,7,999:35,0.0,25:24,870:46,0.0,0.0,103:25,1250.0,0.0,59.0,27.0,0.0,5.08,0.0,0.0,81.0
0,20132014,San Jose Sharks,National Hockey League,1,19,5,38,81,38,31.0,24,1677:53,0.0,56:49,1443:20,0.0,1.0,177:44,2074.0,0.0,138.0,51.0,1.0,3.62,0.0,2.0,150.0
0,20132014,Canada,Olympics,2,0,0,0,6,0,3.0,0,,0.0,,,,0.0,,,0.0,8.0,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,14,9,23,70,23,12.0,23,1547:49,0.0,98:22,1281:49,0.0,0.0,167:38,1939.0,3.0,98.0,51.0,3.0,9.18,1.0,0.0,112.0
0,20152016,San Jose Sharks,National Hockey League,1,31,8,48,67,48,15.0,39,1549:42,2.0,134:00,1264:25,0.0,0.0,151:17,1821.0,0.0,116.0,47.0,10.0,6.9,0.0,2.0,129.0
0,20162017,San Jose Sharks,National Hockey League,1,22,6,35,75,35,4.0,28,1592:35,1.0,144:23,1292:21,0.0,0.0,155:51,1982.0,2.0,144.0,18.0,7.0,4.17,1.0,1.0,146.0
0,20162017,Canada,WC,17155,1,1,2,10,2,6.0,2,,,,,,,,,,,,,,,,
0,20162017,Canada,WCup,17216,4,0,0,6,0,4.0,4,,,,,,,,,,,,,,,,
0,20172018,San Jose Sharks,National Hockey League,1,21,11,34,81,34,9.0,32,1826:26,1.0,91:17,1507:06,0.0,0.0,228:03,2142.0,2.0,161.0,26.0,3.0,6.83,1.0,1.0,174.0
0,20172018,Canada,WC,17155,0,1,0,6,0,1.0,1,,,,,,,,,,,,,,,,
0,20182019,San Jose Sharks,National Hockey League,1,22,3,10,72,10,-6.0,25,1515:04,0.0,54:41,1272:31,0.0,0.0,187:52,1847.0,0.0,100.0,23.0,1.0,3.0,0.0,0.0,114.0
0,20192020,San Jose Sharks,National Hockey League,1,10,5,10,70,10,-10.0,15,1420:38,0.0,18:40,1206:04,0.0,1.0,195:54,1803.0,1.0,74.0,37.0,0.0,6.8,0.0,1.0,97.0
0,20202021,San Jose Sharks,National Hockey League,1,5,1,8,51,8,-8.0,6,893:05,0.0,05:41,770:53,0.0,0.0,116:31,1167.0,0.0,37.0,40.0,0.0,2.7,0.0,0.0,64.0
0,20212022,San Jose Sharks,National Hockey League,1,11,3,18,75,18,-22.0,14,1141:09,0.0,02:42,1075:59,0.0,0.0,62:28,1598.0,0.0,63.0,54.0,0.0,4.8,0.0,0.0,90.0
