,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20052006,Ecole Montpetit,QAAA,1,00:00,4,3,40,42,00:00,00:00,40,0.0,00:00,7,0.0,,,,,,,,,,,
0,20062007,Mtl. Predators,QAAA,1,00:00,13,7,66,42,00:00,00:00,66,0.0,00:00,20,0.0,,,,,,,,,,,
0,20072008,Val-d'Or,QMJHL,1,,10,4,35,65,,,35,,,14,,0.0,0.0,-22.0,,,,,,,,
0,20072008,Canada,WJ18-A,2,,1,1,6,7,,,6,,,2,,0.0,0.0,7.0,0.0,,,,,,,
0,20082009,Val-d'Or,QMJHL,1,,27,10,64,58,,,64,,,37,,8.0,0.0,-19.0,,,,,,,,
0,20082009,Houston,AHL,2,,0,0,0,2,,,0,,,0,,0.0,0.0,-2.0,0.0,,,,,,,
0,20092010,Val-d'Or,QMJHL,1,,22,9,41,31,,,41,,,31,,5.0,1.0,10.0,0.0,,,,,,,
0,20092010,Houston,AHL,2,,1,0,7,7,,,7,,,1,,0.0,0.0,2.0,0.0,,,,,,,
0,20092010,Canada,WJC-A,3,,2,1,2,6,,,2,0.0,,3,,,,,,,,,,,,
0,20102011,Minnesota Wild,National Hockey League,1,299:23,2,0,2,20,03:36,282:09,2,0.0,13:38,2,437.0,0.0,0.0,-9.0,0.0,13.0,20.0,0.0,0.0,0.0,0.0,22.0
0,20102011,Houston,AHL,2,,16,3,17,33,,,17,,,19,,2.0,0.0,0.0,1.0,63.0,,,4.76,,,
0,20112012,Minnesota Wild,National Hockey League,1,1372:17,9,3,19,63,111:19,1108:49,19,0.0,152:09,12,1822.0,1.0,0.0,-22.0,1.0,77.0,46.0,6.0,3.9,0.0,0.0,106.0
0,20112012,Houston,AHL,2,,3,2,4,9,,,4,,,5,,0.0,0.0,4.0,0.0,15.0,,,13.33,,,
0,20122013,Minnesota Wild,National Hockey League,1,86:33,0,1,4,6,00:13,79:31,4,0.0,06:49,1,131.0,0.0,0.0,-1.0,0.0,7.0,8.0,0.0,14.29,0.0,0.0,4.0
0,20122013,Houston,AHL,2,,15,2,23,45,,,23,,,17,,0.0,0.0,2.0,0.0,101.0,,,1.98,,,
0,20132014,Minnesota Wild,National Hockey League,1,1429:40,14,3,20,76,19:52,1263:24,20,0.0,146:24,17,2021.0,0.0,0.0,10.0,1.0,80.0,70.0,0.0,3.75,0.0,0.0,102.0
0,20142015,Minnesota Wild,National Hockey League,1,1390:20,12,11,56,64,36:07,1200:42,56,0.0,153:31,23,1861.0,1.0,0.0,8.0,4.0,112.0,90.0,5.0,9.82,2.0,1.0,100.0
0,20152016,Minnesota Wild,National Hockey League,1,1511:06,16,5,22,73,42:56,1335:47,22,0.0,132:23,21,2000.0,2.0,0.0,6.0,0.0,126.0,66.0,3.0,3.97,0.0,1.0,105.0
0,20162017,Minnesota Wild,National Hockey League,1,1302:02,9,4,25,71,19:42,1163:23,25,0.0,118:57,13,1677.0,0.0,0.0,-2.0,0.0,88.0,50.0,0.0,4.55,0.0,0.0,85.0
0,20172018,Buffalo Sabres,National Hockey League,1,1911:59,17,5,37,82,123:46,1568:21,37,0.0,219:52,22,2332.0,0.0,0.0,-15.0,1.0,138.0,91.0,4.0,3.62,1.0,1.0,114.0
0,20182019,Buffalo Sabres,National Hockey League,1,1109:27,7,6,26,63,06:19,977:34,26,0.0,125:34,13,1410.0,0.0,0.0,-13.0,1.0,83.0,53.0,0.0,7.23,0.0,1.0,75.0
0,20192020,Buffalo Sabres,National Hockey League,1,514:25,6,3,8,31,02:46,449:49,8,0.0,61:50,9,661.0,0.0,0.0,9.0,0.0,39.0,38.0,0.0,7.7,0.0,0.0,34.0
0,20192020,Montréal Canadiens,National Hockey League,2,352:38,2,1,8,20,00:35,315:50,8,0.0,36:13,3,434.0,0.0,0.0,1.0,0.0,21.0,25.0,0.0,4.8,0.0,0.0,19.0
0,20192020,St. Louis Blues,National Hockey League,3,223:13,1,0,4,11,00:00,197:16,4,0.0,25:57,1,288.0,0.0,0.0,4.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,7.0
0,20202021,St. Louis Blues,National Hockey League,1,977:28,6,3,24,49,02:37,859:54,24,0.0,114:57,9,1365.0,0.0,0.0,14.0,1.0,55.0,60.0,0.0,5.5,0.0,1.0,64.0
0,20212022,St. Louis Blues,National Hockey League,1,1269:30,11,3,18,70,01:22,1114:54,18,0.0,153:14,14,1891.0,0.0,0.0,17.0,0.0,76.0,106.0,0.0,3.9,0.0,2.0,70.0
