,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,shortHandedGoals,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Sudbury Wolves Bantam AAA,NOBHL,110042,15,16,133,31,133,0.0,31,,,,,,,,,,,,,,,,
0,20062007,Sudbury,Minor-ON,1,15,21,70,30,70,,36,0.0,,,,,,,,,,,,,,,
0,20072008,Sudbury,OHL,1,6,5,38,66,38,-28.0,11,,0.0,0.0,,,,,,,,,,,,,
0,20082009,Sudbury,OHL,1,18,12,96,65,96,-21.0,30,,5.0,0.0,,,,,,,,,,,,,
0,20092010,Sudbury,OHL,1,25,14,156,67,156,-3.0,39,,3.0,1.0,,,,,,,,,,,,,
0,20102011,Sudbury,OHL,1,36,23,92,47,92,5.0,59,,11.0,5.0,,,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,2,2,2,7,2,2.0,4,,1.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Buffalo Sabres,National Hockey League,1,7,6,9,14,9,6.0,13,0.0,2.0,0.0,1.0,221:25,23.0,44.0,3.0,17:56,203:01,26.09,0.0,0.0,00:28,11.0,280.0
0,20112012,Rochester,AHL,2,23,16,78,60,78,19.0,39,,2.0,0.0,5.0,,110.0,,,,,14.55,,,,,
0,20122013,Buffalo Sabres,National Hockey League,1,13,5,41,47,41,-4.0,18,60.0,1.0,0.0,0.0,640:29,55.0,108.0,4.0,72:25,561:30,9.09,0.0,1.0,06:34,16.0,789.0
0,20122013,Rochester,AHL,2,17,10,38,33,38,7.0,27,,3.0,0.0,3.0,,77.0,,,,,12.99,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,12,7,82,74,82,-17.0,19,48.5,0.0,1.0,3.0,1114:37,79.0,206.0,1.0,81:52,949:52,8.86,0.0,1.0,82:53,43.0,1441.0
0,20142015,Buffalo Sabres,National Hockey League,1,12,8,50,57,50,-5.0,20,43.18,0.0,0.0,0.0,924:50,66.0,193.0,1.0,52:13,793:52,12.12,0.0,1.0,78:45,48.0,1166.0
0,20152016,Buffalo Sabres,National Hockey League,1,13,10,79,75,79,4.0,23,25.0,0.0,2.0,2.0,988:50,81.0,193.0,2.0,16:03,942:32,12.35,0.0,2.0,30:15,44.0,1385.0
0,20162017,Buffalo Sabres,National Hockey League,1,10,13,73,80,73,-1.0,23,20.0,0.0,1.0,0.0,1237:44,97.0,279.0,0.0,12:23,1132:36,13.4,0.0,1.0,92:45,57.0,1592.0
0,20172018,Minnesota Wild,National Hockey League,1,15,8,72,77,72,2.0,23,47.37,1.0,0.0,2.0,836:27,79.0,185.0,2.0,20:28,815:40,10.13,0.0,0.0,00:19,44.0,1129.0
0,20182019,Minnesota Wild,National Hockey League,1,12,7,55,82,55,-1.0,19,46.43,0.0,0.0,0.0,981:33,91.0,206.0,1.0,03:41,830:13,7.69,0.0,1.0,147:39,43.0,1336.0
0,20192020,Minnesota Wild,National Hockey League,1,14,11,30,59,30,8.0,25,37.5,0.0,0.0,0.0,860:36,86.0,184.0,0.0,01:55,751:27,12.8,0.0,0.0,107:14,36.0,1116.0
0,20202021,Minnesota Wild,National Hockey League,1,15,11,49,39,49,19.0,26,18.18,0.0,1.0,2.0,583:32,40.0,109.0,0.0,09:57,516:43,27.5,0.0,1.0,56:52,17.0,727.0
0,20212022,Minnesota Wild,National Hockey League,1,19,23,112,74,112,25.0,42,60.0,5.0,0.0,3.0,1214:11,98.0,238.0,7.0,127:09,949:29,23.5,1.0,0.0,137:33,42.0,1481.0
