,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,HK Skalica U18,Slovakia U18,30677,7,4,6,14,6,0,11,,,,,,,,,,,,,,,,
0,20142015,HK Skalica,Slovakia,1724,0,0,0,1,0,-1,0,,,,,,,,,,,,,,,,
0,20142015,HK Skalica U18,Slovakia U18,30677,25,39,16,30,16,45,64,,,,,,,,,,,,,,,,
0,20142015,HK Skalica U20,Slovakia U20,32908,6,6,2,14,2,-5,12,,,,,,,,,,,,,,,,
0,20142015,Slovakia U17,WHC-17,60611,1,0,2,5,2,0,1,,,,,,,,,,,,,,,,
0,20152016,HK Dukla Trencin,Slovakia,2468,0,0,0,2,0,-4,0,,,,,,,,,,,,,,,,
0,20152016,HK Skalica,Slovakia,2518,8,8,20,35,20,-10,16,,,,,,,,,,,,,,,,
0,20152016,Slovakia U18,WJC-18,17353,2,0,2,5,2,2,2,,,,,,,,,,,,,,,,
0,20152016,Team Slovakia U20,Slovakia,25688,1,0,0,2,0,1,1,,,,,,,,,,,,,,,,
0,20152016,HK Skalica U20,Slovakia U20,33555,2,0,2,3,2,-1,2,,,,,,,,,,,,,,,,
0,20152016,Slovakia U18,Hlinka Gretzky Cup,158310,1,1,4,4,4,-1,2,,,,,,,,,,,,,,,,
0,20152016,Team Slovakia U18,Slovakia U20,162365,4,1,2,3,2,3,5,,,,,,,,,,,,,,,,
0,20162017,Slovakia U20,WJC-20,17376,0,0,4,5,4,-4,0,,,,,,,,,,,,,,,,
0,20162017,Hamilton Bulldogs,OHL,186878,12,18,23,58,23,-11,30,,,,,,,,,,,,,,,,
0,20172018,Slovakia U20,WJC-20,17376,0,0,4,5,4,-1,0,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,M-Cup,186661,0,2,2,4,2,1,2,,,,,,,,,,,,,,,,
0,20172018,Hamilton Bulldogs,OHL,186878,28,20,14,62,14,24,48,,,,,,,,,,,,,,,,
0,20182019,Slovakia,WC,17315,4,1,2,7,2,2,5,,,,,,,,,,,,,,,,
0,20182019,Binghamton Devils,AHL,233827,15,13,18,64,18,-9,28,,,,,,,,,,,,,,,,
0,20192020,Binghamton Devils,AHL,233827,8,9,20,37,20,8,17,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,1,1,4,8,4,-2,2,86:15,7.0,13.0,0.0,0.0,00:22,82:13,0.0,14.3,0.0,0.0,0.0,0.0,03:40,4.0,130.0
0,20202021,HC Slovan Bratislava,Slovakia,2498,9,6,50,25,50,12,15,,,,,,,,,,,,,,,,
0,20202021,Slovakia,WC,17315,1,0,0,8,0,-2,1,,,,,,,,,,,,,,,,
0,20202021,Binghamton Devils,AHL,233827,4,3,14,22,14,-13,7,,,,,,,,,,,,,,,,
0,20212022,New Jersey Devils,National Hockey League,1,0,1,0,17,0,-6,1,200:31,24.0,12.0,0.0,0.0,01:32,181:49,25.0,4.2,0.0,0.0,0.0,0.0,17:10,10.0,294.0
0,20212022,Dallas Stars,National Hockey League,2,2,1,6,16,6,-1,3,167:20,18.0,13.0,0.0,0.0,03:46,163:34,0.0,5.6,0.0,0.0,0.0,0.0,00:00,5.0,250.0
0,20212022,Slovakia,OGQ,17075,1,0,2,3,2,4,1,,,,,,,,,,,,,,,,
0,20212022,Texas Stars,AHL,45177,4,2,6,4,6,4,6,,,,,,,,,,,,,,,,
0,20212022,Utica Comets,AHL,152247,5,5,6,13,6,6,10,,,,,,,,,,,,,,,,
