,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Don Mills Flyers Minor Mdgt AAA,GTMMHL,93063,5,6,8,33,8,0.0,11,,,,,,,,,,,,,,,,
0,20142015,Toronto Patriots,OJHL,103197,11,1,28,43,28,0.0,12,,,,,,,,,,,,,,,,
0,20152016,Toronto Patriots,OJHL,103700,34,6,46,51,46,,40,,,,,,,,,,,,,,,,
0,20162017,Des Moines Buccaneers,USHL,9926,33,8,42,60,42,7.0,41,,,,,,,,,,,,,,,,
0,20172018,Univ. of Massachusetts,NCAA,11300,19,4,20,39,20,5.0,23,,,,,,,,,,,,,,,,
0,20182019,Univ. of Massachusetts,NCAA,11300,12,2,23,41,23,6.0,14,,,,,,,,,,,,,,,,
0,20192020,San Jose Sharks,National Hockey League,1,9,2,30,61,30,-15.0,11,969:08,63.0,120.0,0.0,0.0,18:49,904:09,0.0,3.2,0.0,0.0,0.0,1.0,46:10,58.0,1253.0
0,20202021,San Jose Sharks,National Hockey League,1,16,1,22,56,22,-6.0,17,1255:50,58.0,155.0,0.0,4.0,58:27,1037:32,0.0,1.7,0.0,0.0,0.0,0.0,159:51,96.0,1529.0
0,20202021,Canada,WC,17155,2,0,0,10,0,2.0,2,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,12,2,16,63,16,-5.0,14,1449:12,49.0,140.0,0.0,0.0,32:50,1250:43,0.0,4.1,1.0,0.0,0.0,0.0,165:39,151.0,1721.0
