,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,hits,powerPlayPoints,overTimeGoals,shortHandedPoints,blocked
0,20062007,Smiths Falls,CJHL,1,00:00,25,3,85,53,00:00,00:00,85,0.0,00:00,28,0.0,,,,,,,,,,,
0,20072008,Smiths Falls,CJHL,1,00:00,24,2,80,46,00:00,00:00,80,0.0,00:00,26,0.0,,,,,,,,,,,
0,20082009,Clarkson,ECAC,1,,1,1,24,33,,,24,,,2,,,,,,,,,,,,
0,20092010,Clarkson,ECAC,1,,11,8,55,35,,,55,,,19,,,,,,,,,,,,
0,20102011,Clarkson,ECAC,1,,8,3,67,31,,,67,,,11,,3.0,1.0,0.0,,,,,,,,
0,20102011,Binghamton,AHL,2,,0,0,6,9,,,6,,,0,,0.0,0.0,0.0,5.0,0.0,-2.0,,,,,
0,20112012,Ottawa Senators,National Hockey League,1,24:59,0,0,2,2,00:33,24:13,2,0.0,00:13,0,36.0,0.0,0.0,0.0,1.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0
0,20112012,Binghamton,AHL,2,,17,5,127,73,,,127,,,22,,0.0,2.0,0.0,87.0,5.75,0.0,,,,,
0,20122013,Ottawa Senators,National Hockey League,1,77:59,0,0,18,6,00:00,64:55,18,0.0,13:04,0,124.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,5.0
0,20122013,Binghamton,AHL,2,,10,4,157,53,,,157,,,14,,1.0,0.0,0.0,64.0,6.25,21.0,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,163:35,0,1,48,13,00:24,143:04,48,0.0,20:07,1,245.0,0.0,0.0,0.0,6.0,16.67,-2.0,41.0,0.0,0.0,0.0,13.0
0,20132014,Binghamton,AHL,2,,6,2,158,50,,,158,,,8,,0.0,0.0,0.0,51.0,3.9,14.0,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,1002:22,10,1,107,63,02:05,861:50,107,0.0,138:27,11,1388.0,0.0,0.0,0.0,30.0,3.33,15.0,233.0,0.0,0.0,0.0,102.0
0,20152016,Ottawa Senators,National Hockey League,1,921:30,1,1,107,63,01:44,771:21,107,0.0,148:25,2,1313.0,0.0,0.0,0.0,27.0,3.7,-4.0,271.0,0.0,0.0,0.0,99.0
0,20162017,Ottawa Senators,National Hockey League,1,980:45,2,1,154,70,01:11,929:37,154,100.0,49:57,3,1559.0,0.0,0.0,0.0,50.0,2.0,-3.0,364.0,0.0,0.0,0.0,90.0
0,20172018,Ottawa Senators,National Hockey League,1,761:24,8,3,64,52,00:33,698:52,64,0.0,61:59,11,1114.0,0.0,0.0,0.0,66.0,4.55,-6.0,226.0,0.0,0.0,0.0,81.0
0,20182019,Ottawa Senators,National Hockey League,1,825:13,4,1,89,53,00:57,746:13,89,0.0,78:03,5,1214.0,0.0,0.0,0.0,59.0,1.69,-12.0,212.0,0.0,0.0,0.0,93.0
0,20192020,Ottawa Senators,National Hockey League,1,950:47,11,7,58,53,01:35,822:20,58,0.0,126:52,18,1298.0,0.0,0.0,1.0,63.0,11.1,1.0,199.0,0.0,0.0,1.0,120.0
0,20202021,Nashville Predators,National Hockey League,1,300:53,1,0,38,22,00:15,256:34,38,0.0,44:04,1,444.0,0.0,0.0,0.0,18.0,0.0,-2.0,54.0,0.0,0.0,0.0,37.0
0,20212022,Nashville Predators,National Hockey League,1,747:15,4,0,151,57,00:20,644:21,151,0.0,102:34,4,1105.0,0.0,0.0,0.0,45.0,0.0,-9.0,196.0,0.0,0.0,0.0,79.0
