,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Don Mills Flyers Bantam AAA,GTBHL,149245,44,20,125,85,125,27.0,64,,,,,,,,,,,,,,,,
0,20102011,Don Mills,GTHL,1,5,7,40,37,40,,12,,,,,,,,,,,,,,,,
0,20102011,North York,ON-Jr.A,2,0,0,0,2,0,,0,,,,,,,,,,,,,,,,
0,20112012,North York,ON-Jr.A,1,18,9,44,48,44,,27,,,,,,,,,,,,,,,,
0,20122013,Waterloo,USHL,1,27,8,44,64,44,22.0,35,101.0,1.0,7.9,1.0,0.0,,,,,,,,,,,
0,20132014,Waterloo,USHL,1,30,10,30,51,30,22.0,40,142.0,6.0,7.0,2.0,0.0,,,,,,,,,,,
0,20142015,Bowling Green,WCHA,1,17,2,75,39,75,,19,,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Bowling Green,WCHA,2,17,6,40,42,40,8.0,23,97.0,2.0,,0.0,1.0,,,,,,,,,,,
0,20152016,Bowling Green State Univ.,NCAA,12700,17,6,40,42,40,8.0,23,,,,,,,,,,,,,,,,
0,20162017,Bowling Green State Univ.,NCAA,12700,18,8,28,40,28,6.0,26,,,,,,,,,,,,,,,,
0,20162017,Lehigh Valley Phantoms,AHL,173347,1,0,0,1,0,3.0,1,,,,,,,,,,,,,,,,
0,20172018,Lehigh Valley Phantoms,AHL,173347,14,2,18,65,18,-5.0,16,,,,,,,,,,,,,,,,
0,20182019,Philadelphia Flyers,National Hockey League,1,0,0,0,1,0,-1.0,0,1.0,0.0,0.0,0.0,0.0,12:33,1.0,0.0,00:00,12:33,0.0,0.0,0.0,00:00,0.0,19.0
0,20182019,Lehigh Valley Phantoms,AHL,173347,21,5,68,75,68,-3.0,26,,,,,,,,,,,,,,,,
0,20192020,Philadelphia Flyers,National Hockey League,1,1,0,2,6,2,0.0,1,2.0,0.0,0.0,0.0,0.0,81:32,8.0,0.0,00:28,81:04,0.0,0.0,0.0,00:00,5.0,117.0
0,20192020,Lehigh Valley Phantoms,AHL,173347,15,3,30,45,30,2.0,18,,,,,,,,,,,,,,,,
0,20202021,Philadelphia Flyers,National Hockey League,1,0,0,4,4,4,-2.0,0,3.0,0.0,0.0,0.0,0.0,44:04,5.0,0.0,00:01,44:03,0.0,0.0,0.0,00:00,2.0,68.0
0,20202021,Pittsburgh Penguins,National Hockey League,2,1,2,5,5,5,3.0,3,6.0,0.0,33.3,0.0,0.0,55:21,9.0,0.0,00:00,55:21,0.0,0.0,0.0,00:00,5.0,84.0
0,20212022,Pittsburgh Penguins,National Hockey League,1,4,1,23,26,23,1.0,5,27.0,0.0,3.7,1.0,0.0,345:13,27.0,0.0,00:54,320:24,0.0,0.0,0.0,23:55,25.0,488.0
0,20212022,Wilkes-Barre/Scranton Penguins,AHL,1077,0,0,2,2,2,-1.0,0,,,,,,,,,,,,,,,,
