,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,plusMinus,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,St. Cath. Falcons,Minor-ON,1,14,11,14,33,14,25,,,,,,,,,,,,,,,,,
0,20102011,Stanstead Coll.,MPHL,1,4,5,10,13,10,9,,,,,,,,,,,,,,,,,
0,20102011,Stanstead Coll.,High-QU,2,37,24,10,50,10,61,,,,,,,,,,,,,,,,,
0,20112012,Stanstead Coll.,MPHL,1,11,19,12,13,12,30,,,,,,,,,,,,,,,,,
0,20112012,Stanstead Coll.,High-QU,2,26,31,22,41,22,57,,,,,,,,,,,,,,,,,
0,20122013,Providence,H-East,1,11,7,10,34,10,18,1.0,2.0,0.0,,,,,,,,,,,,,,
0,20132014,Providence,H-East,1,12,13,14,39,14,25,3.0,3.0,0.0,,,,,,,,,,,,,,
0,20142015,Providence,H-East,1,19,8,14,37,14,27,3.0,3.0,0.0,,,,,,,,,,,,,,
0,20152016,Providence,H-East,1,25,15,28,38,28,40,6.0,4.0,1.0,86.0,24.0,,,,,,,,,,,,
0,20152016,Stockton,AHL,2,4,2,0,8,0,6,2.0,0.0,0.0,11.0,-2.0,18.2,,,,,,,,,,,
0,20152016,Providence College,NCAA,7690,25,15,28,38,28,40,,,,,24.0,,,,,,,,,,,,
0,20152016,Stockton Heat,AHL,186037,4,2,0,8,0,6,,,,,-2.0,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10:18,1.0,0.0,00:00,10:18,62.5,0.0,0.0,00:00,0.0,13.0
0,20162017,Stockton Heat,AHL,186037,29,27,29,64,29,56,,,,,19.0,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,8,17,33,72,33,25,2.0,3.0,2.0,118.0,-7.0,14.41,961:38,35.0,3.0,58:36,826:40,48.77,0.0,2.0,76:22,51.0,1266.0
0,20172018,Stockton Heat,AHL,186037,3,5,12,6,12,8,,,,,8.0,,,,,,,,,,,,
0,20182019,Calgary Flames,National Hockey League,1,18,14,12,79,12,32,0.0,1.0,5.0,99.0,6.0,14.14,1003:55,30.0,0.0,18:40,831:38,51.95,0.0,8.0,153:37,56.0,1458.0
0,20192020,Calgary Flames,National Hockey League,1,2,5,14,56,14,7,0.0,0.0,0.0,38.0,-12.0,13.2,621:29,14.0,0.0,06:56,500:21,44.71,0.0,0.0,114:12,33.0,870.0
0,20202021,Pittsburgh Penguins,National Hockey League,1,7,4,6,45,6,11,0.0,0.0,0.0,35.0,4.0,11.4,482:00,35.0,0.0,06:30,394:21,46.75,0.0,0.0,81:09,21.0,737.0
0,20212022,Buffalo Sabres,National Hockey League,1,3,2,4,19,4,5,0.0,1.0,0.0,14.0,2.0,14.3,259:15,5.0,0.0,01:26,220:37,48.04,0.0,0.0,37:12,8.0,368.0
0,20212022,Rochester Americans,AHL,1047,17,10,18,32,18,27,,,,,2.0,,,,,,,,,,,,
