,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Kit. Jr. Rangers,Minor-ON,1,19,20,16,31,16,39,,,,,,,,,,,,,,,,,
0,20082009,Kit. Jr. Rangers,Exhib.,2,20,20,14,18,14,40,,,,,,,,,,,,,,,,,
0,20092010,Kitchener,ON-Jr.B,1,37,18,20,51,20,55,8.0,0.0,1.0,,,,,,,,,,,,,,
0,20102011,Barrie,OHL,1,53,22,35,66,35,75,13.0,,1.0,-22.0,,,,,,,,,,,,,
0,20102011,Canada,WJ18-A,2,2,6,2,7,2,8,3.0,0.0,0.0,1.0,,,,,,,,,,,,,
0,20112012,Winnipeg Jets,National Hockey League,1,0,1,0,7,0,1,1.0,0.0,0.0,0.0,76:37,5.0,3.0,1.0,08:19,65:28,35.29,20.0,0.0,0.0,02:50,1.0,105.0
0,20112012,Barrie,OHL,2,40,23,36,47,36,63,5.0,3.0,3.0,21.0,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,3,3,3,0,6,0,6,1.0,0.0,0.0,2.0,,,,,,,,,,,,,
0,20122013,Winnipeg Jets,National Hockey League,1,0,0,0,4,0,0,0.0,0.0,0.0,0.0,46:06,6.0,4.0,0.0,02:43,43:23,71.43,0.0,0.0,0.0,00:00,0.0,60.0
0,20122013,Canada,WJC-A,2,3,5,2,6,2,8,2.0,2.0,1.0,1.0,,,,,,,,,,,,,
0,20122013,Barrie,OHL,3,40,39,30,45,30,79,14.0,,2.0,27.0,,,,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,21,13,14,63,14,34,1.0,2.0,0.0,9.0,1030:34,100.0,63.0,4.0,124:12,903:17,42.17,13.0,1.0,0.0,03:05,39.0,1254.0
0,20132014,Canada,WC-A,2,2,1,0,7,0,3,0.0,0.0,0.0,5.0,,10.0,,,,,,,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,34,15,24,82,24,49,3.0,2.0,0.0,11.0,1524:15,170.0,100.0,13.0,197:52,1285:03,42.86,8.82,0.0,0.0,41:20,61.0,1918.0
0,20152016,Winnipeg Jets,National Hockey League,1,32,29,48,71,48,61,7.0,3.0,0.0,16.0,1316:58,194.0,53.0,11.0,190:23,1105:38,44.17,14.95,1.0,0.0,20:57,36.0,1641.0
0,20152016,Canada,WC-A,2,5,4,8,9,8,9,1.0,1.0,0.0,8.0,,20.0,,,,,,,,,,,
0,20152016,Canada,WC,17155,5,4,8,9,8,9,,,,8.0,,,,,,,,,,,,,
0,20162017,Winnipeg Jets,National Hockey League,1,50,32,38,79,38,82,7.0,5.0,0.0,18.0,1624:07,160.0,49.0,15.0,244:32,1323:58,43.46,20.0,2.0,2.0,55:37,34.0,1969.0
0,20162017,Canada,WC,17155,5,3,8,10,8,8,,,,1.0,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,1,0,2,3,2,1,,,,0.0,,,,,,,,,,,,,
0,20172018,Winnipeg Jets,National Hockey League,1,37,23,18,60,18,60,8.0,3.0,2.0,19.0,1240:42,125.0,57.0,16.0,187:08,983:15,51.25,18.4,0.0,3.0,70:19,31.0,1475.0
0,20182019,Winnipeg Jets,National Hockey League,1,46,38,38,82,38,84,12.0,6.0,0.0,8.0,1792:42,199.0,54.0,23.0,295:08,1404:31,46.26,19.1,3.0,3.0,93:03,54.0,1969.0
0,20192020,Winnipeg Jets,National Hockey League,1,44,29,45,71,45,73,10.0,6.0,0.0,2.0,1548:07,170.0,34.0,20.0,234:48,1295:46,46.94,17.1,2.0,0.0,17:33,49.0,1676.0
0,20202021,Winnipeg Jets,National Hockey League,1,42,21,12,56,12,63,4.0,4.0,0.0,-4.0,1173:54,126.0,31.0,17.0,181:28,988:42,49.79,16.7,0.0,0.0,03:44,38.0,1233.0
0,20212022,Winnipeg Jets,National Hockey League,1,41,29,23,67,23,70,7.0,3.0,0.0,-17.0,1415:58,159.0,36.0,19.0,232:39,1178:41,50.71,18.2,2.0,0.0,04:38,47.0,1500.0
