,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,HPK U16,Jr. C SM-sarja,80602,4,0,4,8,4,0.0,4,,,,,,,,,,,,,,,,
0,20122013,HPK U16,Jr. C SM-sarja Q,10154128,8,3,8,9,8,0.0,11,,,,,,,,,,,,,,,,
0,20132014,Tappara U18,Fin-U18,1,11,3,14,40,14,,14,,,,,,,,,,,,,,,,
0,20142015,HPK U18,Fin-U18,1,2,0,0,4,0,,2,,,,,,,,,,,,,,,,
0,20142015,HPK Jr.,Fin-Jr.,2,14,2,28,39,28,,16,,,,,,,,,,,,,,,,
0,20152016,Saginaw,OHL,1,26,1,28,65,28,-23.0,27,89.0,0.0,1.1,0.0,0.0,,,,,,,,,,,
0,20152016,Finland,WJ18-A,2,1,0,6,7,6,1.0,1,8.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Saginaw Spirit,OHL,9488,26,1,28,65,28,-23.0,27,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,1,0,6,7,6,1.0,1,,,,,,,,,,,,,,,,
0,20152016,Finland U18,Hlinka Gretzky Cup,158280,2,0,6,5,6,3.0,2,,,,,,,,,,,,,,,,
0,20162017,Saginaw Spirit,OHL,9488,6,3,40,59,40,-5.0,9,,,,,,,,,,,,,,,,
0,20172018,HPK,Liiga,6589,2,1,24,42,24,-12.0,3,,,,,,,,,,,,,,,,
0,20172018,HPK,Spengler Cup,6935,0,0,0,3,0,-2.0,0,,,,,,,,,,,,,,,,
0,20172018,LeKi,Mestis,7347,0,0,0,1,0,-1.0,0,,,,,,,,,,,,,,,,
0,20182019,HPK,Liiga,6589,4,1,8,50,8,5.0,5,,,,,,,,,,,,,,,,
0,20192020,Ässät,Liiga,979,6,1,42,55,42,-6.0,7,,,,,,,,,,,,,,,,
0,20202021,Ässät,Liiga,979,3,0,35,14,35,-2.0,3,,,,,,,,,,,,,,,,
0,20202021,Bakersfield Condors,AHL,7257,4,2,6,21,6,0.0,6,,,,,,,,,,,,,,,,
0,20212022,Edmonton Oilers,National Hockey League,1,1,0,4,20,4,-5.0,1,12.0,0.0,0.0,0.0,0.0,263:53,82.0,0.0,00:03,235:26,0.0,0.0,0.0,28:24,19.0,344.0
0,20212022,Bakersfield Condors,AHL,7257,6,2,12,34,12,4.0,8,,,,,,,,,,,,,,,,
