,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals
0,20112012,TPS U16,Jr. C I-divisioona,80634,1,0,0,2,0,0.0,1,,,,,
0,20122013,TPS U16,Jr. C SM-sarja Q,10154148,3,4,6,8,6,0.0,7,,,,,
0,20132014,TPS U18,Fin-U18,1,11,13,26,44,26,,24,,,,,
0,20132014,TPS Jr.,Fin-Jr.,2,0,0,0,1,0,,0,,,,,
0,20142015,TPS U18,Fin-U18,1,7,6,4,9,4,,13,,,,,
0,20142015,TPS Jr.,Fin-Jr.,2,4,2,12,20,12,,6,,,,,
0,20152016,TPS Jr.,Fin-Jr.,1,17,19,34,49,34,,36,,,,,
0,20152016,TPS ,Finland,2,0,0,0,2,0,,0,,,,,
0,20152016,Finland,WJ18-A,5,2,0,2,7,2,2.0,2,9.0,0.0,0.0,0.0,0.0
0,20152016,TPS,Liiga,969,0,0,0,2,0,-2.0,0,,,,,
0,20152016,Finland U18,WJC-18,17093,2,0,0,7,0,2.0,2,,,,,
0,20152016,TPS U20,JCWC,19460,2,1,2,4,2,-1.0,3,,,,,
0,20152016,TPS U20,U20 SM-sarja,20200,17,19,34,49,34,6.0,36,,,,,
0,20162017,TPS,Liiga,969,0,0,2,5,2,0.0,0,,,,,
0,20162017,TUTO Hockey,Mestis,4717,0,2,2,11,2,2.0,2,,,,,
0,20162017,TPS U20,U20 SM-sarja,20200,16,12,58,27,58,5.0,28,,,,,
0,20172018,TPS,Champions HL,592,0,1,2,6,2,1.0,1,,,,,
0,20172018,TPS,Liiga,969,11,10,14,51,14,9.0,21,,,,,
0,20172018,Finland U20,WJC-20,17116,2,1,2,5,2,3.0,3,,,,,
0,20182019,TPS,Champions HL,592,0,1,4,6,4,0.0,1,,,,,
0,20182019,TPS,Liiga,969,11,1,20,60,20,0.0,12,,,,,
0,20192020,TPS,Liiga,969,14,14,28,57,28,-1.0,28,,,,,
0,20192020,TPS,Spengler Cup,1315,1,0,0,4,0,-4.0,1,,,,,
0,20202021,TPS,Liiga,969,18,18,22,46,22,7.0,36,,,,,
0,20202021,Finland,EHT,68516,0,0,0,6,0,-3.0,0,,,,,
0,20212022,TPS,Champions HL,592,2,1,4,6,4,-2.0,3,,,,,
0,20212022,TPS,Liiga,969,19,20,49,56,49,13.0,39,,,,,
0,20212022,Finland,EHT,68516,0,0,2,2,2,0.0,0,,,,,
