,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,RB Hockey Academy U18,EBJL,86573,2,2,14,7,14,4,
0,20162017,Slovakia U18,WJC-18,17353,0,0,0,4,0,0,-3.0
0,20162017,RB Hockey Juniors,U20 SM-sarja,244870,0,2,6,12,6,2,-3.0
0,20172018,Sioux City Musketeers,USHL,9956,29,8,253,49,253,37,8.0
0,20182019,Sioux City Musketeers,USHL,9956,47,16,118,44,118,63,13.0
0,20182019,Slovakia U20,WJC-20,17376,2,0,8,5,8,2,0.0
0,20192020,Stockton Heat,AHL,186037,7,3,56,26,56,10,0.0
0,20202021,HC Kosice,Slovakia,2478,8,9,102,22,102,17,3.0
0,20202021,Stockton Heat,AHL,186037,6,5,35,14,35,11,-1.0
0,20212022,Stockton Heat,AHL,186037,18,7,95,47,95,25,9.0
