,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,DHI Octane Selects U15,WSI U15,222500,7,2,0.0,8,0,9,
0,20162017,Toronto Nationals U16 AAA,GTHL U16,117950,16,13,,33,,29,
0,20162017,Team GTHL Red,OGC-16,154287,1,1,8.0,5,8,2,
0,20172018,Guelph Storm,OHL,6238,6,7,30.0,60,30,13,-10.0
0,20172018,Team Black,U17-Dev,178209,0,1,4.0,3,4,1,
0,20182019,Guelph Storm,OHL,6238,4,3,14.0,20,14,7,-3.0
0,20182019,North Bay Battalion,OHL,149108,16,10,45.0,49,45,26,-23.0
0,20192020,North Bay Battalion,OHL,149108,8,11,33.0,45,33,19,-36.0
0,20202021,Fort Wayne Komets,ECHL,6335,2,1,4.0,4,4,3,3.0
0,20202021,Henderson Silver Knights,AHL,307807,3,0,4.0,10,4,3,1.0
0,20212022,Henderson Silver Knights,AHL,307807,8,3,49.0,52,49,11,-7.0
