,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Richelieu Éclaireurs Bantam AA,RICBAA,150944,9,16,6,33,6,0.0,25,,,,,,,,,,,,,,,,
0,20112012,Richelieu Éclaireurs Bantam AA,RICBAA,150944,10,17,30,23,30,0.0,27,,,,,,,,,,,,,,,,
0,20122013,Antoine-Girouard,Minor-QC,1,23,26,61,34,61,,49,,,,,,,,,,,,,,,,
0,20122013,Antoine-Girouard,QAAA,2,1,0,2,3,2,,1,,,,,,,,,,,,,,,,
0,20132014,Antoine-Girouard,QAAA,1,25,11,68,32,68,,36,,,,,,,,,,,,,,,,
0,20132014,Saint John,QMJHL,2,10,1,10,30,10,-3.0,11,35.0,1.0,2.9,1.0,0.0,,,,,,,,,,,
0,20142015,Saint John,QMJHL,1,21,21,46,59,46,18.0,42,117.0,2.0,17.9,3.0,3.0,,,,,,,,,,,
0,20152016,Saint John,QMJHL,1,40,33,57,58,57,35.0,73,,5.0,,6.0,6.0,,,,,,,,,,,
0,20152016,Saint John Sea Dogs,QMJHL,21410,40,33,57,58,57,35.0,73,,,,,,,,,,,,,,,,
0,20162017,Canada U20,WJC-20,17216,4,1,0,7,0,4.0,5,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,M-Cup,21151,3,2,0,4,0,0.0,5,,,,,,,,,,,,,,,,
0,20162017,Saint John Sea Dogs,QMJHL,21410,44,36,57,54,57,37.0,80,,,,,,,,,,,,,,,,
0,20172018,Syracuse Crunch,AHL,1057,38,15,41,70,41,10.0,53,,,,,,,,,,,,,,,,
0,20182019,Tampa Bay Lightning,National Hockey League,1,13,13,26,70,26,5.0,26,95.0,0.0,13.68,1.0,0.0,795:06,129.0,0.0,14:55,731:49,29.41,0.0,2.0,48:22,14.0,1146.0
0,20182019,Canada,WC,17155,1,1,2,10,2,3.0,2,,,,,,,,,,,,,,,,
0,20192020,Tampa Bay Lightning,National Hockey League,1,3,4,16,37,16,-2.0,7,35.0,0.0,11.4,0.0,0.0,426:18,47.0,0.0,03:06,394:34,28.57,0.0,1.0,28:38,10.0,602.0
0,20192020,Syracuse Crunch,AHL,1057,15,6,14,29,14,-7.0,21,,,,,,,,,,,,,,,,
0,20202021,Tampa Bay Lightning,National Hockey League,1,7,12,10,56,10,3.0,19,59.0,1.0,20.3,2.0,0.0,612:13,82.0,2.0,03:40,579:37,38.39,0.0,0.0,28:56,15.0,841.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,10,8,23,58,23,4.0,18,67.0,0.0,11.9,2.0,2.0,794:31,85.0,0.0,01:59,670:59,40.91,1.0,3.0,121:33,20.0,1100.0
0,20212022,Ottawa Senators,National Hockey League,2,8,4,6,11,6,8.0,12,19.0,0.0,21.1,1.0,0.0,185:09,21.0,0.0,08:24,160:45,50.0,0.0,1.0,16:00,7.0,248.0
