,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Rive-Sud Express 2 Bntm AA,LHDAAQ,153709,6,8,0,20,0,0,14,,,,,,,,,,,,,,,,
0,20112012,Rive-Sud Express 2 Bntm AA,LHDAAQ,153709,2,5,10,10,10,0,7,,,,,,,,,,,,,,,,
0,20122013,Lévis Chevaliers,QMAAA,65533,5,9,12,42,12,0,14,,,,,,,,,,,,,,,,
0,20132014,Moncton Wildcats,QMJHL,8938,8,6,43,53,43,-1,14,,,,,,,,,,,,,,,,
0,20142015,Moncton Wildcats,QMJHL,8938,4,3,39,33,39,-2,7,,,,,,,,,,,,,,,,
0,20152016,Shawinigan Cataractes,QMJHL,9670,19,11,80,59,80,25,30,,,,,,,,,,,,,,,,
0,20162017,Shawinigan Cataractes,QMJHL,9670,15,9,102,58,102,4,24,,,,,,,,,,,,,,,,
0,20172018,Sherbrooke Phoenix,QMJHL,114420,22,27,90,67,90,5,49,,,,,,,,,,,,,,,,
0,20182019,Milwaukee Admirals,AHL,1017,8,4,91,54,91,5,12,,,,,,,,,,,,,,,,
0,20192020,Nashville Predators,National Hockey League,1,1,0,4,8,4,1,1,60:22,6.0,17.0,0.0,0.0,00:00,60:22,0.0,0.0,0.0,0.0,0.0,0.0,00:00,1.0,94.0
0,20192020,Milwaukee Admirals,AHL,1017,9,10,95,56,95,5,19,,,,,,,,,,,,,,,,
0,20202021,Nashville Predators,National Hockey League,1,2,3,70,30,70,-1,5,327:37,25.0,62.0,1.0,1.0,02:17,312:59,50.0,12.0,0.0,0.0,0.0,0.0,12:21,19.0,442.0
0,20212022,Nashville Predators,National Hockey League,1,1,0,14,10,14,-3,1,100:59,5.0,23.0,0.0,0.0,00:15,92:38,0.0,0.0,0.0,0.0,0.0,0.0,08:06,4.0,148.0
0,20212022,Milwaukee Admirals,AHL,1017,6,5,76,46,76,-7,11,,,,,,,,,,,,,,,,
