,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20072008,Thunder Bay Kings Bantam AAA,Bantam,129295,0.87,5.92,32,,,,,,,,,,,,,,,,,,,
0,20082009,Thunder Bay Kings Bantam AAA,Bantam,129295,0.0,2.84,29,,,,,,,,,,,,,,,,,,,
0,20092010,Thunder Bay,Minor-ON,1,,1.71,40,1975:00,6.0,0.0,32.0,5.0,75.0,,,,,,,,,,,,,
0,20102011,Sault Ste. Marie,OHL,1,,3.79,28,1377:00,1.0,3.0,8.0,11.0,87.0,,,,,,,,,,,,,
0,20112012,Sault Ste. Marie,OHL,1,,4.08,36,1912:00,0.0,1.0,13.0,19.0,130.0,,,,,,,,,,,,,
0,20112012,Canada,WJ18-A,2,0.909524,2.72,7,420:00,0.0,0.0,4.0,3.0,19.0,191.0,210.0,,,,,,,,,,,
0,20122013,Sault Ste. Marie,OHL,1,0.894174,3.67,53,2910:00,2.0,4.0,26.0,19.0,178.0,1504.0,1682.0,,,,,,,,,,,
0,20132014,Sault Ste. Marie,OHL,1,0.921231,2.57,49,2984:00,6.0,1.0,32.0,11.0,128.0,1497.0,1625.0,,,,,,,,,,,
0,20132014,Wilkes-Barre,AHL,2,0.92,2.0,1,60:00,0.0,0.0,0.0,1.0,2.0,23.0,25.0,,,,,,,,,,,
0,20142015,Wilkes-Barre,AHL,1,0.941,1.58,40,2321:00,12.0,3.0,25.0,10.0,61.0,968.0,1029.0,,,,,,,,,,,
0,20142015,Wilkes-Barre/Scranton Penguins,AHL,1077,0.941,1.58,40,,,,,,,,,,,,,,,,,,,
0,20152016,Pittsburgh Penguins,National Hockey League,1,0.929577,2.003785,13,748:35,1.0,,9.0,2.0,25.0,330.0,355.0,1.0,54.0,10.0,266.0,11.0,285.0,59.0,13.0,91.52542372881356,90.9090909090909,93.33333333333333
0,20152016,Wilkes-Barre/Scranton Penguins,AHL,1077,0.931,2.1,31,,,,,,,,,,,,,,,,,,,
0,20162017,Pittsburgh Penguins,National Hockey League,1,0.923448,2.407983,49,2765:48,4.0,,32.0,10.0,111.0,1339.0,1450.0,4.0,182.0,52.0,1105.0,58.0,1185.0,207.0,47.0,87.92270531400966,89.65517241379311,93.24894514767934
0,20162017,Team North America,WCup,176776,0.886,3.16,2,,,,,,,,,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,0.906535,2.919904,49,2732:58,1.0,0.0,27.0,16.0,133.0,1290.0,1423.0,3.0,192.0,38.0,1060.0,39.0,1163.0,221.0,45.0,86.87782805429865,97.43589743589743,91.14359415305245
0,20182019,Pittsburgh Penguins,National Hockey League,1,0.919072,2.687282,50,2880:14,4.0,0.0,29.0,14.0,129.0,1465.0,1594.0,6.0,166.0,41.0,1258.0,48.0,1352.0,194.0,50.0,85.56701030927834,85.41666666666666,93.04733727810651
0,20182019,Canada,WC,17155,0.926,2.01,7,,,,,,,,,,,,,,,,,,,
0,20192020,Pittsburgh Penguins,National Hockey League,1,0.899,2.8693,38,2237:30,1.0,0.0,20.0,11.0,107.0,948.0,1055.0,5.0,111.0,34.0,803.0,37.0,891.0,127.0,38.0,87.4015748031496,91.8918918918919,90.12345679012346
0,20202021,Ottawa Senators,National Hockey League,1,0.893,3.3756,27,1404:11,2.0,0.0,10.0,13.0,79.0,659.0,738.0,1.0,102.0,17.0,540.0,21.0,599.0,118.0,25.0,86.4406779661017,80.95238095238095,90.15025041736226
0,20212022,Ottawa Senators,National Hockey League,1,0.906,3.04693,20,1181:31,1.0,0.0,5.0,12.0,60.0,580.0,640.0,2.0,93.0,16.0,471.0,18.0,516.0,106.0,20.0,87.73584905660378,88.88888888888889,91.27906976744185
0,20212022,Belleville Senators,AHL,227817,0.918,2.55,2,,,,,,,,,,,,,,,,,,,
