,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Sherwood Park Flyers Bantam AAA,AMBHL,53738,10,2,14,31,14,12,
0,20152016,Sherwood Park Flyers U15 AAA,AEHL U15,54479,20,7,8,32,8,27,
0,20152016,Sherwood Park Squires U16 AAA,AEHL U16,82290,1,0,0,3,0,1,
0,20162017,Edmonton Oil Kings,WHL,18851,1,0,2,7,2,1,2.0
0,20162017,Sherwood Park Kings U18 AAA,AEHL U18,54491,11,5,6,29,6,16,
0,20162017,Team Alberta,WCCC-16,113323,1,0,10,4,10,1,
0,20172018,Canada U18,WJC-18,17193,2,0,0,5,0,2,5.0
0,20172018,Edmonton Oil Kings,WHL,18851,17,7,44,67,44,24,-18.0
0,20172018,Canada Black U17,WHC-17,163780,4,2,2,5,2,6,
0,20172018,Team Blue,U17-Dev,178219,1,1,2,3,2,2,
0,20182019,Edmonton Oil Kings,WHL,18851,26,7,26,52,26,33,18.0
0,20182019,Canada U18,Hlinka Gretzky Cup,144760,2,2,2,5,2,4,
0,20192020,Edmonton Oil Kings,WHL,18851,34,13,52,60,52,47,5.0
0,20202021,Edmonton Oil Kings,WHL,18851,18,4,22,22,22,22,26.0
0,20212022,Hartford Wolf Pack,AHL,847,10,1,36,65,36,11,-7.0
