,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,St. Louis AAA Blues  U16,T1EHL U16,96448,57,25,26,41,26,0.0,82,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,12,5,18,33,18,-12.0,17,67.0,3.0,7.5,0.0,0.0,,,,,,,,,,,
0,20132014,USNTDP,U-17,2,9,8,23,20,23,,17,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,20,13,70,24,70,20.0,33,95.0,2.0,13.7,3.0,0.0,,,,,,,,,,,
0,20142015,USNTDP,U-18,2,37,25,44,41,44,,62,,,,,,,,,,,,,,,,
0,20142015,U.S.A.,WJ18-A,3,10,2,2,7,2,10.0,12,40.0,1.0,5.0,0.0,0.0,,,,,,,,,,,
0,20152016,London,OHL,1,77,30,80,57,80,45.0,107,191.0,9.0,15.7,5.0,1.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,2,7,4,6,7,6,7.0,11,17.0,0.0,23.5,0.0,0.0,,,,,,,,,,,
0,20152016,London Knights,M-Cup,2561,3,5,4,4,4,8.0,8,,,,,,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,77,30,80,57,80,45.0,107,,,,,,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,7,4,6,7,6,7.0,11,,,,,,,,,,,,,,,,
0,20162017,Calgary Flames,National Hockey League,1,35,13,105,76,105,14.0,48,142.0,3.0,9.15,2.0,0.0,1114:14,65.0,13.0,153:41,958:57,34.78,0.0,0.0,01:36,22.0,1468.0
0,20172018,Calgary Flames,National Hockey League,1,25,24,61,68,61,-1.0,49,188.0,10.0,12.77,2.0,0.0,1173:03,80.0,17.0,202:36,970:04,41.18,0.0,0.0,00:23,16.0,1354.0
0,20182019,Calgary Flames,National Hockey League,1,43,34,62,80,62,14.0,77,207.0,11.0,16.43,2.0,0.0,1407:55,104.0,24.0,255:29,1149:30,46.15,0.0,0.0,02:56,13.0,1696.0
0,20192020,Calgary Flames,National Hockey League,1,38,23,74,69,74,-5.0,61,188.0,5.0,12.2,4.0,0.0,1263:15,122.0,19.0,195:36,1067:24,0.0,2.0,0.0,00:15,22.0,1499.0
0,20202021,Calgary Flames,National Hockey League,1,27,16,55,56,55,6.0,43,151.0,4.0,10.6,0.0,0.0,1016:45,132.0,15.0,179:27,834:09,42.86,0.0,0.0,03:09,9.0,1253.0
0,20212022,Calgary Flames,National Hockey League,1,62,42,68,82,68,57.0,104,253.0,12.0,16.6,6.0,0.0,1467:45,93.0,29.0,238:34,1226:43,46.51,0.0,0.0,02:28,20.0,1787.0
