,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Ottawa Sting Minor Bantam AA,OEMBHL AA,138402,7,16,16,28,16,23,,,,,,,,,,,,,,,,,
0,20092010,Ottawa Sting Bantam AA,OEBHL AA,138393,32,28,2,28,2,60,,,,,,,,,,,,,,,,,
0,20102011,Ottawa Jr. 67s Minor Midget AAA,OEMMHL,87196,21,15,4,30,4,36,,,,,,,,,,,,,,,,,
0,20112012,Ottawa Jr. 67s Midget AAA,OEMHL,64377,29,19,18,32,18,48,,,,,,,,,,,,,,,,,
0,20122013,Rockland Nationals,CCHL,43593,2,1,0,4,0,3,,,,,,,,,,,,,,,,,
0,20122013,Ottawa Jr. Canadians,EOJHL,71908,35,24,8,40,8,59,,,,,,,,,,,,,,,,,
0,20132014,Rockland Nationals,CCHL,43593,39,41,10,61,10,80,,,,,,,,,,,,,,,,,
0,20142015,Rockland Nationals,CCHL,43593,22,14,6,27,6,36,,,,,,,,,,,,,,,,,
0,20152016,Princeton Univ.,NCAA,16070,6,11,2,30,2,17,-9.0,,,,,,,,,,,,,,,,
0,20162017,Princeton Univ.,NCAA,16070,24,11,4,33,4,35,-3.0,,,,,,,,,,,,,,,,
0,20172018,Princeton Univ.,NCAA,16070,38,17,12,36,12,55,23.0,,,,,,,,,,,,,,,,
0,20182019,Ottawa Senators,National Hockey League,1,2,2,0,12,0,4,-5.0,150:15,15.0,0.0,1.0,1.0,14:18,135:57,0.0,13.33,0.0,0.0,0.0,0.0,00:00,5.0,191.0
0,20182019,Princeton Univ.,NCAA,16070,24,13,2,31,2,37,0.0,,,,,,,,,,,,,,,,
0,20192020,Ottawa Senators,National Hockey League,1,0,0,0,4,0,0,-2.0,33:40,3.0,2.0,0.0,0.0,00:49,32:51,0.0,0.0,0.0,0.0,0.0,0.0,00:00,2.0,50.0
0,20192020,Toronto Marlies,AHL,13377,0,0,2,3,2,0,-2.0,,,,,,,,,,,,,,,,
0,20192020,Belleville Senators,AHL,227817,5,5,2,33,2,10,-6.0,,,,,,,,,,,,,,,,
0,20202021,IK Oskarshamn,SHL,1109,6,12,8,25,8,18,6.0,,,,,,,,,,,,,,,,
0,20212022,Leksands IF,Champions HL,392,4,2,4,9,4,6,-2.0,,,,,,,,,,,,,,,,
0,20212022,Leksands IF,SHL,1079,26,34,14,51,14,60,18.0,,,,,,,,,,,,,,,,
