,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,SHKM Hodonin U16,Czech U16,95827,0,0,0,8,0,-15.0,0
0,20142015,HC Kometa Brno U16,Czech U16,83447,8,6,4,31,4,5.0,14
0,20152016,HC Kometa Brno U16,Czechia U16,84980,27,28,36,37,36,-4.0,55
0,20162017,Malmö Redhawks J18,J18 Region,7148,0,2,0,6,0,0.0,2
0,20162017,Malmö Redhawks J18,J18 Nationell,7908,3,8,4,14,4,-3.0,11
0,20162017,HC Kometa Brno U18,Czechia U18,42444,0,0,0,1,0,1.0,0
0,20162017,Malmö Redhawks U16,U16 Region,44402,12,23,16,16,16,,35
0,20162017,HC Kometa Brno U16,Czechia U16,84980,0,0,4,2,4,-4.0,0
0,20172018,Malmö Redhawks J20,J20 Nationell,5859,11,10,30,28,30,-8.0,21
0,20172018,Malmö Redhawks J18,J18 Region,7148,3,14,14,10,14,3.0,17
0,20172018,Slovakia U18,WJC-18,17353,7,4,6,5,6,7.0,11
0,20182019,Slovakia U18,WJC-18,17353,4,3,31,7,31,-8.0,7
0,20182019,Saint John Sea Dogs,QMJHL,21410,24,22,40,60,40,-33.0,46
0,20182019,Slovakia U18,Hlinka Gretzky Cup,158310,2,2,4,4,4,,4
0,20192020,Slovakia U20,WJC-20,17376,2,0,6,5,6,-9.0,2
0,20192020,Saint John Sea Dogs,QMJHL,21410,24,18,25,36,25,-8.0,42
0,20202021,Val-d'Or Foreurs,QMJHL,9680,8,6,2,12,2,9.0,14
0,20202021,Bratislava Capitals,ICEHL,187158,15,2,16,27,16,-10.0,17
0,20212022,Syracuse Crunch,AHL,1057,3,3,4,20,4,-5.0,6
0,20212022,Orlando Solar Bears,ECHL,113515,4,8,16,25,16,-7.0,12
