,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20052006,Markham,GTHL,1,1530:00,9.0,2.02,34,69.0,,,,,,,,,,,,,,,,,
0,20062007,Orangeville,OPJHL,1,,0.0,4.99,8,24.0,0.0,1.0,4.0,,,,,,,,,,,,,,
0,20062007,Barrie,OHL,2,,0.0,2.11,14,27.0,0.0,8.0,3.0,379.0,0.933498,406.0,,,,,,,,,,,
0,20072008,Barrie,OHL,1,,1.0,3.023,32,92.0,4.0,12.0,15.0,950.0,0.912,1042.0,,,,,,,,,,,
0,20082009,Barrie,OHL,1,2146:00,5.0,3.02,38,108.0,1.0,15.0,20.0,1157.0,0.915,1265.0,,,,,,,,,,,
0,20092010,London,OHL,1,2667:00,3.0,2.857,46,127.0,2.0,32.0,12.0,1339.0,0.913,1466.0,,,,,,,,,,,
0,20102011,Providence,AHL,1,1476:00,1.0,3.13,28,77.0,1.0,13.0,10.0,800.0,0.904,723.0,,,,,,,,,,,
0,20102011,Reading,ECHL,2,1049:00,1.0,2.86,18,50.0,4.0,9.0,5.0,560.0,0.918,610.0,,,,,,,,,,,
0,20112012,Providence,AHL,1,1680:00,3.0,2.36,29,66.0,1.0,13.0,14.0,843.0,0.927,909.0,,,,,,,,,,,
0,20112012,Reading,ECHL,2,120:00,0.0,3.5,2,7.0,0.0,1.0,1.0,75.0,0.915,82.0,,,,,,,,,,,
0,20122013,Providence,AHL,1,1749:00,3.0,2.3,30,67.0,3.0,13.0,13.0,711.0,0.914,778.0,,,,,,,,,,,
0,20132014,Winnipeg Jets,National Hockey League,1,183:02,0.0,1.639046,3,5.0,,2.0,1.0,83.0,0.943182,88.0,0.0,13.0,1.0,69.0,1.0,72.0,15.0,3.0,86.66666666666667,100.0,95.83333333333334
0,20132014,St. John's,AHL,2,1383:00,3.0,2.3,24,53.0,1.0,17.0,5.0,634.0,0.923,687.0,,,,,,,,,,,
0,20132014,Ontario,ECHL,3,1671:00,3.0,2.08,28,58.0,2.0,22.0,4.0,679.0,0.921,737.0,,,,,,,,,,,
0,20142015,Winnipeg Jets,National Hockey League,1,2138:22,2.0,2.384998,38,85.0,,21.0,10.0,901.0,0.913793,986.0,5.0,154.0,25.0,722.0,27.0,781.0,178.0,36.0,86.51685393258427,92.5925925925926,92.44558258642766
0,20152016,Winnipeg Jets,National Hockey League,1,1585:57,0.0,2.837416,30,75.0,,9.0,15.0,730.0,0.906832,805.0,3.0,142.0,17.0,571.0,18.0,630.0,157.0,25.0,90.44585987261146,94.44444444444444,90.63492063492063
0,20162017,Winnipeg Jets,National Hockey League,1,1378:20,1.0,2.916566,28,67.0,,9.0,12.0,623.0,0.902899,690.0,3.0,101.0,20.0,502.0,22.0,549.0,119.0,20.0,84.87394957983193,90.9090909090909,91.43897996357013
0,20172018,Winnipeg Jets,National Hockey League,1,128:45,0.0,3.262136,3,7.0,0.0,2.0,1.0,68.0,0.906667,75.0,0.0,18.0,0.0,50.0,2.0,55.0,18.0,3.0,100.0,0.0,90.9090909090909
0,20172018,Manitoba Moose,AHL,877,,,2.08,26,,,,,,0.935,,,,,,,,,,,,
0,20182019,Florida Panthers,National Hockey League,1,201:14,0.0,4.174259,4,14.0,0.0,1.0,1.0,73.0,0.83908,87.0,2.0,9.0,5.0,59.0,6.0,67.0,14.0,3.0,64.28571428571429,83.33333333333334,88.05970149253731
0,20182019,Toronto Maple Leafs,National Hockey League,2,294:56,1.0,2.644665,5,13.0,0.0,2.0,3.0,139.0,0.914474,152.0,0.0,17.0,0.0,122.0,0.0,134.0,18.0,5.0,94.44444444444444,,91.04477611940298
0,20182019,Toronto Marlies,AHL,13377,,,2.7,23,,,,,,0.91,,,,,,,,,,,,
0,20182019,Springfield Thunderbirds,AHL,39667,,,3.33,8,,,,,,0.906,,,,,,,,,,,,
0,20192020,Toronto Maple Leafs,National Hockey League,1,787:01,1.0,3.6594,15,48.0,0.0,4.0,9.0,373.0,0.886,421.0,1.0,44.0,9.0,320.0,10.0,357.0,54.0,11.0,81.48148148148148,90.0,89.6358543417367
0,20192020,Colorado Avalanche,National Hockey League,2,60:00,0.0,1.0,1,1.0,0.0,1.0,0.0,17.0,0.944,18.0,0.0,5.0,0.0,12.0,0.0,13.0,5.0,1.0,100.0,,92.3076923076923
0,20192020,Toronto Marlies,AHL,13377,,,1.98,4,,,,,,0.943,,,,,,,,,,,,
0,20202021,Toronto Maple Leafs,National Hockey League,1,421:52,1.0,2.4178,8,17.0,0.0,4.0,2.0,194.0,0.919,211.0,1.0,24.0,5.0,165.0,5.0,179.0,27.0,8.0,88.88888888888889,100.0,92.17877094972067
0,20202021,Toronto Marlies,AHL,13377,,,1.01,2,,,,,,0.975,,,,,,,,,,,,
0,20212022,Toronto Maple Leafs,National Hockey League,1,78:43,0.0,4.57336,2,6.0,0.0,0.0,1.0,36.0,0.857,42.0,0.0,5.0,1.0,30.0,1.0,35.0,6.0,1.0,83.33333333333334,100.0,85.71428571428571
0,20212022,Toronto Marlies,AHL,13377,,,3.23,28,,,,,,0.899,,,,,,,,,,,,
