,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,BK Havlickuv Brod U16,Czech U16 2,83656,14,19,6,21,6,33,
0,20152016,BK Havlickuv Brod U18,Czechia U18,42614,1,2,2,4,2,3,4.0
0,20152016,BK Havlickuv Brod U16,Czechia U16,85010,14,16,14,30,14,30,-13.0
0,20152016,Kraj Vysocina U15,ODM,259405,3,2,0,8,0,5,-2.0
0,20162017,BK Havlickuv Brod U18,Czechia U18,42614,23,35,38,41,38,58,0.0
0,20172018,Bili Tygri Liberec,Champions HL,7112,0,1,0,2,0,1,1.0
0,20172018,Czechia U18,WJC-18,17013,2,1,2,7,2,3,1.0
0,20172018,HC Benatky nad Jizerou,Czechia2,27310,0,0,0,14,0,0,-6.0
0,20172018,Bili Tygri Liberec U20,Czechia U20,41917,5,13,4,21,4,18,13.0
0,20172018,Bili Tygri Liberec U18,Czechia U18,42454,1,0,2,1,2,1,0.0
0,20172018,Czechia U17,WHC-17,61320,2,1,0,6,0,3,
0,20182019,Bili Tygri Liberec,Czechia,8976,2,0,2,15,2,2,1.0
0,20182019,Czechia U18,WJC-18,17013,3,0,0,5,0,3,-2.0
0,20182019,HC Benatky nad Jizerou,Czechia2,27310,6,4,8,23,8,10,-15.0
0,20182019,Czechia U19,WJAC-19,113792,0,1,4,6,4,1,
0,20182019,Czechia U18,Hlinka Gretzky Cup,158320,3,1,4,4,4,4,
0,20192020,Winnipeg Ice,WHL,9601,34,29,16,53,16,63,-17.0
0,20192020,Czechia U20,WJC-20,17046,5,0,0,5,0,5,-5.0
0,20202021,Rockford IceHogs,AHL,8267,5,0,6,18,6,5,-1.0
0,20202021,BK Mlada Boleslav,Czechia,8966,0,0,0,1,0,0,0.0
0,20202021,Czechia U20,WJC-20,17046,2,0,0,5,0,2,0.0
0,20202021,HC Stadion Litomerice,Czechia2,36600,3,0,2,3,2,3,0.0
0,20202021,Czechia,EHT,68526,0,0,0,1,0,0,0.0
0,20212022,Rockford IceHogs,AHL,8267,18,13,6,60,6,31,-3.0
