,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,HIFK U16,Jr. C SM-sarja,80562,9,4,4,22,4,0.0,13,,,,,,,,,,,,,,,,
0,20132014,HJK U16,Jr. C Mestis,80725,0,0,0,1,0,,0,,,,,,,,,,,,,,,,
0,20142015,HIFK U18,Jr. B SM-sarja,24469,13,7,8,35,8,0.0,20,,,,,,,,,,,,,,,,
0,20142015,HIFK U16,Jr. C SM-sarja,80562,2,2,6,9,6,0.0,4,,,,,,,,,,,,,,,,
0,20152016,Finland U18,WJC-18,17093,1,0,0,7,0,1.0,1,,,,,,,,,,,,,,,,
0,20152016,HIFK U18,U18 SM-sarja,25371,7,0,0,7,0,,7,,,,,,,,,,,,,,,,
0,20152016,HIFK U20,U20 SM-sarja,25390,11,3,6,30,6,14.0,14,,,,,,,,,,,,,,,,
0,20152016,Finland U17,WHC-17,61280,4,0,2,5,2,,4,,,,,,,,,,,,,,,,
0,20162017,HIFK,Champions HL,492,3,0,0,6,0,3.0,3,,,,,,,,,,,,,,,,
0,20162017,HIFK,Liiga,869,5,5,4,37,4,-1.0,10,,,,,,,,,,,,,,,,
0,20162017,Finland U18,WJC-18,17093,10,2,0,7,0,8.0,12,,,,,,,,,,,,,,,,
0,20162017,Finland U20,WJC-20,17116,1,0,0,6,0,-2.0,1,,,,,,,,,,,,,,,,
0,20172018,HIFK,Champions HL,492,1,0,0,3,0,0.0,1,,,,,,,,,,,,,,,,
0,20172018,HIFK,Liiga,869,12,11,8,30,8,17.0,23,,,,,,,,,,,,,,,,
0,20172018,Finland,OG,16822,0,1,2,5,2,0.0,1,,,,,,,,,,,,,,,,
0,20172018,Finland,WC,17055,2,0,0,8,0,7.0,2,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,2,0,0,5,0,1.0,2,,,,,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,0,2,0,3,0,0.0,2,,,,,,,,,,,,,,,,
0,20182019,Dallas Stars,National Hockey League,1,21,12,16,82,16,-14.0,33,1895:17,182.0,34.0,2.0,8.0,136:35,1644:53,0.0,6.59,4.0,0.0,0.0,1.0,113:49,71.0,2282.0
0,20192020,Dallas Stars,National Hockey League,1,27,8,12,68,12,14.0,35,1616:08,163.0,40.0,0.0,7.0,155:37,1319:35,0.0,4.9,0.0,0.0,0.0,0.0,140:56,84.0,1894.0
0,20202021,Dallas Stars,National Hockey League,1,19,8,12,55,12,-9.0,27,1373:13,121.0,47.0,3.0,11.0,150:49,1134:57,0.0,6.6,1.0,0.0,0.0,0.0,87:27,52.0,1565.0
0,20212022,Dallas Stars,National Hockey League,1,31,5,24,70,24,3.0,36,1742:06,156.0,52.0,3.0,11.0,161:03,1466:43,0.0,3.2,1.0,1.0,0.0,0.0,114:20,92.0,1927.0
0,20212022,Finland,WC,17055,6,1,2,6,2,4.0,7,,,,,,,,,,,,,,,,
