,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,St. Cloud Cathedral,USHS-MN,47032,14,17,0,16,0,0.0,31,,,,,,,,,,,,,,,,
0,20072008,St. Cloud Cathedral,USHS-MN,47032,12,10,0,16,0,0.0,22,,,,,,,,,,,,,,,,
0,20082009,St. Cloud Cathedral,USHS-MN,47032,24,21,30,25,30,0.0,45,,,,,,,,,,,,,,,,
0,20092010,Fargo,USHL,1,23,14,81,57,81,-7.0,37,175.0,6.0,8.0,5.0,1.0,,,,,,,,,,,
0,20102011,U. of Minnesota,WCHA,1,1,0,6,13,6,,1,,0.0,,0.0,0.0,,,,,,,,,,,
0,20112012,U. of Minnesota,WCHA,1,38,3,14,43,14,,41,,3.0,,1.0,0.0,,,,,,,,,,,
0,20122013,U. of Minnesota,WCHA,1,23,9,16,40,16,,32,,5.0,,1.0,0.0,,,,,,,,,,,
0,20122013,Hershey,AHL,2,3,1,2,8,2,-4.0,4,18.0,0.0,5.56,0.0,0.0,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,1,4,2,6,29,6,4.0,6,41.0,0.0,4.88,0.0,0.0,542:08,18.0,0.0,05:20,519:50,0.0,0.0,0.0,16:58,35.0,607.0
0,20132014,Hershey,AHL,2,11,2,12,38,12,-5.0,13,72.0,0.0,2.8,0.0,0.0,,,,,,,,,,,
0,20142015,Washington Capitals,National Hockey League,1,3,1,10,39,10,-2.0,4,40.0,0.0,2.5,0.0,0.0,541:34,34.0,0.0,00:20,534:57,0.0,0.0,0.0,06:17,33.0,711.0
0,20142015,Hershey,AHL,2,6,3,6,19,6,-2.0,9,27.0,2.0,11.1,1.0,0.0,,,,,,,,,,,
0,20152016,Washington Capitals,National Hockey League,1,14,2,16,72,16,12.0,16,80.0,0.0,2.5,1.0,0.0,1301:01,69.0,0.0,04:17,1199:48,0.0,0.0,0.0,96:56,111.0,1686.0
0,20162017,Washington Capitals,National Hockey League,1,14,3,16,60,16,22.0,17,60.0,0.0,5.0,0.0,0.0,928:43,51.0,0.0,09:32,876:30,0.0,0.0,1.0,42:41,37.0,1188.0
0,20172018,Vegas Golden Knights,National Hockey League,1,31,5,16,76,16,19.0,36,103.0,1.0,4.85,1.0,0.0,1690:19,41.0,11.0,132:52,1413:38,0.0,0.0,0.0,143:49,121.0,2065.0
0,20182019,Vegas Golden Knights,National Hockey League,1,21,9,8,61,8,22.0,30,112.0,1.0,8.04,1.0,0.0,1339:00,37.0,8.0,111:40,1136:27,0.0,0.0,0.0,90:53,100.0,1576.0
0,20192020,Vegas Golden Knights,National Hockey League,1,24,7,12,59,12,11.0,31,112.0,1.0,6.3,0.0,0.0,1279:01,25.0,7.0,61:42,1123:21,0.0,0.0,0.0,93:58,91.0,1558.0
0,20202021,Vancouver Canucks,National Hockey League,1,10,5,4,54,4,-7.0,15,76.0,0.0,6.6,1.0,0.0,1085:33,15.0,0.0,57:15,934:09,0.0,0.0,1.0,94:09,72.0,1311.0
0,20212022,Winnipeg Jets,National Hockey League,1,28,4,10,77,10,-4.0,32,117.0,1.0,3.4,1.0,0.0,1556:10,37.0,11.0,128:24,1377:23,0.0,0.0,1.0,50:23,104.0,1909.0
0,20212022,USA,WC,17215,4,2,4,10,4,2.0,6,,,,,,,,,,,,,,,,
