,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Cambridge Hawks Minor Midget AAA,AHMMPL,76538,0,0,0,5,0,0.0,0,,,,,,,,,,,,,,,,
0,20122013,Kitchener Jr. Rangers Mn Mgt AAA,AHMMPL,76528,13,11,8,30,8,0.0,24,,,,,,,,,,,,,,,,
0,20132014,Brantford,ON-Jr.B,1,29,17,24,48,24,,46,,,,,,,,,,,,,,,,
0,20132014,Mississauga,OHL,2,1,2,6,21,6,-5.0,3,0.0,0.0,0.0,,,,,,,,,,,,,
0,20142015,Mississauga,OHL,1,12,17,22,68,22,-29.0,29,2.0,2.0,1.0,,,,,,,,,,,,,
0,20152016,Mississauga,OHL,1,40,19,50,64,50,-3.0,59,5.0,2.0,0.0,162.0,11.7,,,,,,,,,,,
0,20152016,Mississauga Steelheads,OHL,126668,40,19,50,64,50,-3.0,59,,,,,,,,,,,,,,,,
0,20162017,Mississauga Steelheads,OHL,126668,29,16,43,58,43,13.0,45,,,,,,,,,,,,,,,,
0,20172018,Binghamton Devils,AHL,233827,8,10,45,68,45,-23.0,18,,,,,,,,,,,,,,,,
0,20182019,New Jersey Devils,National Hockey League,1,0,3,10,7,10,0.0,3,0.0,0.0,0.0,13.0,23.08,88:46,24.0,0.0,11:21,77:25,100.0,0.0,0.0,00:00,1.0,119.0
0,20182019,Binghamton Devils,AHL,233827,6,18,63,58,63,9.0,24,,,,,,,,,,,,,,,,
0,20192020,Binghamton Devils,AHL,233827,22,16,55,62,55,-2.0,38,,,,,,,,,,,,,,,,
0,20202021,New Jersey Devils,National Hockey League,1,7,3,21,41,21,0.0,10,0.0,0.0,0.0,46.0,6.5,517:27,136.0,0.0,05:52,460:32,36.36,0.0,0.0,51:03,25.0,795.0
0,20212022,Seattle Kraken,National Hockey League,1,1,1,31,12,31,-1.0,2,0.0,0.0,0.0,10.0,10.0,110:50,16.0,0.0,00:16,109:46,50.0,0.0,0.0,00:48,6.0,165.0
0,20212022,New Jersey Devils,National Hockey League,2,5,11,34,60,34,-11.0,16,3.0,1.0,0.0,87.0,12.6,746:20,194.0,4.0,115:53,614:38,47.73,0.0,0.0,15:49,34.0,1031.0
