,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Oshawa Generals Selects U15,WSI U15,222750,3,0,22.0,9,22,3,
0,20162017,Oakville Blades,OJHL,21400,0,0,10.0,1,10,0,
0,20162017,Vaughan Kings U16 AAA,GTHL U16,97720,11,5,32.0,16,32,16,
0,20162017,Team GTHL Blue,OGC-16,154307,2,0,0.0,5,0,2,
0,20162017,Team Teal,USA-S15,230663,2,0,,3,,2,
0,20172018,Windsor Spitfires,OHL,9508,9,3,44.0,54,44,12,4.0
0,20172018,Canada White U17,WHC-17,163790,4,0,0.0,6,0,4,
0,20172018,Team White,U17-Dev,178269,0,0,2.0,3,2,0,
0,20182019,Windsor Spitfires,OHL,9508,20,9,50.0,64,50,29,-29.0
0,20192020,Hamilton Bulldogs,OHL,186878,35,6,59.0,60,59,41,-20.0
0,20202021,Huddinge IK,HockeyEttan,1411,5,0,6.0,9,6,5,4.0
0,20202021,Utica Comets,AHL,152247,0,0,2.0,6,2,0,-2.0
0,20212022,Hamilton Bulldogs,M-Cup,186661,4,0,8.0,5,8,4,-2.0
0,20212022,Hamilton Bulldogs,OHL,186878,51,15,76.0,59,76,66,40.0
