,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20012002,Connecticut Clippers 13U AAA,AYHL 13U,222439,17,11,24,17,24,28,,,,,,,,,,,,,,,,,
0,20022003,Connecticut Clippers 14U AAA,AYHL 14U,205190,19,18,15,16,15,37,,,,,,,,,,,,,,,,,
0,20032004,Farmington,High-CT,1,23,44,10,24,10,67,,,,,,,,,,,,,,,,,
0,20042005,Farmington,High-CT,1,23,68,12,24,12,91,,,,,,,,,,,,,,,,,
0,20052006,Avon Old Farms,High-CT,1,30,26,10,25,10,56,,,,,,,,,,,,,,,,,
0,20062007,Avon Old Farms,High-CT,1,42,24,14,26,14,66,,,,,,,,,,,,,,,,,
0,20072008,Boston University,H-East,1,13,16,10,39,10,29,,,,,,,,,,,,,,,,,
0,20082009,Boston University,H-East,1,32,18,30,44,30,50,,,,,,,,,,,,,,,,,
0,20092010,Anaheim Ducks,National Hockey League,1,1,1,6,9,6,2,128:00,14.0,4.0,1.0,1.0,20:32,107:28,43.59,7.14,0.0,0.0,0.0,0.0,00:00,3.0,0.0,159.0
0,20092010,Boston University,H-East,2,27,11,12,33,12,38,,,,,,,,,,,,,,,,,
0,20102011,Anaheim Ducks,National Hockey League,1,0,0,4,26,4,0,254:59,23.0,18.0,0.0,0.0,07:37,245:38,46.99,0.0,0.0,0.0,0.0,0.0,01:44,10.0,-3.0,370.0
0,20102011,Syracuse,AHL,2,33,12,32,50,32,45,,121.0,,4.0,,,,,9.92,1.0,,1.0,,,,10.0,
0,20112012,Anaheim Ducks,National Hockey League,1,13,5,8,50,8,18,623:51,63.0,18.0,0.0,1.0,37:22,583:19,42.95,7.94,0.0,0.0,0.0,0.0,03:10,39.0,1.0,814.0
0,20112012,Syracuse,AHL,2,16,6,2,19,2,22,,47.0,,0.0,,,,,12.77,2.0,,0.0,,,,0.0,
0,20122013,Anaheim Ducks,National Hockey League,1,8,5,8,27,8,13,428:56,37.0,11.0,1.0,3.0,47:49,348:06,46.78,13.51,0.0,0.0,0.0,0.0,33:01,49.0,-3.0,560.0
0,20122013,Neumarkt/Egna,Italy-2,99,26,26,14,19,14,52,,,,,,,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,27,22,22,77,22,49,1249:41,159.0,28.0,7.0,20.0,220:35,898:45,48.83,13.84,2.0,1.0,0.0,0.0,130:21,68.0,14.0,1669.0
0,20142015,Vancouver Canucks,National Hockey League,1,24,15,22,75,22,39,1269:03,149.0,31.0,1.0,5.0,140:02,981:37,47.39,10.07,6.0,0.0,0.0,0.0,147:24,90.0,7.0,1787.0
0,20142015,U.S.A.,WC-A,2,2,2,10,10,10,4,,15.0,,0.0,,,,,,1.0,,0.0,,,,4.0,
0,20152016,Pittsburgh Penguins,National Hockey League,1,20,9,31,63,31,29,997:51,97.0,22.0,2.0,2.0,100:25,750:42,50.44,9.28,0.0,0.0,1.0,1.0,146:44,67.0,13.0,1424.0
0,20162017,Pittsburgh Penguins,National Hockey League,1,19,18,16,80,16,37,1332:11,142.0,60.0,6.0,11.0,138:34,1010:22,47.98,12.68,1.0,0.0,1.0,1.0,183:15,99.0,-5.0,1883.0
0,20172018,Nashville Predators,National Hockey League,1,13,12,20,71,20,25,1110:08,83.0,18.0,0.0,0.0,48:17,913:55,54.33,14.46,0.0,0.0,0.0,0.0,147:56,72.0,4.0,1673.0
0,20172018,USA,WC,17215,3,1,0,5,0,4,,,,,,,,,,,,,,,,-1.0,
0,20182019,Nashville Predators,National Hockey League,1,18,17,18,81,18,35,1320:44,118.0,24.0,3.0,3.0,134:31,1029:18,51.77,14.41,1.0,0.0,0.0,1.0,156:55,70.0,27.0,1873.0
0,20192020,Nashville Predators,National Hockey League,1,17,18,16,67,16,35,1106:47,104.0,17.0,1.0,1.0,96:33,835:43,52.59,17.3,3.0,0.0,0.0,0.0,174:31,89.0,17.0,1526.0
0,20202021,Minnesota Wild,National Hockey League,1,16,10,26,55,26,26,817:04,66.0,11.0,3.0,5.0,104:53,609:15,52.82,15.2,2.0,0.0,0.0,0.0,102:56,50.0,0.0,1031.0
0,20212022,San Jose Sharks,National Hockey League,1,10,16,18,80,18,26,1335:59,137.0,34.0,3.0,7.0,147:48,1059:22,51.35,11.7,0.0,0.0,1.0,1.0,128:49,102.0,-25.0,1876.0
