,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20022003,Central Penn Panthers,MetJHL,34139,17,11,119.0,31,119,28,,,,,,,,,,,,,,,,,
0,20022003,Hershey High,USHS-PA,199231,23,18,,13,,41,,,,,,,,,,,,,,,,,
0,20032004,USNTDP,U-17,1,9,7,28.0,18,28,16,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20032004,USNTDP,NAHL,2,12,8,44.0,43,44,20,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20042005,USNTDP,U-18,1,1,2,0.0,4,0,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20042005,Sudbury,OHL,2,28,10,111.0,65,111,38,00:00,00:00,00:00,0.0,00:00,0.0,3.0,0.0,5.0,,,,,,,,
0,20052006,Sudbury,OHL,1,46,24,146.0,65,146,70,00:00,00:00,00:00,0.0,00:00,0.0,8.0,5.0,19.0,,,,,,,,
0,20062007,Sudbury,OHL,1,57,31,135.0,66,135,88,,,,,,,8.0,3.0,13.0,,,,,,,,
0,20072008,Ottawa Senators,National Hockey League,1,3,6,20.0,45,20,9,412:15,18:24,392:25,44.9,01:26,520.0,0.0,0.0,0.0,44.0,51.0,0.0,13.64,0.0,0.0,0.0,11.0
0,20072008,Binghamton,AHL,2,13,6,16.0,28,16,19,,,,,,,1.0,0.0,4.0,,,,,,,,
0,20082009,Ottawa Senators,National Hockey League,1,15,17,59.0,81,59,32,1107:51,187:19,918:53,44.68,01:39,1349.0,7.0,0.0,-10.0,145.0,97.0,14.0,11.72,2.0,0.0,0.0,18.0
0,20082009,United States,WC-A,3,2,0,4.0,9,4,2,,,,0.0,,,,,,,,,,,,,
0,20092010,Ottawa Senators,National Hockey League,1,17,9,53.0,61,53,26,872:52,103:25,767:09,34.0,02:18,1019.0,2.0,0.0,6.0,83.0,78.0,6.0,10.84,2.0,0.0,0.0,23.0
0,20092010,U.S.A.,WC-A,5,0,3,0.0,6,0,3,,,,0.0,,,,,,,,,,,,,
0,20102011,Ottawa Senators,National Hockey League,1,20,14,43.0,82,43,34,1277:19,143:59,1130:05,47.1,03:15,1531.0,5.0,0.0,-19.0,149.0,119.0,10.0,9.4,3.0,0.0,0.0,41.0
0,20112012,Ottawa Senators,National Hockey League,1,32,15,124.0,82,124,47,1200:53,108:35,1078:38,41.61,13:40,1673.0,1.0,0.0,2.0,153.0,196.0,4.0,9.8,3.0,0.0,0.0,30.0
0,20122013,Columbus Blue Jackets,National Hockey League,1,13,6,28.0,45,28,19,743:36,89:12,650:28,33.33,03:56,945.0,1.0,0.0,6.0,69.0,99.0,3.0,8.7,2.0,1.0,0.0,33.0
0,20132014,Columbus Blue Jackets,National Hockey League,1,21,18,96.0,70,96,39,1124:05,121:46,988:00,46.15,14:19,1408.0,3.0,0.0,5.0,111.0,210.0,6.0,16.22,5.0,0.0,0.0,42.0
0,20142015,Columbus Blue Jackets,National Hockey League,1,42,31,50.0,79,50,73,1487:33,199:49,1181:37,47.53,106:07,1945.0,11.0,0.0,16.0,182.0,193.0,26.0,17.03,3.0,1.0,0.0,52.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,25,12,53.0,72,53,37,1216:12,148:57,1027:14,47.16,40:01,1523.0,0.0,0.0,-14.0,149.0,152.0,13.0,8.05,2.0,0.0,0.0,46.0
0,20152016,U.S.A.,WC-A,2,2,3,10.0,10,10,5,,,,,,,1.0,0.0,-2.0,12.0,,,,0.0,,,
0,20152016,USA,WC,17215,2,3,10.0,10,10,5,,,,,,,,,-2.0,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,25,26,55.0,79,55,51,1455:36,212:13,1196:46,46.07,46:37,1854.0,11.0,0.0,-4.0,185.0,157.0,21.0,14.05,5.0,1.0,0.0,50.0
0,20172018,Columbus Blue Jackets,National Hockey League,1,18,15,50.0,72,50,33,1321:13,171:59,1062:35,45.88,86:39,1638.0,2.0,0.0,1.0,137.0,182.0,4.0,10.95,1.0,0.0,0.0,60.0
0,20182019,Columbus Blue Jackets,National Hockey League,1,18,17,44.0,73,44,35,1292:23,179:03,1049:26,56.6,63:54,1618.0,2.0,0.0,12.0,141.0,175.0,4.0,12.06,2.0,0.0,0.0,51.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,21,10,62.0,67,62,31,1250:44,127:58,1022:30,49.84,100:16,1560.0,2.0,0.0,-3.0,131.0,212.0,4.0,7.6,1.0,0.0,1.0,50.0
0,20202021,Columbus Blue Jackets,National Hockey League,1,9,7,28.0,42,28,16,762:20,91:00,603:35,47.11,67:45,920.0,1.0,0.0,-3.0,73.0,109.0,2.0,9.6,0.0,0.0,3.0,35.0
0,20202021,Toronto Maple Leafs,National Hockey League,2,4,0,4.0,7,4,4,108:19,03:24,91:49,15.79,13:06,155.0,0.0,0.0,5.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0
0,20212022,Boston Bruins,National Hockey League,1,11,2,61.0,64,61,13,797:40,70:42,701:51,56.41,25:07,1073.0,0.0,0.0,-13.0,99.0,164.0,1.0,2.0,0.0,0.0,0.0,31.0
