,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,Elk River High,USHS-MN,70952,3,0,2,23,2,0.0,3
0,20142015,Elk River High,USHS-MN,70952,3,0,0,23,0,0.0,3
0,20152016,Elk River High,USHS-MN,70968,17,5,10,25,10,,22
0,20162017,Team Twin Cities Orthopedics,UMHSEHL,63758,10,3,6,21,6,,13
0,20162017,Elk River High,USHS-MN,70968,30,10,6,25,6,,40
0,20162017,Sections 4&5 Seniors,USHS-MN,217468,0,1,0,3,0,,1
0,20172018,Omaha Lancers,USHL,10466,25,4,38,56,38,19.0,29
0,20172018,USA U19,WJAC-19,87412,0,0,0,5,0,,0
0,20182019,St. Cloud State Univ.,NCAA,8290,15,5,16,39,16,24.0,20
0,20192020,St. Cloud State Univ.,NCAA,8290,11,4,25,34,25,-12.0,15
0,20202021,St. Cloud State Univ.,NCAA,8290,16,7,16,31,16,8.0,23
0,20212022,Syracuse Crunch,AHL,1057,6,2,2,12,2,0.0,8
0,20212022,St. Cloud State Univ.,NCAA,8290,25,6,14,31,14,3.0,31
0,20212022,USA,OG,16972,1,0,0,4,0,3.0,1
