,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Eden Prairie High,USHS-MN,47122,2,0,6,17,6,0.0,2,,,,,,,,,,,,,,,,
0,20092010,Eden Prairie,High-MN,1,14,3,12,25,12,,17,,,,,,,,,,,,,,,,
0,20102011,Southwest,UMHSEL,1,7,3,32,21,32,,10,,,,,,,,,,,,,,,,
0,20102011,Eden Prairie,High-MN,2,27,7,38,22,38,,34,,,,,,,,,,,,,,,,
0,20112012,Muskegon,USHL,1,13,2,32,32,32,-8.0,15,52.0,1.0,3.85,0.0,0.0,,,,,,,,,,,
0,20112012,Des Moines,USHL,2,11,2,33,26,33,-8.0,13,55.0,2.0,3.64,0.0,0.0,,,,,,,,,,,
0,20122013,Nebraska-Omaha,WCHA,1,7,2,55,34,55,,9,,1.0,,1.0,0.0,,,,,,,,,,,
0,20132014,Nebraska-Omaha,NCHC,1,6,4,61,36,61,,10,,1.0,,0.0,1.0,,,,,,,,,,,
0,20152016,U. of Minnesota,Big Ten,1,10,0,43,36,43,21.0,10,,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Univ. of Minnesota,NCAA,8320,10,0,43,36,43,21.0,10,,,,,,,,,,,,,,,,
0,20162017,Iowa Wild,AHL,149087,5,0,109,57,109,-10.0,5,,,,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,4,0,21,22,21,10.0,4,17.0,0.0,0.0,0.0,0.0,319:46,20.0,0.0,01:05,305:37,0.0,0.0,0.0,13:04,25.0,423.0
0,20172018,Iowa Wild,AHL,149087,10,2,74,49,74,-3.0,12,,,,,,,,,,,,,,,,
0,20182019,Minnesota Wild,National Hockey League,1,5,2,64,71,64,-4.0,7,67.0,0.0,2.99,1.0,0.0,875:38,78.0,0.0,02:05,818:21,0.0,0.0,0.0,55:12,116.0,1169.0
0,20192020,Minnesota Wild,National Hockey League,1,0,0,8,6,8,-6.0,0,4.0,0.0,0.0,0.0,0.0,61:54,5.0,0.0,00:21,58:03,0.0,0.0,0.0,03:30,9.0,80.0
0,20192020,Chicago Blackhawks,National Hockey League,2,1,0,7,6,7,-2.0,1,1.0,0.0,0.0,0.0,0.0,81:14,14.0,0.0,00:00,76:56,0.0,0.0,0.0,04:18,12.0,107.0
0,20192020,Iowa Wild,AHL,149087,2,0,4,6,4,9.0,2,,,,,,,,,,,,,,,,
0,20212022,Philadelphia Flyers,National Hockey League,1,2,1,29,43,29,-3.0,3,32.0,0.0,3.1,0.0,0.0,562:22,75.0,0.0,02:28,526:03,0.0,0.0,0.0,33:51,67.0,817.0
