,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20142015,London Nationals,GOJHL,21540,1,0,0,1,0,0.0,1,,,,,,,,,,,,,,,,
0,20142015,London Jr. Knights Min Mdgt AAA,AHMMPL,160688,34,34,16,31,16,0.0,68,,,,,,,,,,,,,,,,
0,20152016,Owen Sound Attack,OHL,9458,18,20,4,63,4,-15.0,38,,,,,,,,,,,,,,,,
0,20152016,Canada White U17,WHC-17,163790,3,1,2,6,2,,4,,,,,,,,,,,,,,,,
0,20152016,Team White,U17-Dev,178269,2,0,2,3,2,,2,,,,,,,,,,,,,,,,
0,20162017,Owen Sound Attack,OHL,9458,51,45,10,65,10,51.0,96,,,,,,,,,,,,,,,,
0,20162017,Canada U18,Hlinka Gretzky Cup,144760,2,1,0,4,0,1.0,3,,,,,,,,,,,,,,,,
0,20172018,Owen Sound Attack,OHL,9458,58,42,18,64,18,30.0,100,,,,,,,,,,,,,,,,
0,20182019,Guelph Storm,M-Cup,6021,4,3,0,4,0,3.0,7,,,,,,,,,,,,,,,,
0,20182019,Guelph Storm,OHL,6238,37,12,8,29,8,28.0,49,,,,,,,,,,,,,,,,
0,20182019,Owen Sound Attack,OHL,9458,23,22,4,30,4,12.0,45,,,,,,,,,,,,,,,,
0,20182019,Canada U20,WJC-20,17216,3,0,4,5,4,3.0,3,,,,,,,,,,,,,,,,
0,20192020,Montréal Canadiens,National Hockey League,1,28,13,6,71,6,-15.0,41,1135:16,138.0,64.0,6.0,14.0,154:11,960:02,46.28,9.4,1.0,0.0,0.0,0.0,21:03,32.0,1416.0
0,20202021,Montréal Canadiens,National Hockey League,1,26,15,26,56,26,-5.0,41,1018:10,110.0,70.0,5.0,13.0,134:18,842:07,43.97,13.6,1.0,0.0,1.0,2.0,41:45,38.0,1271.0
0,20212022,Montréal Canadiens,National Hockey League,1,40,21,30,82,30,-29.0,61,1681:50,186.0,89.0,8.0,20.0,253:26,1305:04,49.57,11.3,4.0,0.0,1.0,3.0,123:20,62.0,1978.0
