,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,Chateauguay,QAAA,1,10,2,28,43,28,0.0,12,,,,,,,,,,,,,,,,
0,20072008,Rouyn-Noranda,QMJHL,1,7,2,38,42,38,,9,0.0,0.0,-7.0,,,,,,,,,,,,,
0,20082009,Rouyn-Noranda,QMJHL,1,19,11,80,68,80,,30,4.0,2.0,3.0,,,,,,,,,,,,,
0,20092010,Rouyn-Noranda,QMJHL,1,36,9,72,65,72,,45,4.0,0.0,22.0,1.0,,,,,,,,,,,,
0,20102011,Gatineau,QMJHL,1,30,13,53,48,53,,43,6.0,0.0,22.0,4.0,155.0,8.39,,,,,,,,,,
0,20112012,Manchester,AHL,1,13,1,67,65,67,,14,1.0,0.0,-14.0,0.0,86.0,1.16,,,,,,,,,,
0,20122013,Manchester,AHL,1,19,4,80,63,80,,23,3.0,0.0,-14.0,1.0,131.0,3.05,,,,,,,,,,
0,20132014,Buffalo Sabres,National Hockey League,1,0,1,18,17,18,0.0,1,0.0,0.0,-10.0,0.0,30.0,3.33,223:25,51.0,0.0,29:43,193:08,0.0,0.0,00:34,3.0,294.0
0,20132014,Rochester,AHL,2,2,1,9,5,9,,3,0.0,0.0,0.0,0.0,13.0,7.7,,,,,,,,,,
0,20132014,Manchester,AHL,3,21,18,76,60,76,,39,2.0,0.0,3.0,3.0,217.0,8.3,,,,,,,,,,
0,20142015,Buffalo Sabres,National Hockey League,1,10,5,71,82,71,0.0,15,0.0,0.0,-24.0,1.0,76.0,6.58,973:27,261.0,0.0,08:59,910:50,0.0,1.0,53:38,36.0,1278.0
0,20152016,Buffalo Sabres,National Hockey League,1,6,6,59,70,59,0.0,12,0.0,0.0,-14.0,1.0,72.0,8.33,722:59,206.0,0.0,03:27,712:13,0.0,0.0,07:19,30.0,1002.0
0,20162017,Buffalo Sabres,National Hockey League,1,2,0,38,42,38,0.0,2,0.0,0.0,-6.0,0.0,26.0,0.0,311:28,109.0,0.0,01:20,308:50,0.0,0.0,01:18,5.0,420.0
0,20172018,Montréal Canadiens,National Hockey League,1,4,10,55,58,55,66.67,14,0.0,0.0,7.0,1.0,77.0,12.99,672:30,238.0,0.0,01:18,610:00,0.0,1.0,61:12,30.0,895.0
0,20172018,Laval Rocket,AHL,222817,2,3,16,14,16,,5,,,6.0,,,,,,,,,,,,,
0,20182019,Montréal Canadiens,National Hockey League,1,3,2,22,48,22,100.0,5,0.0,1.0,-12.0,0.0,48.0,4.17,481:49,135.0,0.0,01:31,461:42,0.0,1.0,18:36,22.0,668.0
0,20192020,Anaheim Ducks,National Hockey League,1,6,7,92,59,92,0.0,13,0.0,0.0,-1.0,1.0,64.0,10.9,577:04,137.0,0.0,03:02,572:29,0.0,0.0,01:33,32.0,790.0
0,20202021,Anaheim Ducks,National Hockey League,1,5,5,53,49,53,25.0,10,0.0,0.0,-7.0,2.0,65.0,7.7,554:34,136.0,0.0,01:38,545:29,0.0,0.0,07:27,20.0,782.0
0,20212022,Anaheim Ducks,National Hockey League,1,5,5,90,61,90,25.0,10,0.0,1.0,-9.0,0.0,72.0,6.9,710:04,210.0,0.0,02:01,623:08,0.0,1.0,84:55,34.0,992.0
0,20212022,Minnesota Wild,National Hockey League,2,0,3,23,20,23,0.0,3,0.0,0.0,-2.0,1.0,18.0,16.7,210:32,53.0,0.0,00:09,196:23,0.0,0.0,14:00,15.0,282.0
