,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Kärpät U16,Jr. C SM-sarja Q,10154268,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20112012,Kärpät U16,Jr. C SM-sarja Q,10154268,0,0,4,8,4,0.0,0,,,,,,,,,,,,,,,,
0,20122013,KalPa U18,Fin-U18,1,0,0,6,12,6,,0,,,,,,,,,,,,,,,,
0,20132014,KalPa U18,Fin-U18,1,13,4,103,46,103,,17,,,,,,,,,,,,,,,,
0,20142015,KalPa Jr.,Fin-Jr.,1,14,9,80,37,80,,23,,,,,,,,,,,,,,,,
0,20142015,KalPa,Finland,2,1,0,4,10,4,,1,,,,,,,,,,,,,,,,
0,20142015,Hokki,Finland-2,3,0,1,8,5,8,,1,,,,,,,,,,,,,,,,
0,20152016,KalPa,Finland,1,6,3,22,55,22,,9,,,,,,,,,,,,,,,,
0,20152016,Finland,WJC-A,2,1,0,6,7,6,3.0,1,2.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,KalPa,Champions HL,5472,0,0,0,4,0,-1.0,0,,,,,,,,,,,,,,,,
0,20152016,KalPa,Liiga,5849,6,3,22,55,22,-7.0,9,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,1,0,6,7,6,3.0,1,,,,,,,,,,,,,,,,
0,20162017,KalPa,Champions HL,5472,2,0,10,8,10,0.0,2,,,,,,,,,,,,,,,,
0,20162017,KalPa,Liiga,5849,11,4,89,56,89,6.0,15,,,,,,,,,,,,,,,,
0,20162017,Finland,EHT,68516,0,0,4,6,4,-5.0,0,,,,,,,,,,,,,,,,
0,20172018,Tappara,Champions HL,582,2,0,0,8,0,3.0,2,,,,,,,,,,,,,,,,
0,20172018,Tappara,Liiga,959,9,2,54,50,54,11.0,11,,,,,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,0,0,0,5,0,-1.0,0,,,,,,,,,,,,,,,,
0,20182019,San Antonio Rampage,AHL,8497,7,2,41,70,41,-3.0,9,,,,,,,,,,,,,,,,
0,20182019,Finland,WC,17055,3,2,0,10,0,3.0,5,,,,,,,,,,,,,,,,
0,20182019,Finland,EHT,68516,0,0,2,3,2,0.0,0,,,,,,,,,,,,,,,,
0,20192020,St. Louis Blues,National Hockey League,1,1,0,0,5,0,3.0,1,10.0,0.0,0.0,0.0,71:49,5.0,0.0,00:00,67:17,0.0,0.0,0.0,0.0,04:32,3.0,101.0
0,20192020,San Antonio Rampage,AHL,8497,12,2,24,48,24,-3.0,14,,,,,,,,,,,,,,,,
0,20202021,St. Louis Blues,National Hockey League,1,2,1,11,30,11,-11.0,3,22.0,0.0,0.0,0.0,435:32,49.0,0.0,00:34,376:57,0.0,4.5,0.0,0.0,58:01,36.0,626.0
0,20212022,St. Louis Blues,National Hockey League,1,10,3,55,54,55,-6.0,13,58.0,0.0,0.0,1.0,916:48,109.0,0.0,02:45,835:25,0.0,5.2,0.0,1.0,78:38,81.0,1403.0
