,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Saskatchewan Jr. Pats,Brick Invitational,128866,0,0,4,6,4,0,
0,20162017,Humboldt Broncos U15 AA,SAAHL U15,129416,15,10,22,30,22,25,
0,20172018,Humboldt Broncos U15 AA,SAAHL U15,129416,32,12,57,26,57,44,
0,20172018,Western Canada Selects U15,WSI U15,238960,3,1,0,8,0,4,
0,20182019,Prince Albert Raiders,WHL,7891,1,0,2,7,2,1,0.0
0,20182019,Saskatoon Blazers U18 AAA,SMAAAHL,47874,23,12,32,39,32,35,
0,20182019,Team Saskatchewan,CWG,91755,2,4,10,6,10,6,
0,20192020,Prince Albert Raiders,WHL,7891,6,2,25,58,25,8,16.0
0,20192020,Canada Red U17,WHC-17,163770,1,0,2,5,2,1,
0,20202021,Prince Albert Raiders,WHL,7891,1,1,21,16,21,2,-3.0
0,20202021,Canada U18,WJC-18,17193,1,1,2,7,2,2,7.0
0,20202021,La Ronge Ice Wolves,SJHL,28714,3,2,10,5,10,5,
0,20212022,Prince Albert Raiders,WHL,7891,34,7,69,65,69,41,-4.0
