,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,shifts
0,20112012,Djurgarden U18,Swe-U18,1,3,0,4,13,4,3,,,,,,,,,,,,,,,,,
0,20122013,Sodertalje U18,Swe-U18,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,
0,20122013,Sodertalje Jr.,Swe-Jr.,2,10,3,12,39,12,13,,,,,,,,,,,,,,,,,
0,20132014,Farjestad U18,Swe-U18,1,2,1,2,2,2,3,,,,,,,,,,,,,,,,,
0,20132014,Farjestad Jr.,Swe-Jr.,2,16,5,22,21,22,21,,,,,,,,,,,,,,,,,
0,20132014,Farjestad,Sweden,3,4,2,6,32,6,6,,,,,,,,,,,,,,,,,
0,20142015,Farjestad Jr.,Swe-Jr.,1,3,4,2,10,2,7,,,,,,,,,,,,,,,,,
0,20142015,AIK,Sweden-2,2,3,4,6,17,6,7,,,,,,,,,,,,,,,,,
0,20142015,Farjestad,Sweden,3,3,2,4,18,4,5,,,,,,,,,,,,,,,,,
0,20152016,Calgary Flames,National Hockey League,1,0,0,0,1,0,0,17:22,1.0,0.0,0.0,0.0,00:38,16:43,0.0,0.0,0.0,0.0,0.0,0.0,00:01,1.0,0.0,20.0
0,20152016,Stockton,AHL,2,7,5,14,47,14,12,,66.0,,2.0,,,,,7.6,0.0,,0.0,,,,-15.0,
0,20152016,Stockton Heat,AHL,186037,7,5,14,47,14,12,,,,,,,,,,,,,,,,-15.0,
0,20162017,Sweden U20,WJC-20,8596,4,0,8,7,8,4,,,,,,,,,,,,,,,,4.0,
0,20162017,Stockton Heat,AHL,186037,21,6,22,60,22,27,,,,,,,,,,,,,,,,3.0,
0,20172018,Stockton Heat,AHL,186037,28,7,18,62,18,35,,,,,,,,,,,,,,,,-12.0,
0,20182019,Calgary Flames,National Hockey League,1,5,3,10,38,10,8,472:02,21.0,11.0,0.0,0.0,00:44,469:59,0.0,14.29,1.0,0.0,0.0,0.0,01:19,41.0,3.0,633.0
0,20182019,Stockton Heat,AHL,186037,7,7,8,18,8,14,,,,,,,,,,,,,,,,0.0,
0,20192020,Calgary Flames,National Hockey League,1,5,2,16,48,16,7,657:55,37.0,36.0,0.0,0.0,01:32,654:36,0.0,5.4,0.0,0.0,0.0,0.0,01:47,34.0,-6.0,890.0
0,20192020,Stockton Heat,AHL,186037,0,3,0,3,0,3,,,,,,,,,,,,,,,,-2.0,
0,20202021,Calgary Flames,National Hockey League,1,1,0,0,8,0,1,104:39,7.0,3.0,0.0,0.0,00:48,102:56,0.0,0.0,0.0,0.0,0.0,0.0,00:55,1.0,-1.0,151.0
0,20212022,Calgary Flames,National Hockey League,1,22,9,14,73,14,31,1325:55,138.0,40.0,1.0,3.0,77:23,1242:16,0.0,6.5,2.0,0.0,0.0,0.0,06:16,79.0,34.0,1949.0
