,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Toronto Bulldogs,Brick Invitational,128766,2,7,6.0,5,6,9,,,,,,,,,,,,,,,,,
0,20122013,New England Jr. Falcons Bantam,Bantam,203545,52,67,36.0,72,36,119,,,,,,,,,,,,,,,,,
0,20132014,North Yarmouth Academy,USHS-Prep,30028,18,11,,22,,29,,,,,,,,,,,,,,,,,
0,20132014,Middlesex Islanders Bntm,Bantam,160825,15,18,,25,,33,,,,,,,,,,,,,,,,,
0,20142015,Shattuck St. Mary's Bantam T1,Bantam,91025,46,68,66.0,65,66,114,,,,,,,,,,,,,,,,,
0,20152016,Shattuck St. Mary's 18U Prep,USHS-Prep,23882,26,26,42.0,43,42,52,,,,,,,,,,,,,,,,,
0,20152016,USA U16,YOG,118227,0,3,5.0,4,5,3,-1.0,,,,,,,,,,,,,,,,
0,20152016,Team Royal,USA-S15,178263,0,6,,5,,6,,,,,,,,,,,,,,,,,
0,20162017,USA U18,WJC-18,17253,1,4,16.0,7,16,5,0.0,,,,,,,,,,,,,,,,
0,20162017,U.S. National U18 Team,USDP,19564,5,10,28.0,20,28,15,,,,,,,,,,,,,,,,,
0,20162017,U.S. National U17 Team,USDP,19734,11,14,20.0,43,20,25,,,,,,,,,,,,,,,,,
0,20162017,USNTDP Juniors,USHL,52486,4,9,14.0,29,14,13,-13.0,,,,,,,,,,,,,,,,
0,20162017,USA U17,WHC-17,61270,1,0,4.0,5,4,1,,,,,,,,,,,,,,,,,
0,20172018,USA U18,WJC-18,17253,2,7,4.0,7,4,9,2.0,,,,,,,,,,,,,,,,
0,20172018,U.S. National U18 Team,USDP,19564,46,48,42.0,62,42,94,,,,,,,,,,,,,,,,,
0,20172018,USNTDP Juniors,USHL,52486,23,22,22.0,26,22,45,30.0,,,,,,,,,,,,,,,,
0,20182019,Bridgeport Islanders,AHL,827,1,2,9.0,5,9,3,-3.0,,,,,,,,,,,,,,,,
0,20182019,Boston College,NCAA,9670,11,8,28.0,36,28,19,-6.0,,,,,,,,,,,,,,,,
0,20182019,USA U20,WJC-20,17276,2,2,2.0,7,2,4,3.0,,,,,,,,,,,,,,,,
0,20192020,New York Islanders,National Hockey League,1,0,0,4.0,9,4,0,-2.0,92:36,9.0,10.0,0.0,0.0,08:30,84:06,0.0,0.0,0.0,0.0,0.0,0.0,00:00,4.0,126.0
0,20192020,Bridgeport Islanders,AHL,827,12,10,29.0,45,29,22,-16.0,,,,,,,,,,,,,,,,
0,20192020,USA U20,WJC-20,17276,4,1,31.0,5,31,5,2.0,,,,,,,,,,,,,,,,
0,20202021,New York Islanders,National Hockey League,1,9,12,21.0,44,21,21,2.0,544:59,94.0,57.0,4.0,10.0,76:25,467:51,41.67,12.8,1.0,0.0,0.0,0.0,00:43,14.0,730.0
0,20202021,AIK,HockeyAllsvenskan,1240,4,4,8.0,10,8,8,-2.0,,,,,,,,,,,,,,,,
0,20212022,New York Islanders,National Hockey League,1,11,13,74.0,73,74,24,-6.0,880:18,157.0,101.0,5.0,8.0,107:36,772:39,42.86,8.3,2.0,0.0,0.0,0.0,00:03,19.0,1170.0
