,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Jokerit U16,Jr. C SM-sarja Q,10153658,8,6,4,10,4,0.0,14,,,,,,,,,,,,,,,,
0,20132014,Jokerit U18,Fin-U18,1,22,7,63,33,63,,29,,,,,,,,,,,,,,,,
0,20132014,Jokerit Jr.,Fin-Jr.,2,3,1,6,11,6,,4,,,,,,,,,,,,,,,,
0,20142015,Jokerit Jr.,Fin-Jr.,1,26,6,28,44,28,,32,,,,,,,,,,,,,,,,
0,20152016,London,OHL,1,33,9,16,57,16,38.0,42,130.0,4.0,6.9,0.0,0.0,,,,,,,,,,,
0,20152016,London Knights,M-Cup,2561,7,0,4,4,4,6.0,7,,,,,,,,,,,,,,,,
0,20152016,London Knights,OHL,2778,33,9,16,57,16,38.0,42,,,,,,,,,,,,,,,,
0,20152016,Finland U20,WJC-20,17116,9,0,4,7,4,6.0,9,,,,,,,,,,,,,,,,
0,20162017,London Knights,OHL,2778,32,10,36,58,36,26.0,42,,,,,,,,,,,,,,,,
0,20162017,Finland U20,WJC-20,17116,2,0,0,6,0,-2.0,2,,,,,,,,,,,,,,,,
0,20172018,TPS,Liiga,969,12,7,14,38,14,7.0,19,,,,,,,,,,,,,,,,
0,20172018,Finland U20,WJC-20,17116,3,1,0,5,0,2.0,4,,,,,,,,,,,,,,,,
0,20172018,Finland,EHT,68516,0,0,2,2,2,0.0,0,,,,,,,,,,,,,,,,
0,20182019,Utica Comets,AHL,152247,12,1,2,18,2,-12.0,13,,,,,,,,,,,,,,,,
0,20192020,Utica Comets,AHL,152247,23,2,24,45,24,-8.0,25,,,,,,,,,,,,,,,,
0,20202021,Vancouver Canucks,National Hockey League,1,1,2,0,23,0,-1.0,3,24.0,0.0,8.3,0.0,0.0,303:49,23.0,0.0,00:10,284:28,0.0,0.0,0.0,19:11,30.0,420.0
0,20212022,Florida Panthers,National Hockey League,1,0,0,2,10,2,0.0,0,9.0,0.0,0.0,0.0,0.0,124:33,9.0,0.0,00:00,122:47,0.0,0.0,0.0,01:46,6.0,184.0
0,20212022,Detroit Red Wings,National Hockey League,2,0,0,4,8,4,-1.0,0,9.0,0.0,0.0,0.0,0.0,105:01,5.0,0.0,00:33,100:08,0.0,0.0,0.0,04:20,4.0,139.0
0,20212022,Charlotte Checkers,AHL,2357,1,0,2,3,2,0.0,1,,,,,,,,,,,,,,,,
