,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20132014,Ekerö IK U16,U16 Div.2,174760,0.959,2.0,1
0,20142015,Djurgårdens IF J18,J18 Allsvenskan,5884,0.8,6.0,1
0,20152016,Djurgårdens IF U16,U16 Div.1,27324,0.923,2.43,7
0,20152016,Djurgårdens IF U16,U16 SM,27327,0.88,4.04,4
0,20162017,Djurgårdens IF J18,J18 Region,7088,0.905,2.0,5
0,20162017,Djurgårdens IF J18,J18 Nationell,7848,0.901,2.87,7
0,20162017,Sweden U17,WHC-17,61300,0.922,2.22,6
0,20172018,Djurgårdens IF J20,J20 Nationell,7229,0.897,3.1,20
0,20172018,Djurgårdens IF J18,J18 Nationell,7848,0.958,0.99,1
0,20172018,Sweden U18,WJC-18,8573,0.949,1.66,6
0,20182019,Djurgårdens IF J20,J20 Nationell,7229,0.9,2.73,8
0,20192020,Mora IK,HockeyAllsvenskan,1520,0.893,3.01,16
0,20192020,Mora IK J20,J20 Nationell,5879,0.833,5.19,1
0,20202021,Mora IK,HockeyAllsvenskan,1520,0.875,3.46,24
0,20212022,Kristianstads IK,HockeyAllsvenskan,4560,0.9,3.22,27
