,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,Sweden Selects U13,WSI U13,206617,2,0,0,9,0,2,
0,20132014,Hammarö HC J18,J18 Div.1,28808,0,0,0,3,0,0,
0,20142015,Färjestad BK J18,J18 Allsvenskan,5894,0,0,0,2,0,0,1.0
0,20142015,Färjestad BK U16,U16 Elit,42826,26,12,0,25,0,38,
0,20152016,Färjestad BK J20,J20 Nationell,5799,1,0,0,6,0,1,0.0
0,20152016,Färjestad BK J18,J18 Region,7098,6,3,2,10,2,9,
0,20152016,Färjestad BK J18,J18 Nationell,7858,9,2,4,13,4,11,-2.0
0,20152016,Värmland,TV-Pucken,11116,4,2,2,6,2,6,
0,20152016,Färjestad BK U16,U16 SM,43127,7,3,2,6,2,10,
0,20152016,Färjestad BK U16,U16 Region,43472,10,3,0,9,0,13,
0,20162017,Färjestad BK J20,J20 Nationell,5799,8,3,8,25,8,11,2.0
0,20162017,Färjestad BK J18,J18 Region,7098,6,3,2,6,2,9,
0,20162017,Färjestad BK J18,J18 Nationell,7858,1,1,0,4,0,2,1.0
0,20162017,Sweden U18,WJC-18,8573,0,1,2,7,2,1,0.0
0,20162017,Sweden U17,WHC-17,61300,5,0,0,6,0,5,
0,20172018,Färjestad BK,SHL,839,0,0,0,14,0,0,-4.0
0,20172018,Färjestad BK J20,J20 Nationell,5799,22,10,4,38,4,32,13.0
0,20172018,Färjestad BK J18,J18 Nationell,7858,4,1,2,3,2,5,0.0
0,20172018,Sweden U18,WJC-18,8573,3,1,2,7,2,4,3.0
0,20172018,Sweden U18,Hlinka Gretzky Cup,158290,1,0,2,5,2,1,
0,20182019,BIK Karlskoga,HockeyAllsvenskan,1480,16,4,6,45,6,20,-7.0
0,20182019,Sweden U20,WJC-20,8596,1,0,2,5,2,1,0.0
0,20192020,Färjestad BK,Champions HL,152,0,0,0,8,0,0,3.0
0,20192020,Färjestad BK,SHL,839,7,2,0,47,0,9,-7.0
0,20192020,Sweden U20,WJC-20,8596,1,1,0,7,0,2,2.0
0,20202021,Färjestad BK,SHL,839,10,4,6,52,6,14,5.0
0,20212022,Texas Stars,AHL,45177,18,7,8,71,8,25,0.0
