,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Värmland,TV-Pucken,11116,1,0,2,8,2,0.0,1,,,,,,,,,,,,,,,,
0,20122013,Färjestad BK U16,U16 SM,43127,0,4,0,8,0,,4,,,,,,,,,,,,,,,,
0,20132014,Farjestad U18,Swe-U18,1,5,9,6,25,6,,14,,,,,,,,,,,,,,,,
0,20142015,Farjestad U18,Swe-U18,1,11,6,2,8,2,,17,,,,,,,,,,,,,,,,
0,20142015,Farjestad Jr.,Swe-Jr.,2,6,7,16,36,16,,13,,,,,,,,,,,,,,,,
0,20152016,Farjestad Jr.,Swe-Jr.,1,24,8,37,33,37,,32,,,,,,,,,,,,,,,,
0,20152016,Farjestad,Sweden,2,6,0,4,17,4,,6,,,,,,,,,,,,,,,,
0,20152016,Sweden,WJ18-A,3,1,2,6,7,6,-1.0,3,19.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,Färjestad BK,SHL,839,6,0,4,17,4,8.0,6,,,,,,,,,,,,,,,,
0,20152016,Färjestad BK J20,J20 Nationell,5799,24,8,37,33,37,12.0,32,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,WJC-18,8573,1,2,6,7,6,-1.0,3,,,,,,,,,,,,,,,,
0,20152016,Sweden U18,Hlinka Gretzky Cup,158290,0,0,4,5,4,-3.0,0,,,,,,,,,,,,,,,,
0,20162017,Färjestad BK,Champions HL,152,0,1,2,6,2,1.0,1,,,,,,,,,,,,,,,,
0,20162017,Färjestad BK,SHL,839,2,1,8,47,8,-5.0,3,,,,,,,,,,,,,,,,
0,20162017,MoDo Hockey,HockeyAllsvenskan,1320,0,0,2,4,2,-3.0,0,,,,,,,,,,,,,,,,
0,20162017,Färjestad BK J20,J20 Nationell,5799,6,5,8,8,8,2.0,11,,,,,,,,,,,,,,,,
0,20162017,Forshaga IF,HockeyEttan,7681,1,1,0,1,0,2.0,2,,,,,,,,,,,,,,,,
0,20172018,Färjestad BK,SHL,839,2,4,16,45,16,0.0,6,,,,,,,,,,,,,,,,
0,20172018,Sweden U20,WJC-20,8596,2,2,12,7,12,5.0,4,,,,,,,,,,,,,,,,
0,20182019,Färjestad BK,SHL,839,20,17,49,46,49,17.0,37,,,,,,,,,,,,,,,,
0,20192020,Providence Bruins,AHL,897,16,7,48,60,48,6.0,23,,,,,,,,,,,,,,,,
0,20202021,Boston Bruins,National Hockey League,1,0,0,2,3,2,-1.0,0,6.0,0.0,0.0,0.0,40:13,11.0,0.0,01:39,38:34,0.0,0.0,0.0,0.0,00:00,1.0,52.0
0,20202021,Providence Bruins,AHL,897,6,5,12,23,12,1.0,11,,,,,,,,,,,,,,,,
0,20202021,IF Björklöven,HockeyAllsvenskan,1380,3,12,10,16,10,6.0,15,,,,,,,,,,,,,,,,
0,20212022,Boston Bruins,National Hockey League,1,4,2,6,20,6,-1.0,6,25.0,0.0,0.0,0.0,221:28,32.0,0.0,04:38,211:20,16.67,8.0,0.0,0.0,05:30,8.0,326.0
0,20212022,Providence Bruins,AHL,897,20,15,26,49,26,0.0,35,,,,,,,,,,,,,,,,
