,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,gameWinningGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,St. Louis Amateur Blues  U18,Midget,98501,15,10,20,30,20,0.0,25,,,,,,,,,,,,,,,,
0,20052006,Texarkana,NAHL,1,37,23,61,57,61,,60,,,,,,,,,,,,,,,,
0,20062007,St. Louis,NAHL,1,55,40,152,57,152,,95,,,,,,,,,,,,,,,,
0,20072008,London,OHL,1,55,35,57,64,57,13.0,90,14.0,0.0,,,,,,,,,,,,,,
0,20072008,Philadelphia,AHL,2,0,0,0,1,0,-2.0,0,0.0,0.0,,,,,,,,,,,,,,
0,20082009,Philadelphia,AHL,1,31,23,62,80,62,2.0,54,11.0,0.0,2.0,,,,,,,,,,,,,
0,20092010,Adirondack,AHL,1,33,11,125,67,125,-15.0,44,3.0,0.0,1.0,,,,,,,,,,,,,
0,20102011,Adirondack,AHL,1,3,5,30,9,30,-1.0,8,2.0,0.0,0.0,27.0,18.52,,,,,,,,,,,
0,20102011,Syracuse,AHL,2,27,21,68,57,68,6.0,48,13.0,0.0,4.0,144.0,14.58,,,,,,,,,,,
0,20112012,Anaheim Ducks,National Hockey League,1,0,0,2,2,2,0.0,0,0.0,0.0,0.0,1.0,0.0,25:05,4.0,0.0,00:00,25:05,0.0,0.0,0.0,00:00,1.0,39.0
0,20112012,Syracuse,AHL,2,42,32,120,75,120,17.0,74,12.0,0.0,2.0,219.0,14.61,,,,,,,,,,,
0,20122013,Anaheim Ducks,National Hockey League,1,1,2,10,13,10,-1.0,3,0.0,0.0,0.0,21.0,9.52,127:13,22.0,0.0,05:36,121:37,28.57,0.0,0.0,00:00,7.0,173.0
0,20122013,Norfolk,AHL,2,24,26,139,64,139,0.0,50,12.0,1.0,5.0,183.0,14.21,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,18,11,101,62,101,11.0,29,1.0,0.0,3.0,93.0,11.83,763:24,124.0,4.0,106:57,655:31,46.67,0.0,0.0,00:56,16.0,971.0
0,20142015,Anaheim Ducks,National Hockey League,1,25,9,82,71,82,-5.0,34,1.0,0.0,1.0,120.0,7.5,1014:05,120.0,7.0,154:59,858:38,33.33,0.0,0.0,00:28,10.0,1242.0
0,20152016,Anaheim Ducks,National Hockey League,1,9,4,54,56,54,-13.0,13,3.0,0.0,0.0,65.0,6.15,637:28,114.0,4.0,79:56,557:17,32.65,0.0,0.0,00:15,2.0,872.0
0,20152016,Edmonton Oilers,National Hockey League,2,6,8,34,16,34,6.0,14,2.0,0.0,1.0,39.0,20.51,250:54,37.0,4.0,30:36,220:18,25.0,0.0,0.0,00:00,8.0,318.0
0,20152016,U.S.A.,WC-A,3,2,1,12,10,12,-1.0,3,1.0,0.0,0.0,13.0,,,,,,,,,,,,
0,20152016,USA,WC,17215,2,1,12,10,12,-1.0,3,,,,,,,,,,,,,,,,
0,20162017,Edmonton Oilers,National Hockey League,1,15,27,95,81,95,13.0,42,3.0,0.0,5.0,178.0,15.17,1355:45,189.0,6.0,156:04,1198:42,40.0,0.0,0.0,00:59,23.0,1715.0
0,20172018,Edmonton Oilers,National Hockey League,1,16,14,60,57,60,5.0,30,0.0,0.0,3.0,121.0,11.57,972:40,119.0,3.0,99:57,872:12,47.37,0.0,0.0,00:31,13.0,1181.0
0,20172018,New Jersey Devils,National Hockey League,2,10,3,13,17,13,-4.0,13,1.0,0.0,1.0,20.0,15.0,251:00,31.0,4.0,49:24,201:32,40.0,0.0,0.0,00:04,1.0,296.0
0,20182019,St. Louis Blues,National Hockey League,1,18,10,64,74,64,-3.0,28,2.0,0.0,3.0,118.0,8.47,1048:33,135.0,11.0,144:22,904:11,40.0,0.0,0.0,00:00,7.0,1287.0
0,20192020,Tampa Bay Lightning,National Hockey League,1,14,9,71,64,71,4.0,23,1.0,0.0,1.0,80.0,11.3,794:29,104.0,3.0,97:20,695:46,66.67,0.0,0.0,01:23,13.0,1038.0
0,20202021,Tampa Bay Lightning,National Hockey League,1,14,4,60,55,60,2.0,18,2.0,0.0,0.0,46.0,8.7,637:36,75.0,4.0,87:52,549:44,16.67,0.0,0.0,00:00,6.0,838.0
0,20212022,Tampa Bay Lightning,National Hockey League,1,16,11,134,81,134,20.0,27,3.0,0.0,0.0,102.0,10.8,1004:05,160.0,6.0,105:00,898:50,50.0,0.0,0.0,00:15,11.0,1293.0
