,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Hammarby U18,Swe-U18,1,3,1,12,13,12,0.0,4,,,,,,,,,,,,,,,,
0,20082009,AIK U18,Swe-U18,1,10,3,123,27,123,0.0,13,,,,,,,,,,,,,,,,
0,20082009,AIK Jr.,Swe-Jr.,2,0,0,43,19,43,0.0,0,,,,,,,,,,,,,,,,
0,20082009,AIK,Sweden-2,3,1,0,0,1,0,0.0,1,,,,,,,,,,,,,,,,
0,20092010,AIK U18,Swe-U18,1,1,0,4,3,4,0.0,1,,,,,,,,,,,,,,,,
0,20092010,AIK Jr.,Swe-Jr.,2,19,1,120,38,120,0.0,20,,,,,,,,,,,,,,,,
0,20092010,AIK,Sweden-2,3,3,0,8,19,8,0.0,3,,,,,,,,,,,,,,,,
0,20092010,Sweden,WJ18-A,5,2,0,8,6,8,0.0,2,,,,,,,,,,,,,,,,
0,20102011,AIK,Sweden,1,6,1,18,38,18,,7,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJC-A,3,1,0,2,6,2,,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20112012,AIK,Sweden,1,3,0,55,46,55,,3,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,2,5,0,2,6,2,,5,0.0,0.0,0.0,7.0,,,,,,,,,,,,
0,20122013,Texas,AHL,1,11,1,40,47,40,,12,0.0,0.0,0.0,11.0,48.0,2.08,,,,,,,,,,
0,20132014,Dallas Stars,National Hockey League,1,0,0,6,8,6,0.0,0,0.0,0.0,0.0,-3.0,3.0,0.0,110:08,16.0,0.0,00:00,104:09,0.0,0.0,05:59,11.0,157.0
0,20132014,Texas,AHL,2,7,3,32,37,32,,10,0.0,1.0,0.0,19.0,41.0,7.3,,,,,,,,,,
0,20142015,Dallas Stars,National Hockey League,1,3,0,6,22,6,0.0,3,0.0,0.0,0.0,0.0,16.0,0.0,356:38,28.0,0.0,01:44,329:44,0.0,0.0,25:10,21.0,485.0
0,20142015,Texas,AHL,2,2,0,6,8,6,,2,0.0,0.0,0.0,-3.0,7.0,0.0,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,8,0,14,38,14,0.0,8,0.0,0.0,0.0,-1.0,36.0,0.0,594:20,58.0,1.0,02:53,550:23,0.0,0.0,41:04,47.0,833.0
0,20152016,Texas,AHL,2,1,0,2,8,2,,1,0.0,0.0,0.0,3.0,18.0,0.0,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,1,0,2,8,2,,1,,,,3.0,,,,,,,,,,,,
0,20162017,Dallas Stars,National Hockey League,1,3,0,14,40,14,0.0,3,0.0,0.0,0.0,-4.0,46.0,0.0,631:09,45.0,0.0,01:38,588:41,0.0,0.0,40:50,47.0,839.0
0,20162017,Texas Stars,AHL,45177,2,1,2,4,2,,3,,,,0.0,,,,,,,,,,,,
0,20172018,Colorado Avalanche,National Hockey League,1,12,3,41,68,41,0.0,15,0.0,0.0,0.0,27.0,73.0,4.11,1350:14,66.0,0.0,02:53,1121:30,0.0,2.0,225:51,185.0,1677.0
0,20182019,Colorado Avalanche,National Hockey League,1,9,1,53,74,53,0.0,10,0.0,0.0,0.0,5.0,57.0,1.75,1220:02,137.0,0.0,01:53,980:22,0.0,1.0,237:47,131.0,1528.0
0,20192020,Detroit Red Wings,National Hockey League,1,8,1,28,64,28,0.0,9,0.0,1.0,0.0,-10.0,89.0,1.1,1410:26,80.0,0.0,06:06,1184:26,0.0,1.0,219:54,92.0,1666.0
0,20202021,Detroit Red Wings,National Hockey League,1,6,2,14,39,14,0.0,8,0.0,0.0,0.0,-1.0,46.0,4.3,717:30,65.0,0.0,01:53,632:02,0.0,0.0,83:35,47.0,876.0
0,20202021,Colorado Avalanche,National Hockey League,2,1,1,6,13,6,0.0,2,0.0,0.0,0.0,6.0,7.0,14.3,219:04,22.0,0.0,00:12,185:49,0.0,0.0,33:03,20.0,292.0
0,20212022,New York Rangers,National Hockey League,1,5,2,28,63,28,0.0,7,0.0,1.0,0.0,-9.0,52.0,3.8,1047:58,115.0,0.0,04:11,945:00,0.0,0.0,98:47,102.0,1364.0
