,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,powerPlayGoals,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,gameWinningGoals,shortHandedGoals,shortHandedTimeOnIce,shifts,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20012002,St. Louis Jr. Blues,CSHL,23013,56,41,10,43,10,97,,,,,,,,,,,,,,,,,
0,20022003,Omaha Lancers,USHL,9618,20,10,39,57,39,30,4.0,,,,,,,,,,,,,,,,
0,20032004,River City,USHL,1,47,30,46,56,46,77,26.0,00:00,10.0,00:00,00:00,0.0,2.0,1.0,00:00,0.0,,,,,,,
0,20042005,U. Of Denver,WCHA,1,28,17,30,42,30,45,,00:00,,00:00,00:00,0.0,,,00:00,0.0,,,,,,,
0,20052006,U. Of Denver,WCHA,1,34,19,79,39,79,53,,00:00,,00:00,00:00,0.0,,,00:00,0.0,,,,,,,
0,20062007,Colorado Avalanche,National Hockey League,1,50,28,42,82,42,78,4.0,1490:10,11.0,299:12,1004:50,48.45,6.0,0.0,186:08,2094.0,185.0,29.0,31.0,15.14,0.0,1.0,49.0
0,20062007,United States,WC-A,3,4,4,2,7,2,8,,,,,,,,,,,,,,,,,
0,20072008,Colorado Avalanche,National Hockey League,1,47,24,24,66,24,71,22.0,1391:26,3.0,276:27,977:23,50.95,4.0,0.0,137:36,1724.0,138.0,16.0,21.0,17.39,1.0,1.0,31.0
0,20082009,Colorado Avalanche,National Hockey League,1,25,11,22,45,22,36,-9.0,955:45,7.0,184:10,667:53,51.76,2.0,0.0,103:42,1237.0,118.0,19.0,19.0,9.32,0.0,0.0,37.0
0,20092010,Colorado Avalanche,National Hockey League,1,59,20,50,81,50,79,2.0,1732:58,9.0,306:28,1295:14,49.97,2.0,0.0,131:16,2204.0,199.0,42.0,25.0,10.05,0.0,0.0,53.0
0,20092010,U.S.A.,Olympics,3,2,1,0,6,0,3,,,,,,0.0,,,,,,,,,,,
0,20102011,Colorado Avalanche,National Hockey League,1,35,22,56,74,56,57,-7.0,1460:29,4.0,226:19,1157:37,53.15,3.0,1.0,76:33,1829.0,181.0,74.0,19.0,12.15,1.0,1.0,31.0
0,20112012,Colorado Avalanche,National Hockey League,1,32,21,34,79,34,53,-8.0,1487:45,7.0,185:54,1253:07,55.41,2.0,0.0,48:44,1889.0,190.0,40.0,19.0,11.05,0.0,0.0,49.0
0,20112012,U.S.A.,WC-A,2,6,3,0,8,0,9,6.0,,2.0,,,,1.0,0.0,,,,,,,,,
0,20122013,Colorado Avalanche,National Hockey League,1,15,9,14,40,14,24,-7.0,774:16,2.0,108:07,582:05,52.37,1.0,0.0,84:04,1021.0,87.0,21.0,10.0,10.34,0.0,0.0,29.0
0,20122013,U.S.A.,WC-A,2,8,7,6,10,6,15,7.0,,2.0,,,,1.0,0.0,,,,,,,,,
0,20122013,EHC Munchen,Germany,3,11,7,20,13,20,18,,,,,,,,,,,,,,,,,
0,20132014,Colorado Avalanche,National Hockey League,1,35,25,22,71,22,60,9.0,1305:51,4.0,168:33,1093:56,54.13,4.0,0.0,43:22,1603.0,150.0,54.0,15.0,16.67,1.0,1.0,46.0
0,20132014,U.S.A.,Olympics,2,0,2,0,6,0,2,0.0,,0.0,,,,0.0,0.0,,,10.0,,,,,,
0,20142015,St. Louis Blues,National Hockey League,1,30,16,40,74,40,46,5.0,1304:26,7.0,174:37,1061:58,57.94,7.0,0.0,67:51,1802.0,143.0,22.0,15.0,11.19,0.0,0.0,30.0
0,20152016,St. Louis Blues,National Hockey League,1,39,10,26,64,26,49,3.0,1225:42,2.0,150:18,986:06,56.07,2.0,0.0,89:18,1714.0,103.0,32.0,14.0,9.71,0.0,0.0,40.0
0,20162017,St. Louis Blues,National Hockey League,1,22,18,36,66,36,40,4.0,1263:13,5.0,170:26,985:16,55.74,5.0,0.0,107:31,1747.0,112.0,51.0,13.0,16.07,0.0,0.0,35.0
0,20172018,St. Louis Blues,National Hockey League,1,28,12,14,63,14,40,-5.0,1177:13,3.0,173:00,931:22,55.18,1.0,0.0,72:51,1516.0,135.0,36.0,5.0,8.89,0.0,1.0,29.0
0,20172018,Winnipeg Jets,National Hockey League,2,9,4,4,19,4,13,6.0,323:46,0.0,43:12,272:20,53.82,2.0,0.0,08:14,389.0,24.0,7.0,4.0,16.67,0.0,0.0,9.0
0,20182019,Vegas Golden Knights,National Hockey League,1,29,13,30,50,30,42,14.0,905:12,1.0,102:05,748:21,54.66,2.0,1.0,54:46,1006.0,103.0,35.0,4.0,12.62,0.0,2.0,15.0
0,20192020,Vegas Golden Knights,National Hockey League,1,21,17,24,71,24,38,6.0,1216:00,5.0,164:27,973:50,54.78,3.0,0.0,77:43,1457.0,136.0,63.0,10.0,12.5,1.0,1.0,32.0
0,20202021,Winnipeg Jets,National Hockey League,1,16,13,32,56,32,29,-3.0,974:56,2.0,164:33,808:33,54.73,4.0,0.0,01:50,1154.0,101.0,38.0,8.0,12.9,1.0,0.0,19.0
0,20212022,Winnipeg Jets,National Hockey League,1,24,21,14,71,14,45,14.0,1262:36,4.0,123:25,1044:49,56.57,2.0,0.0,94:22,1569.0,141.0,27.0,8.0,14.9,0.0,0.0,27.0
