,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20052006,HC Plzen U18,Czech U18,40682,0.925,1.85,27,,,,,,,,,,,,,,,,,,,
0,20062007,HC Plzen U18,Czech U18,40682,0.911,2.88,35,,,,,,,,,,,,,,,,,,,
0,20072008,HC Plzen U20,Czech U20,34043,0.915,2.64,37,,,,,,,,,,,,,,,,,,,
0,20072008,Czech Republic U18,WJC-18 D1,10090480,0.895,2.0,1,,,,,,,,,,,,,,,,,,,
0,20082009,HC Plzen,Czech,6381,0.922,2.96,15,,,,,,,,,,,,,,,,,,,
0,20082009,SHC Klatovy,Czech3,13298,0.0,9.6,1,,,,,,,,,,,,,,,,,,,
0,20082009,HC Plzen U20,Czech U20,34043,0.953,1.74,20,,,,,,,,,,,,,,,,,,,
0,20092010,HC Plzen,Czech,6381,0.868,3.71,8,,,,,,,,,,,,,,,,,,,
0,20092010,SK Horacka Slavia Trebic,Czech2,13293,0.948,1.76,4,,,,,,,,,,,,,,,,,,,
0,20092010,HC Tabor,Czech2,13983,0.906,2.42,9,,,,,,,,,,,,,,,,,,,
0,20092010,Czech Republic U20,WJC-20,16074,0.862,4.76,2,,,,,,,,,,,,,,,,,,,
0,20092010,HC Plzen U20,Czech U20,34043,0.948,1.83,6,,,,,,,,,,,,,,,,,,,
0,20102011,SK Horacka Slavia Trebic,Czech2,13293,0.952,1.77,15,,,,,,,,,,,,,,,,,,,
0,20102011,HC Slovan Usti nad Labem,Czech2,14633,0.926,2.08,15,,,,,,,,,,,,,,,,,,,
0,20102011,HC Slovan Usti nad Labem U20,Czech U20,37473,0.917,3.02,3,,,,,,,,,,,,,,,,,,,
0,20112012,HC Ocelari Trinec,Czech,1621,0.8,6.0,1,,,,,,,,,,,,,,,,,,,
0,20122013,HC Litvinov,Czech,1561,0.92,2.59,46,,,,,,,,,,,,,,,,,,,
0,20132014,HC Litvinov,Czech,1561,0.932,2.02,48,,,,,,,,,,,,,,,,,,,
0,20142015,HC Litvinov,Czech,1561,0.931,2.08,46,,,,,,,,,,,,,,,,,,,
0,20152016,Czechia,WC,17015,0.896,2.45,4,,,,,,,,,,,,,,,,,,,
0,20152016,Traktor Chelyabinsk,KHL,17234,0.924,2.21,18,,,,,,,,,,,,,,,,,,,
0,20162017,Czechia,WC,17015,0.91,1.49,4,,,,,,,,,,,,,,,,,,,
0,20162017,Traktor Chelyabinsk,KHL,17234,0.953,1.43,30,,,,,,,,,,,,,,,,,,,
0,20172018,Czechia,OG,16762,0.905,2.27,6,,,,,,,,,,,,,,,,,,,
0,20172018,Czechia,WC,17015,0.904,2.38,5,,,,,,,,,,,,,,,,,,,
0,20172018,Traktor Chelyabinsk,KHL,17234,0.946,1.8,35,,,,,,,,,,,,,,,,,,,
0,20182019,Colorado Avalanche,National Hockey League,1,0.942857,1.961318,2,61:11,0.0,0.0,0.0,0.0,2.0,33.0,4.0,2.0,27.0,2.0,29.0,4.0,0.0,35.0,2.0,100.0,100.0,93.10344827586206
0,20182019,Colorado Eagles,AHL,8957,0.918,2.68,49,,,,,,,,,,,,,,,,,,,
0,20182019,Czechia,WC,17015,0.957,0.77,3,,,,,,,,,,,,,,,,,,,
0,20192020,Colorado Avalanche,National Hockey League,1,0.923,2.4132,34,1914:26,4.0,1.0,0.0,21.0,7.0,919.0,114.0,34.0,771.0,34.0,837.0,125.0,31.0,996.0,77.0,91.2,100.0,92.1146953405018
0,20212022,Colorado Avalanche,National Hockey League,1,0.916,2.54968,21,1200:09,1.0,2.0,0.0,15.0,5.0,557.0,63.0,11.0,483.0,13.0,522.0,73.0,18.0,608.0,51.0,86.3013698630137,84.61538461538461,92.52873563218391
