,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20152016,Russia Selects U13,WSI U13,236997,4,0,2,8,2,4,
0,20172018,Dynamo Moskva U16,Russia U16,184827,8,2,6,22,6,10,
0,20172018,Dynamo Moskva Selects U15,WSI U15,238980,3,0,2,7,2,3,
0,20182019,Dynamo Moskva U17,Russia U17,184008,0,0,0,3,0,0,
0,20182019,Dynamo Moskva U16,Russia U16,184827,11,9,10,24,10,20,
0,20182019,Dynamo Moskva U18,Russia U18,241839,8,2,0,7,0,10,
0,20192020,MHK Dynamo Moskva,MHL,49602,2,1,0,33,0,3,3.0
0,20192020,Russia U17,WHC-17,61290,5,0,2,6,2,5,
0,20192020,Dynamo Moskva U17,Russia U17,184008,1,1,2,3,2,2,
0,20212022,Saginaw Spirit,OHL,9488,45,17,28,67,28,62,-14.0
