,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20082009,HCF Arctic Lions 18U AAA,18U AAA,349858,0.901,3.08,12,,,,,,,,,,,,,,,,,,,
0,20092010,So. Cal Titans,NAPHL,1,,2.62,10,429:00,1.0,1.0,6.0,1.0,22.0,,,,,,,,,,,,,
0,20092010,So. Cal Titans,Minor-CA,2,,2.71,8,442:00,,1.0,4.0,2.0,24.0,,,,,,,,,,,,,
0,20102011,Corpus Christi,NAHL,1,,4.17,42,2376:00,0.0,4.0,14.0,23.0,165.0,,,,,,,,,,,,,
0,20112012,Tri-City,USHL,1,,3.14,25,1451:00,2.0,0.0,9.0,13.0,76.0,,,,,,,,,,,,,
0,20112012,Des Moines,USHL,2,,3.09,20,1163:00,0.0,1.0,7.0,11.0,60.0,,,,,,,,,,,,,
0,20122013,Michigan Tech,WCHA,1,,3.22,24,1323:00,3.0,1.0,8.0,15.0,71.0,,,,,,,,,,,,,
0,20132014,Michigan Tech,WCHA,1,,2.51,30,1724:00,1.0,6.0,10.0,13.0,72.0,,,,,,,,,,,,,
0,20132014,South Carolina,ECHL,2,0.906,3.26,3,147:00,0.0,0.0,2.0,1.0,8.0,77.0,85.0,,,,,,,,,,,
0,20142015,Hershey,AHL,1,0.925,2.17,26,1520:00,3.0,3.0,17.0,4.0,55.0,677.0,732.0,,,,,,,,,,,
0,20142015,Hershey Bears,AHL,997,0.925,2.17,26,,,,,,,,,,,,,,,,,,,
0,20152016,St. Louis Blues,National Hockey League,1,0.833333,2.455662,1,24:26,0.0,,0.0,0.0,1.0,5.0,6.0,0.0,1.0,0.0,4.0,0.0,5.0,1.0,0.0,100.0,80.0,
0,20152016,Chicago Wolves,AHL,957,0.909,2.79,37,,,,,,,,,,,,,,,,,,,
0,20162017,St. Louis Blues,National Hockey League,1,0.827586,5.090498,1,58:56,0.0,,0.0,1.0,5.0,24.0,29.0,0.0,4.0,2.0,18.0,2.0,20.0,7.0,1.0,57.14285714285714,90.0,100.0
0,20162017,Chicago Wolves,AHL,957,0.92,2.31,25,,,,,,,,,,,,,,,,,,,
0,20162017,Hershey Bears,AHL,997,0.931,2.15,16,,,,,,,,,,,,,,,,,,,
0,20172018,Hershey Bears,AHL,997,0.896,2.91,41,,,,,,,,,,,,,,,,,,,
0,20182019,Washington Capitals,National Hockey League,1,0.904639,2.903985,27,1528:56,1.0,0.0,16.0,7.0,74.0,702.0,776.0,3.0,90.0,21.0,591.0,23.0,648.0,105.0,24.0,85.71428571428571,91.20370370370371,91.30434782608695
0,20192020,Hershey Bears,AHL,997,0.905,2.47,31,,,,,,,,,,,,,,,,,,,
0,20202021,Hershey Bears,AHL,997,0.896,2.66,15,,,,,,,,,,,,,,,,,,,
0,20212022,Washington Capitals,National Hockey League,1,0.878,3.10613,2,96:35,0.0,0.0,0.0,1.0,5.0,36.0,41.0,0.0,2.0,1.0,33.0,2.0,35.0,4.0,1.0,50.0,94.28571428571428,50.0
0,20212022,Hershey Bears,AHL,997,0.913,2.38,35,,,,,,,,,,,,,,,,,,,
