,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Oshawa Generals Selects U15,WSI U15,222750,7,2,2.0,9,2,9,,,,,,,,,,,,,,,,,
0,20162017,Mississauga Rebels U16 AAA,GTHL U16,80120,31,37,,54,,68,,,,,,,,,,,,,,,,,
0,20162017,Team GTHL Blue,OGC-16,154307,4,6,0.0,5,0,10,,,,,,,,,,,,,,,,,
0,20172018,Niagara IceDogs,OHL,23028,19,5,18.0,61,18,24,-12.0,,,,,,,,,,,,,,,,
0,20172018,Canada Black U17,WHC-17,163780,1,0,0.0,5,0,1,,,,,,,,,,,,,,,,,
0,20172018,Team Blue,U17-Dev,178219,1,1,4.0,3,4,2,,,,,,,,,,,,,,,,,
0,20182019,Canada U18,WJC-18,17193,4,1,2.0,6,2,5,3.0,,,,,,,,,,,,,,,,
0,20182019,Niagara IceDogs,OHL,23028,38,34,32.0,67,32,72,37.0,,,,,,,,,,,,,,,,
0,20192020,Oshawa Generals,OHL,9448,25,18,12.0,26,12,43,7.0,,,,,,,,,,,,,,,,
0,20192020,Niagara IceDogs,OHL,23028,35,22,20.0,36,20,57,0.0,,,,,,,,,,,,,,,,
0,20202021,Chicago Wolves,AHL,957,19,13,43.0,29,43,32,20.0,,,,,,,,,,,,,,,,
0,20202021,Canada U20,WJC-20,17216,2,4,0.0,7,0,6,8.0,,,,,,,,,,,,,,,,
0,20212022,Nashville Predators,National Hockey League,1,21,11,10.0,76,10,32,2.0,876:46,111.0,49.0,3.0,9.0,102:01,774:45,38.89,9.9,3.0,0.0,0.0,0.0,00:00,28.0,1123.0
