,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Thun Dragon U15,U15-Elit,80892,1,0,0,3,0,1,,,,,,,,,,,,,,,,,
0,20122013,Bern U15,U15-Elit,79842,12,13,6,24,6,25,,,,,,,,,,,,,,,,,
0,20132014,Bern U17,U17-Elit,45075,0,1,0,7,0,1,,,,,,,,,,,,,,,,,
0,20132014,Bern U15,U15-Elit,79842,18,35,8,20,8,53,,,,,,,,,,,,,,,,,
0,20142015,Bern U20,U20-Elit,19043,1,1,0,3,0,2,,,,,,,,,,,,,,,,,
0,20142015,Bern U17,U17-Elit,45075,28,22,6,26,6,50,,,,,,,,,,,,,,,,,
0,20152016,Switzerland U18,WJC-18,17733,1,1,4,5,4,2,-5.0,,,,,,,,,,,,,,,,
0,20152016,GC/Küsnacht U20,U20-Elit,44586,9,9,8,34,8,18,,,,,,,,,,,,,,,,,
0,20152016,Switzerland U19,WJAC-19,87392,1,0,4,4,4,1,,,,,,,,,,,,,,,,,
0,20162017,Québec Remparts,QMJHL,9640,33,21,10,65,10,54,-8.0,,,,,,,,,,,,,,,,
0,20162017,Switzerland U18,WJC-18,17733,1,3,2,5,2,4,-1.0,,,,,,,,,,,,,,,,
0,20162017,Switzerland U18,Hlinka Gretzky Cup,158270,0,0,2,4,2,0,-7.0,,,,,,,,,,,,,,,,
0,20172018,Québec Remparts,QMJHL,9640,41,19,24,59,24,60,-4.0,,,,,,,,,,,,,,,,
0,20172018,Switzerland U20,WJC-20,17756,2,1,2,5,2,3,-3.0,,,,,,,,,,,,,,,,
0,20182019,Rockford IceHogs,AHL,8267,0,0,0,3,0,0,-2.0,,,,,,,,,,,,,,,,
0,20182019,Québec Remparts,QMJHL,9640,36,29,33,59,33,65,-8.0,,,,,,,,,,,,,,,,
0,20182019,Switzerland,WC,16145,3,1,4,8,4,4,4.0,,,,,,,,,,,,,,,,
0,20182019,Switzerland U20,WJC-20,17756,1,6,4,7,4,7,-5.0,,,,,,,,,,,,,,,,
0,20192020,Rockford IceHogs,AHL,8267,12,7,8,36,8,19,5.0,,,,,,,,,,,,,,,,
0,20202021,Chicago Blackhawks,National Hockey League,1,8,8,12,54,12,16,-9.0,706:13,65.0,32.0,2.0,5.0,76:47,629:06,41.13,12.3,1.0,0.0,0.0,0.0,00:20,18.0,884.0
0,20202021,Lugano,NL,2406,9,0,0,13,0,9,1.0,,,,,,,,,,,,,,,,
0,20202021,Switzerland,WC,16145,4,1,14,8,14,5,1.0,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,15,6,12,67,12,21,-16.0,861:13,86.0,31.0,2.0,5.0,81:50,778:34,42.15,7.0,1.0,1.0,0.0,0.0,00:49,30.0,1161.0
0,20212022,Rockford IceHogs,AHL,8267,1,2,0,3,0,3,2.0,,,,,,,,,,,,,,,,
0,20212022,Switzerland,WC,16145,3,1,0,8,0,4,1.0,,,,,,,,,,,,,,,,
