,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Troja U18,Swe-U18,1,4,9,10,25,10,13,,,,,,,,,,,,,,,,,
0,20122013,Frolunda U18,Swe-U18,1,16,18,22,30,22,34,,,,,,,,,,,,,,,,,
0,20122013,Frolunda Jr.,Swe-Jr.,2,0,2,0,4,0,2,,,,,,,,,,,,,,,,,
0,20132014,Frolunda U18,Swe-U18,1,25,11,8,16,8,36,,,,,,,,,,,,,,,,,
0,20132014,Troja,Sweden-2,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20132014,Frolunda Jr.,Swe-Jr.,3,18,17,42,39,42,35,,,,,,,,,,,,,,,,,
0,20142015,Frolunda Jr.,Swe-Jr.,1,34,17,50,38,50,51,,,,,,,,,,,,,,,,,
0,20142015,Oskarshamn,Sweden-2,2,0,0,0,10,0,0,,,,,,,,,,,,,,,,,
0,20142015,Frolunda,Sweden,3,0,0,0,2,0,0,,,,,,,,,,,,,,,,,
0,20152016,Mora,Sweden-2,1,12,13,14,55,14,25,,,,,,,,,,,,,,,,,
0,20152016,Mora IK,HockeyAllsvenskan,1520,12,12,12,50,12,24,4.0,,,,,,,,,,,,,,,,
0,20162017,Mora IK,HockeyAllsvenskan,1520,19,21,20,50,20,40,4.0,,,,,,,,,,,,,,,,
0,20172018,HV71,Champions HL,162,4,0,4,5,4,4,5.0,,,,,,,,,,,,,,,,
0,20172018,HV71,SHL,849,13,7,12,31,12,20,12.0,,,,,,,,,,,,,,,,
0,20172018,Toronto Marlies,AHL,13377,4,4,2,9,2,8,-2.0,,,,,,,,,,,,,,,,
0,20182019,Toronto Marlies,AHL,13377,13,19,57,70,57,32,0.0,,,,,,,,,,,,,,,,
0,20192020,Toronto Maple Leafs,National Hockey League,1,7,8,6,48,6,15,4.0,572:49,72.0,29.0,0.0,0.0,00:16,510:11,39.05,11.1,3.0,0.0,1.0,2.0,62:22,10.0,805.0
0,20192020,Toronto Marlies,AHL,13377,9,7,6,15,6,16,11.0,,,,,,,,,,,,,,,,
0,20202021,Toronto Maple Leafs,National Hockey League,1,5,7,16,42,16,12,2.0,501:02,61.0,43.0,0.0,0.0,03:42,474:30,43.04,11.5,1.0,0.0,0.0,0.0,22:50,12.0,696.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,20,15,30,78,30,35,13.0,1035:46,154.0,66.0,1.0,3.0,44:39,916:32,42.03,9.7,3.0,0.0,2.0,3.0,74:35,12.0,1475.0
